
     EVENT_ID,MENU_HINT                                                                       ,EVENT_NAME                                        ,EVENT_DT        , SELECTION_ID,SELECTION_NAME                ,      WIN_LOSE,       BSP,     PPWAP,MORNINGWAP,     PPMAX,     PPMIN,     IPMAX,     IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
-------------,--------------------------------------------------------------------------------,--------------------------------------------------,----------------,-------------,------------------------------,--------------,----------,----------,----------,----------,----------,----------,----------,----------------,-----------,-----------
     20953208,GB / Ayr 19th Apr                                                               ,4m Hcap Chs                                       ,19-04-2008 15:40,        63734,Strong Resolve                ,      0.000000,286.693825,334.513052,295.074207,       460,       140,       320,        55,          790.38,    3001.88,    1173.54
     20953208,GB / Ayr 19th Apr                                                               ,4m Hcap Chs                                       ,19-04-2008 15:40,       284231,Royal Rosa                    ,      0.000000,84.3871564,123.423648,137.228351,       180,        80,       150,        20,         2493.76,    8418.87,     625.54
     20953208,GB / Ayr 19th Apr                                                               ,4m Hcap Chs                                       ,19-04-2008 15:40,       295373,Dunbrody Millar               ,      0.000000,143.438812,269.117152,242.902117,       400,        80,      1000,        14,           855.7,    3203.64,    4320.32
     20953208,GB / Ayr 19th Apr                                                               ,4m Hcap Chs                                       ,19-04-2008 15:40,       324234,Another Rum                   ,      0.000000,98.9420479,139.783087,153.383429,       200,        90,      1000,        42,         2038.22,    6642.66,     370.52
     20953208,GB / Ayr 19th Apr                                                               ,4m Hcap Chs                                       ,19-04-2008 15:40,       393402,Ossmoses                      ,      0.000000,        24,21.6641754,19.6116744,        29,      14.5,      1000,         7,        17502.22,   48560.03,    9152.86
     20953208,GB / Ayr 19th Apr                                                               ,4m Hcap Chs                                       ,19-04-2008 15:40,       491293,Irish Wolf                    ,      0.000000,77.8957872,115.684993,141.754790,       210,        75,      1000,        80,          1951.9,    7426.17,     389.98
     20953208,GB / Ayr 19th Apr                                                               ,4m Hcap Chs                                       ,19-04-2008 15:40,       556635,Azulejo                       ,      0.000000,652.115963,830.271608,612.775535,      1000,       230,      1000,       100,          254.78,    1298.76,     467.44
     20953208,GB / Ayr 19th Apr                                                               ,4m Hcap Chs                                       ,19-04-2008 15:40,       580523,Leading Man                   ,      0.000000,      16.5,16.0561652,17.1811547,        26,        14,        95,        13,        34386.84,   97602.73,    4076.94
     20953208,GB / Ayr 19th Apr                                                               ,4m Hcap Chs                                       ,19-04-2008 15:40,       598831,Model Son                     ,      0.000000,        80,136.974638,157.907680,       240,        50,      1000,        80,         1923.62,    7543.34,     158.62
     20953208,GB / Ayr 19th Apr                                                               ,4m Hcap Chs                                       ,19-04-2008 15:40,       698448,Tommy Spar                    ,      0.000000,265.742324,324.001865,350.230569,       600,       210,       600,        13,          646.02,    2744.91,    1230.88
     20953208,GB / Ayr 19th Apr                                                               ,4m Hcap Chs                                       ,19-04-2008 15:40,       719891,Philson Run                   ,      0.000000,20.0968889,29.2912486,31.0741984,        36,        20,        36,         4,          9191.1,   32128.31,    10738.9
     20953208,GB / Ayr 19th Apr                                                               ,4m Hcap Chs                                       ,19-04-2008 15:40,       758045,Wild Cane Ridge               ,      0.000000,        20,21.1983712,20.7505528,        28,        16,      1000,        16,        15902.28,   49184.01,    3356.24
     20953208,GB / Ayr 19th Apr                                                               ,4m Hcap Chs                                       ,19-04-2008 15:40,       978878,Miko De Beauchene             ,      0.000000,11.0683906,9.71040800,8.47507596,      12.5,       7.2,      1000,       8.8,        46850.38,  146045.97,    9483.04
     20953208,GB / Ayr 19th Apr                                                               ,4m Hcap Chs                                       ,19-04-2008 15:40,       994482,Kilbeggan Blade               ,      0.000000,27.3906939,29.0333192,26.5422948,        48,        24,      1000,        12,         18488.3,   40437.64,    4285.26
     20953208,GB / Ayr 19th Apr                                                               ,4m Hcap Chs                                       ,19-04-2008 15:40,      1012413,Patsy Hall                    ,      0.000000,       8.8,9.93981918,11.1143444,        15,         8,      1000,       8.8,        29370.32,  159677.29,    5985.36
