
     EVENT_ID,MENU_HINT                                                                       ,EVENT_NAME                                        ,EVENT_DT        , SELECTION_ID,SELECTION_NAME                ,      WIN_LOSE,       BSP,     PPWAP,MORNINGWAP,     PPMAX,     PPMIN,     IPMAX,     IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
-------------,--------------------------------------------------------------------------------,--------------------------------------------------,----------------,-------------,------------------------------,--------------,----------,----------,----------,----------,----------,----------,----------,----------------,-----------,-----------
     21096354,IRE / Ballin 21st Jul                                                           ,1m4f Hcap                                         ,21-07-2008 17:40,       195698,Start From Scratch            ,      0.000000,8.42479642,8.75170991,8.71179404,        12,       8.2,       190,         4,          146.96,   12376.02,    2545.56
     21096354,IRE / Ballin 21st Jul                                                           ,1m4f Hcap                                         ,21-07-2008 17:40,       382590,Tipper Road                   ,      0.000000,        38,44.5765028,         1,        70,        36,        80,        10,               0,     900.53,     1362.9
     21096354,IRE / Ballin 21st Jul                                                           ,1m4f Hcap                                         ,21-07-2008 17:40,       532682,Dalwich                       ,      0.000000,        15,13.7725863,15.9134921,        16,        11,        17,       2.2,              29,    5782.62,    3562.36
     21096354,IRE / Ballin 21st Jul                                                           ,1m4f Hcap                                         ,21-07-2008 17:40,      1135538,Compton Court                 ,      0.000000,      3.55,3.66365636,4.02679245,         5,       3.5,        60,      2.04,          221.66,  123122.92,   31682.04
     21096354,IRE / Ballin 21st Jul                                                           ,1m4f Hcap                                         ,21-07-2008 17:40,      1199933,Kasnani                       ,      0.000000,51.9809204,47.3239347,         1,        65,        38,         1,      1001,               0,     921.48,       15.5
     21096354,IRE / Ballin 21st Jul                                                           ,1m4f Hcap                                         ,21-07-2008 17:40,      1229829,Spanish Blue                  ,      0.000000,19.1440553,16.5068107,         1,        25,        13,        20,        15,               0,    3274.01,     284.28
     21096354,IRE / Ballin 21st Jul                                                           ,1m4f Hcap                                         ,21-07-2008 17:40,      1463748,Aluana                        ,      0.000000,13.4926067,12.9813671,10.8473974,      19.5,        12,        20,      15.5,           11.16,    4800.79,      83.02
     21096354,IRE / Ballin 21st Jul                                                           ,1m4f Hcap                                         ,21-07-2008 17:40,      1493822,Railway Express               ,      0.000000,      10.5,11.1092100,14.2465579,     16.44,      7.83,        29,        10,             100,    5878.27,     381.02
     21096354,IRE / Ballin 21st Jul                                                           ,1m4f Hcap                                         ,21-07-2008 17:40,      1534102,Rhythmofadancer               ,      0.000000,79.4127917,71.4708920,25.0598154,       100,        44,      1000,        23,            5.24,     567.16,      104.6
     21096354,IRE / Ballin 21st Jul                                                           ,1m4f Hcap                                         ,21-07-2008 17:40,      2061244,Vivid Exposure                ,      1.000000,        46,34.8992089,         1,        46,        29,        40,      1.01,               0,    1243.74,   28042.64
     21096354,IRE / Ballin 21st Jul                                                           ,1m4f Hcap                                         ,21-07-2008 17:40,      2269101,Conorville                    ,      0.000000,176.813239,116.120338,         1,    250.56,        90,      1000,       110,               0,     345.36,      25.14
     21096354,IRE / Ballin 21st Jul                                                           ,1m4f Hcap                                         ,21-07-2008 17:40,      2408407,Onehellofadancer              ,      0.000000,        85,73.7920730,25.0598172,       110,        38,        80,        50,            5.24,     660.36,         22
     21096354,IRE / Ballin 21st Jul                                                           ,1m4f Hcap                                         ,21-07-2008 17:40,      2451331,Saranjo                       ,      0.000000,8.91337078,7.72933504,4.38833740,       9.2,       4.5,        21,       5.2,           38.12,   12165.85,    2030.48
     21096354,IRE / Ballin 21st Jul                                                           ,1m4f Hcap                                         ,21-07-2008 17:40,      2475491,Inishmot Girl                 ,      0.000000,19.3183651,17.6846442,18.0098072,        28,      15.5,        48,        21,               6,     2364.9,       89.8
     21096354,IRE / Ballin 21st Jul                                                           ,1m4f Hcap                                         ,21-07-2008 17:40,      2499035,Thetearsthaticry              ,      0.000000,        10,13.9991736,8.34059472,        20,      7.83,        19,         4,           44.88,    6868.83,    1059.26
     21096354,IRE / Ballin 21st Jul                                                           ,1m4f Hcap                                         ,21-07-2008 17:40,      3045708,Deckhand                      ,      0.000000,        55,59.7459300,         1,    117.45,     34.45,       110,       110,               0,     819.76,       7.06
     21096356,IRE / Ballin 21st Jul                                                           ,1m1f Mdn                                          ,21-07-2008 18:10,      2384587,Belles Ridge                  ,      1.000000,      1.87,1.81797519,2.14120226,      2.18,      1.69,       2.9,      1.01,          767.14,  414890.04,   65887.74
     21096356,IRE / Ballin 21st Jul                                                           ,1m1f Mdn                                          ,21-07-2008 18:10,      2445621,Shanghai Star                 ,      0.000000,       6.4,7.56110899,9.76179697,        10,         6,        20,      1.89,           26.58,   39483.74,    7410.16
     21096356,IRE / Ballin 21st Jul                                                           ,1m1f Mdn                                          ,21-07-2008 18:10,      2481486,Another Sister                ,      0.000000,22.3805471,19.8424325,8.03508160,        36,      16.5,       350,        25,            24.7,   11619.12,      234.6
     21096356,IRE / Ballin 21st Jul                                                           ,1m1f Mdn                                          ,21-07-2008 18:10,      2566197,Art Sleuth                    ,      0.000000,      3.85,3.91637676,2.18333757,       4.5,       3.3,        42,      2.02,              98,   80308.14,    7913.14
