
     EVENT_ID,MENU_HINT                                                                       ,EVENT_NAME                                        ,EVENT_DT        , SELECTION_ID,SELECTION_NAME                ,      WIN_LOSE,       BSP,     PPWAP,MORNINGWAP,     PPMAX,     PPMIN,     IPMAX,     IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
-------------,--------------------------------------------------------------------------------,--------------------------------------------------,----------------,-------------,------------------------------,--------------,----------,----------,----------,----------,----------,----------,----------,----------------,-----------,-----------
     21139774,IRE / GowP 13th Aug                                                             ,TO BE PLACED                                      ,13-08-2008 16:45,      3057445,Douze Points                  ,      1.000000,      1.34,1.38078399,1.37631384,      1.51,       1.3,      1.03,      1.03,             6.3,   18059.91,    1705.26
     21139774,IRE / GowP 13th Aug                                                             ,TO BE PLACED                                      ,13-08-2008 16:45,      3145974,Drumbeat                      ,      1.000000,      1.18,1.18231546,1.23225438,      1.29,      1.15,      1.18,      1.01,          187.98,   36122.99,    2753.76
     21139774,IRE / GowP 13th Aug                                                             ,TO BE PLACED                                      ,13-08-2008 16:45,      3183366,Sleepy Dreams                 ,      0.000000,52.0626822,20.2533270,         1,        75,        24,         7,         7,               0,     121.96,         88
     21139774,IRE / GowP 13th Aug                                                             ,TO BE PLACED                                      ,13-08-2008 16:45,      3190828,Ptolemaeus                    ,      0.000000,        11,9.54367245,         1,        15,        11,         1,      1001,               0,     209.56,          0
     21139774,IRE / GowP 13th Aug                                                             ,TO BE PLACED                                      ,13-08-2008 16:45,      3201267,Beau Choix                    ,      0.000000,21.9400411,15.3253117,         1,         1,      1001,         1,      1001,               0,     109.87,          0
     21139774,IRE / GowP 13th Aug                                                             ,TO BE PLACED                                      ,13-08-2008 16:45,      3209943,Perfect Buttons               ,      0.000000,        16,12.7764082,8.39999659,        16,      15.5,         1,      1001,              10,     115.21,          0
     21139774,IRE / GowP 13th Aug                                                             ,TO BE PLACED                                      ,13-08-2008 16:45,      3224020,Lulus Flight                  ,      0.000000,        12,10.5119753,         1,         1,      1001,         1,      1001,               0,     208.51,          4
     21139774,IRE / GowP 13th Aug                                                             ,TO BE PLACED                                      ,13-08-2008 16:45,      3239039,Coolcullen Times              ,      0.000000,         4,4.02071912,         1,       4.4,       3.7,         1,      1001,               0,    1476.22,         20
     21139774,IRE / GowP 13th Aug                                                             ,TO BE PLACED                                      ,13-08-2008 16:45,      3241245,Carissima                     ,      0.000000,        28,19.3969319,         1,         1,      1001,         1,      1001,               0,      73.01,          0
     21139774,IRE / GowP 13th Aug                                                             ,TO BE PLACED                                      ,13-08-2008 16:45,      3265410,Sublime Talent                ,      0.000000,      2.94,2.77815845,1.89523791,      3.35,      2.94,         1,      1001,              84,    1282.86,       76.2
     21139774,IRE / GowP 13th Aug                                                             ,TO BE PLACED                                      ,13-08-2008 16:45,      3265411,Nafaath                       ,      1.000000,3.44127754,3.05670044,         1,         3,      2.82,      1.01,      1.01,               0,    1346.22,    1873.04
     21139774,IRE / GowP 13th Aug                                                             ,TO BE PLACED                                      ,13-08-2008 16:45,      3265412,Bold Fella                    ,      0.000000,        26,27.8683948,         1,        55,        55,         1,      1001,               0,      82.52,          4
     21139774,IRE / GowP 13th Aug                                                             ,TO BE PLACED                                      ,13-08-2008 16:45,      3265413,West Wing                     ,      0.000000,       9.6,9.29506618,         1,        12,       9.2,         1,      1001,               0,     224.37,          0
     21139776,IRE / GowP 13th Aug                                                             ,TO BE PLACED                                      ,13-08-2008 17:15,      2935076,Anam Cairde                   ,      0.000000,       9.8,12.2854153,         1,      17.5,      17.5,         1,      1001,               0,     119.86,          4
     21139776,IRE / GowP 13th Aug                                                             ,TO BE PLACED                                      ,13-08-2008 17:15,      2945216,Playdate                      ,      0.000000,       3.2,2.61329860,1.82994572,       2.9,       2.2,         1,      1001,               4,    2701.62,         48
     21139776,IRE / GowP 13th Aug                                                             ,TO BE PLACED                                      ,13-08-2008 17:15,      2967343,Spavento                      ,      0.000000,       4.7,4.56494091,         1,         1,      1001,       4.1,       4.1,               0,     231.04,      54.14
     21139776,IRE / GowP 13th Aug                                                             ,TO BE PLACED                                      ,13-08-2008 17:15,      2983437,Tosach Nua                    ,      1.000000,      2.52,2.58057579,         1,      2.68,      2.64,         1,      1001,               0,    1877.98,     170.56
     21139776,IRE / GowP 13th Aug                                                             ,TO BE PLACED                                      ,13-08-2008 17:15,      3013259,Optimal Power                 ,      1.000000,      2.16,2.01588400,1.83999097,      2.16,      1.98,      1.05,      1.01,               4,     4827.1,     4768.9
     21139776,IRE / GowP 13th Aug                                                             ,TO BE PLACED                                      ,13-08-2008 17:15,      3020870,Tarrsille                     ,      1.000000,      1.96,2.00091908,1.90994003,      2.04,      1.96,      2.26,      1.01,               4,    7479.06,    5078.98
