
     EVENT_ID,MENU_HINT                                                                       ,EVENT_NAME                                        ,EVENT_DT        , SELECTION_ID,SELECTION_NAME                ,      WIN_LOSE,       BSP,     PPWAP,MORNINGWAP,     PPMAX,     PPMIN,     IPMAX,     IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
-------------,--------------------------------------------------------------------------------,--------------------------------------------------,----------------,-------------,------------------------------,--------------,----------,----------,----------,----------,----------,----------,----------,----------------,-----------,-----------
     21050223,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 14:30,       245431,Honoured Guest                ,      0.000000,58.7292227,54.7265220,40.5204440,        85,        27,        60,        50,          379.86,     3779.4,      62.64
     21050223,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 14:30,       695223,Mount Nelson                  ,      0.000000,        10,11.1542803,9.17970687,      16.5,         8,         1,      1001,         2824.46,    9532.98,          6
     21050223,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 14:30,       775823,Cesare                        ,      0.000000,2.95554690,2.81384694,2.78253586,      3.05,      2.66,         2,         2,          8609.2,   54400.76,     869.64
     21050223,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 14:30,       891280,Linngari                      ,      0.000000,       4.6,3.88087972,3.37419244,       5.2,      2.84,        12,        12,         7201.14,   29121.48,      111.3
     21050223,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 14:30,      1271160,Spirito Del Vento             ,      0.000000,7.13802717,7.68773150,7.87048112,       9.6,       6.4,         1,      1001,          2523.5,   10708.26,       6.34
     21050223,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 14:30,      1457309,Finsceal Beo                  ,      1.000000,2.25995609,2.47623815,2.91519201,      3.05,      2.12,      2.36,      1.01,         7685.18,   64775.62,    7535.94
     21050223,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 14:30,      1490450,Tariq                         ,      0.000000,      2.38,2.29745464,2.39901125,      2.48,      2.06,        20,        12,        12993.46,   85065.56,     672.84
     21050223,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 14:30,      2008202,Haradasun                     ,      1.000000,2.45952683,2.27621831,2.32762902,      2.48,      2.16,      2.36,      1.01,        12287.06,   87790.55,    7161.94
     21050223,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 14:30,      2398389,Darjina                       ,      1.000000,      2.38,2.39793820,2.50570469,      2.88,      2.28,      2.16,      1.04,        14399.02,   68740.98,    4152.46
     21050223,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 14:30,      2399585,Arabian Gleam                 ,      0.000000,5.61275558,5.91614488,6.68480855,       7.4,       4.8,         1,      1001,          2823.1,   19808.74,         26
     21050223,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 14:30,      2460790,Sageburg                      ,      0.000000,      2.98,2.98848515,2.53299033,      3.55,       2.3,       3.3,       3.3,         7429.96,   39965.88,     894.86
     21050225,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 15:05,        67866,Magnus                        ,      0.000000,2.43619197,2.70494326,2.80365196,      3.14,      2.36,      2.44,      2.44,         8108.34,   52207.09,      770.8
     21050225,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 15:05,       466110,Benbaun                       ,      0.000000,       4.5,4.34955431,4.09319170,       4.9,      3.79,       4.6,       4.6,         2103.04,   17606.85,     147.92
     21050225,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 15:05,       938603,Matsunosuke                   ,      0.000000,        46,45.2284315,34.9601777,        80,     27.06,         1,      1001,          392.54,    2198.34,         16
     21050225,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 15:05,      1119489,Takeover Target               ,      1.000000,2.48792364,2.47130112,2.39536579,      2.68,      2.27,      2.02,       1.2,         8536.46,   63665.63,       1724
     21050225,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 15:05,      1139486,Dandy Man                     ,      0.000000,       3.2,3.46452706,3.71720211,         4,       3.1,      1.75,       1.2,          4320.5,    33885.8,    2131.34
     21050225,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 15:05,      1199924,Moorhouse Lad                 ,      0.000000,        15,13.8689914,14.8609297,      17.5,      11.5,      14.5,      14.5,          777.34,    5840.03,      46.98
     21050225,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 15:05,      1457304,Abraham Lincoln               ,      0.000000,       9.6,10.1254762,10.8882682,     14.95,         9,         1,      1001,            1325,    8788.65,          0
     21050225,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 15:05,      1457912,Hoh Mike                      ,      0.000000,       6.4,6.63077128,6.46536373,       7.6,      5.65,         1,      1001,         4009.42,   18760.92,         15
     21050225,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 15:05,      1520321,Enticing                      ,      0.000000,       9.8,9.73467918,9.80554050,      11.7,      8.63,       8.8,       8.8,         1486.08,   10586.97,         80
     21050225,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 15:05,      2304961,National Colour               ,      0.000000,       6.6,5.98166561,5.74090469,       6.8,         5,       2.8,         2,         3815.44,   23324.15,        606
     21050225,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 15:05,      2438450,Fleeting Spirit               ,      1.000000,      1.47,1.49674265,1.54466912,      1.66,      1.46,       1.7,      1.09,        17220.62,  198799.89,    4226.52
     21050225,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 15:05,      2447780,Kingsgate Native              ,      0.000000,       3.3,3.10360088,3.13563780,       3.5,      2.82,       3.1,       3.1,          4333.7,   36433.93,     172.44
     21050225,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 15:05,      2627854,Equiano                       ,      1.000000,         7,6.65160487,6.10441638,       7.6,       5.1,       1.2,      1.01,         3249.14,    14400.1,    6385.68
     21050227,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 15:45,      2446700,Ravens Pass                   ,      1.000000,1.81777737,1.93925192,2.02503264,      2.32,       1.8,      1.73,      1.01,        23256.66,  164165.86,    12748.6
     21050227,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 15:45,      2020942,Falco                         ,      0.000000,      1.78,1.77206010,1.64255544,      1.89,      1.56,       1.8,      1.42,        14296.68,  143171.87,    3507.24
     21050227,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 15:45,      2402734,Henrythenavigator             ,      1.000000,      1.13,1.11353196,1.11370479,      1.14,      1.09,      1.14,      1.01,        24846.38,  268080.28,   10958.68
     21050227,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 15:45,      2423811,Stubbs Art                    ,      0.000000,         4,4.08116531,3.58930620,       4.5,      3.41,       100,       100,         5314.68,   38641.72,     128.78
     21050227,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 15:45,      2457506,Minneapolis                   ,      0.000000,        50,47.7883652,39.2723003,        70,     25.82,        50,        44,          549.14,    3572.78,      30.52
     21050227,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 15:45,      2495911,Cat Junior                    ,      0.000000,      13.5,16.9447313,15.0214706,        29,      12.5,      13.5,      13.5,          815.68,     6440.8,         58
     21050227,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 15:45,      2496337,Alexandros                    ,      0.000000,5.09887519,5.97212421,7.23433781,       9.4,       4.4,         1,      1001,         2439.38,   27819.26,      55.86
     21050227,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 15:45,      2569392,Twice Over                    ,      1.000000,      1.91,1.92671404,1.97105907,      2.08,      1.81,      1.81,      1.01,         11604.9,  103912.85,   10871.86
     21050229,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:20,       269621,Orizaba                       ,      0.000000,      1.95,1.95062709,2.15488887,      2.26,      1.86,       5.1,         2,         8457.48,  137229.34,    1558.74
     21050229,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:20,      2942170,Art Connoisseur               ,      1.000000,      3.55,3.61982353,3.48964896,       4.5,      3.35,       3.6,      1.01,         2070.58,   32668.57,    5504.62
     21050229,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:20,      2969641,Smokey Storm                  ,      0.000000,       6.6,6.34621947,5.37443371,       7.8,         4,         1,      1001,         2333.88,   16837.21,      10.04
     21050229,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:20,      2971583,Icesolator                    ,      0.000000,       5.6,4.93751721,4.60083004,       5.9,       4.1,         1,      1001,         1993.14,   15883.43,          4
     21050229,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:20,      2972081,Shampagne                     ,      0.000000,7.46294879,6.55050074,8.27222591,         9,       5.3,       8.2,         8,         1113.16,   13572.57,     124.04
     21050229,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:20,      2979624,Lord Shanakill                ,      1.000000,4.59188608,4.52947690,4.72364776,       5.2,       4.1,       1.2,       1.2,         2922.28,   18194.33,    1488.88
     21050229,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:20,      2981371,Harwalla                      ,      0.000000,      18.5,14.8765545,15.3198023,        19,        13,         1,      1001,          439.58,    4276.14,          8
     21050229,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:20,      2983396,Peter Tchaikovsky             ,      0.000000,       4.2,4.52517147,3.66702890,       5.4,      2.84,       5.5,       4.2,         1881.24,   23494.65,     494.94
     21050229,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:20,      3020868,Intense Focus                 ,      1.000000,      3.95,5.87139188,6.62367256,       8.6,      3.95,      2.56,      1.01,         1370.16,    12377.7,    3724.22
     21050229,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:20,      3038524,Shaweel                       ,      0.000000,6.08401400,7.18515720,8.71899647,       9.4,       5.9,         1,      1001,         1006.46,    9029.57,      18.04
     21050229,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:20,      3040215,Awinnersgame                  ,      0.000000,8.51863812,8.94176930,9.26407059,      10.5,       7.6,         1,      1001,         1072.12,    6291.15,       14.4
     21050229,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:20,      3045860,Instalment                    ,      0.000000,       6.8,6.45597449,7.04569670,       8.2,       5.5,         1,      1001,          1180.9,   11550.76,      20.04
     21050229,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:20,      3049205,I Am The Best                 ,      0.000000,        40,28.3161860,30.0255762,        42,      18.5,         1,      1001,          288.86,    2626.46,          8
     21050229,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:20,      3052891,Square Eddie                  ,      0.000000,      18.5,17.0773882,16.4392227,        25,        12,         1,      1001,          734.68,    6313.23,          4
     21050229,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:20,      3067405,Thunderous Mood               ,      0.000000,9.74224458,9.69564845,11.1725355,        13,       8.4,         1,      1001,          811.48,    6007.54,      29.32
     21050229,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:20,      3082124,Himalya                       ,      0.000000,       3.2,2.63955284,2.16394047,       3.4,      1.99,       3.3,         2,        11522.34,   56111.99,    1410.52
     21050229,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:20,      3082967,Versaki                       ,      0.000000,       9.4,10.7668910,12.4823448,        14,       6.4,         1,      1001,           721.1,    7678.83,          4
     21050229,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:20,      3105720,Blown It                      ,      0.000000,25.5153636,23.6110720,24.0275672,        40,      18.5,         1,      1001,           404.4,       3554,          0
     21050231,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:55,       424777,Hawridge Prince               ,      0.000000,7.17408561,6.80968407,8.11742417,      8.72,         6,       7.4,         6,           532.1,    6637.68,     222.32
     21050231,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:55,       589523,Vinando                       ,      0.000000,        24,22.0332175,14.0749425,        30,     10.41,      16.5,      16.5,          214.12,     1984.7,       92.3
     21050231,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:55,       786791,Jawad                         ,      0.000000,      3.55,3.63441254,3.78064123,       3.9,       3.5,      3.05,      3.05,         1683.74,   16708.33,        230
     21050231,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:55,       850311,Baddam                        ,      0.000000,4.27285554,3.91072115,3.95360255,       4.5,       3.4,       4.4,       4.1,         1731.78,   26972.96,     768.76
     21050231,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:55,       965925,Tritonville Lodge             ,      0.000000,        13,14.9170224,19.9427690,     25.75,      10.5,         1,      1001,          247.12,    3330.08,       30.3
     21050231,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:55,      1210447,Missoula                      ,      1.000000,       5.4,5.37653886,5.22548500,       5.7,      4.76,      1.05,      1.01,         1417.98,    9405.47,     5934.7
     21050231,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:55,      1289017,Liberate                      ,      1.000000,      1.86,2.01053838,2.14554921,      2.24,      1.82,      1.96,      1.01,         2822.24,   85860.28,    12463.4
     21050231,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:55,      1289060,Galient                       ,      0.000000,      2.88,2.90614834,2.76731915,      3.05,      2.72,         1,      1001,           982.6,   18766.09,     279.28
     21050231,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:55,      1294557,Tears Of A Clown              ,      0.000000,       6.6,7.70372373,8.10985215,      8.92,       6.8,         7,       6.6,          2915.4,    13139.9,     188.08
     21050231,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:55,      1297234,Power Of Future               ,      0.000000,5.15278129,5.28619580,5.63298854,      5.95,       4.8,         1,      1001,          884.82,   11233.16,      84.52
     21050231,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:55,      1441421,Som Tala                      ,      0.000000,      2.26,2.53051027,2.62665894,       2.8,       2.2,      2.48,      1.92,         4047.36,    64042.5,    2028.26
     21050231,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:55,      2075370,Mamlook                       ,      1.000000,2.83263374,2.93831938,3.12070342,      3.57,      2.66,       5.1,      1.01,         4402.96,   35128.55,    6782.66
     21050231,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:55,      2079581,Basalt                        ,      0.000000,3.29980399,3.71842813,4.59792713,      4.66,      2.82,      3.75,       2.8,         1753.96,   20979.77,     674.36
     21050231,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:55,      2117360,Duty Free                     ,      0.000000,       5.8,5.11605038,4.87890052,       6.2,       4.5,         1,      1001,          853.36,   10166.16,        150
     21050231,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:55,      2455048,Legend Erry                   ,      0.000000,9.45904789,8.72956329,8.67230287,     12.88,      7.93,         8,         8,          561.48,    5315.34,        274
     21050231,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:55,      2515621,Bukit Tinggi                  ,      1.000000,       2.2,2.11067274,1.88917933,       2.4,      1.88,      2.26,      1.01,         2777.58,   60084.82,   12699.76
     21050231,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:55,      2591663,Daltaban                      ,      0.000000,16.3614913,14.4712756,14.1272155,        18,      11.5,         1,      1001,          266.06,    2728.61,         38
     21050231,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 16:55,      2594456,Clear Reef                    ,      0.000000,17.7620178,15.3367392,12.8923954,        20,      10.9,         1,      1001,          290.38,    2694.56,       24.9
     21050233,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 17:30,      2921894,Shes A Shaw Thing             ,      0.000000,      13.5,10.5360479,10.7017680,      14.5,       7.8,         1,      1001,           509.9,     6601.5,        5.6
     21050233,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 17:30,      2933148,Asaint Needs Brass            ,      0.000000,21.6549712,17.2933945,11.5257246,        23,      8.77,        20,        19,          406.94,    3104.86,       54.6
     21050233,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 17:30,      2945213,Kate The Great                ,      0.000000,67.6074886,54.3556454,54.6962365,        80,        40,         1,      1001,           80.94,    1247.58,          0
     21050233,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 17:30,      2956376,Kingswinford                  ,      0.000000,104.774143,63.7699444,45.8773050,       110,        27,         1,      1001,           159.5,    1077.73,          0
     21050233,GB / Ascot 17th Jun                                                             ,TO BE PLACED                                      ,17-06-2008 17:30,      2972050,Moss Likely                   ,      0.000000,       6.6,5.76138136,5.04613913,         7,       4.3,       6.6,       6.6,         1455.92,   13427.11,       36.5
