
     EVENT_ID,MENU_HINT                                                                       ,EVENT_NAME                                        ,EVENT_DT        , SELECTION_ID,SELECTION_NAME                ,      WIN_LOSE,       BSP,     PPWAP,MORNINGWAP,     PPMAX,     PPMIN,     IPMAX,     IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
-------------,--------------------------------------------------------------------------------,--------------------------------------------------,----------------,-------------,------------------------------,--------------,----------,----------,----------,----------,----------,----------,----------,----------------,-----------,-----------
     20958351,GB / Ponte 21st Apr                                                             ,5f Mdn Stks                                       ,21-04-2008 14:10,      2921898,Transcentral                  ,      0.000000,       4.9,4.29919462,3.79616981,         5,       3.5,      1000,       4.4,          7170.1,  219565.12,    7305.66
     20958351,GB / Ponte 21st Apr                                                             ,5f Mdn Stks                                       ,21-04-2008 14:10,      2986873,Sale Or Return                ,      0.000000,6.38180918,5.25105619,4.82028775,       6.6,       4.7,      1000,       5.6,         2575.56,   63469.34,     1462.8
     20958351,GB / Ponte 21st Apr                                                             ,5f Mdn Stks                                       ,21-04-2008 14:10,      2986874,Camelot Communion             ,      0.000000,5.05602310,4.67014311,4.28300972,       5.8,       3.9,        12,       1.7,         5304.66,   80534.03,   11900.56
     20958351,GB / Ponte 21st Apr                                                             ,5f Mdn Stks                                       ,21-04-2008 14:10,      2986876,Asian Tale                    ,      0.000000,        12,6.47605557,7.57315996,        12,       5.7,      1000,      1.63,          648.68,   54552.99,    8493.56
     20958351,GB / Ponte 21st Apr                                                             ,5f Mdn Stks                                       ,21-04-2008 14:10,      2986878,Orphaned Annie                ,      0.000000,8.86429838,9.52471752,13.8302915,      15.5,       7.6,      1000,         8,          268.48,   23018.76,     886.16
     20958351,GB / Ponte 21st Apr                                                             ,5f Mdn Stks                                       ,21-04-2008 14:10,      2986882,Rosabee                       ,      0.000000,10.5162861,13.1335426,18.2874060,        24,       9.6,       190,         9,          752.44,   15552.36,     819.16
     20958351,GB / Ponte 21st Apr                                                             ,5f Mdn Stks                                       ,21-04-2008 14:10,      2986884,Clumber Place                 ,      1.000000,23.7367406,22.7110845,20.1132951,        34,        17,        22,      1.01,          375.08,    9303.15,   34135.46
     20958353,GB / Ponte 21st Apr                                                             ,1m4f Hcap                                         ,21-04-2008 14:40,      1359781,Oberlin                       ,      0.000000,       6.4,6.88821841,5.31112784,       8.4,       4.5,      1000,         6,         3097.64,   67506.82,    5803.64
     20958353,GB / Ponte 21st Apr                                                             ,1m4f Hcap                                         ,21-04-2008 14:40,      2419615,Princes Decree                ,      0.000000,        21,19.6469456,27.4152658,       100,      15.5,      1000,        11,          190.66,   13043.76,     1923.9
     20958353,GB / Ponte 21st Apr                                                             ,1m4f Hcap                                         ,21-04-2008 14:40,      2481354,Intersky Melody               ,      0.000000,29.3269112,34.0533179,46.3122065,        65,        29,       190,        20,           133.8,    7024.16,     494.16
     20958353,GB / Ponte 21st Apr                                                             ,1m4f Hcap                                         ,21-04-2008 14:40,      2485526,Al Azy                        ,      0.000000,       8.2,7.00804118,5.98227888,       9.2,       5.4,      1000,      2.24,         2621.44,   55311.31,   29050.08
     20958353,GB / Ponte 21st Apr                                                             ,1m4f Hcap                                         ,21-04-2008 14:40,      2497809,Generous Boy                  ,      0.000000,      16.5,14.5602786,9.39457800,      18.5,         9,       350,      16.5,          898.52,   17441.53,     646.36
     20958353,GB / Ponte 21st Apr                                                             ,1m4f Hcap                                         ,21-04-2008 14:40,      2513279,Sabre Light                   ,      0.000000,64.1229989,60.8953512,54.0162202,       120,        42,      1000,        40,           69.94,    3107.98,     161.48
     20958353,GB / Ponte 21st Apr                                                             ,1m4f Hcap                                         ,21-04-2008 14:40,      2559109,Stealth Project               ,      0.000000,        24,20.8665936,26.1275799,        30,        13,        30,      2.02,          288.24,   14486.16,    7858.74
     20958353,GB / Ponte 21st Apr                                                             ,1m4f Hcap                                         ,21-04-2008 14:40,      2600566,Stow                          ,      0.000000,      3.05,2.91926833,3.40804765,       4.8,       2.8,      1000,      1.74,        21641.54,  412993.55,   74656.28
     20958353,GB / Ponte 21st Apr                                                             ,1m4f Hcap                                         ,21-04-2008 14:40,      2634941,Silver Waters                 ,      1.000000,5.60015372,5.65770431,6.53867970,       7.6,       5.4,        24,      1.01,         1499.78,   72682.88,   59110.78
     20958355,GB / Ponte 21st Apr                                                             ,6f Hcap                                           ,21-04-2008 15:10,        41481,Steenberg                     ,      0.000000,        36,34.8675427,38.5660641,     56.16,     23.48,        36,        34,          553.36,    8048.47,      42.76
