
     EVENT_ID,MENU_HINT                                                                       ,EVENT_NAME                                        ,EVENT_DT        , SELECTION_ID,SELECTION_NAME                ,      WIN_LOSE,       BSP,     PPWAP,MORNINGWAP,     PPMAX,     PPMIN,     IPMAX,     IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
-------------,--------------------------------------------------------------------------------,--------------------------------------------------,----------------,-------------,------------------------------,--------------,----------,----------,----------,----------,----------,----------,----------,----------------,-----------,-----------
     21025867,IRE / Leop 28th May                                                             ,6f Mdn                                            ,28-05-2008 18:00,      3074100,Rantavan Wood                 ,      0.000000,6.51922215,6.36352413,3.49035418,         8,       5.1,      1000,      2.64,               4,   21058.01,    2192.88
     21025867,IRE / Leop 28th May                                                             ,6f Mdn                                            ,28-05-2008 18:00,      2945218,Call The Law                  ,      0.000000,       8.4,11.5991847,24.9994483,        21,         7,      1000,      1.52,            6.36,    8343.01,       4798
     21025867,IRE / Leop 28th May                                                             ,6f Mdn                                            ,28-05-2008 18:00,      2967344,Roshina                       ,      0.000000,        10,9.97158108,         1,      14.5,         7,       100,      1.13,               0,   12103.68,    19973.8
     21025867,IRE / Leop 28th May                                                             ,6f Mdn                                            ,28-05-2008 18:00,      3040755,Kitchi                        ,      0.000000,      2.18,2.21754679,2.64675215,       2.8,      1.94,      1000,       1.7,         1091.18,  382487.36,    20474.2
     21025867,IRE / Leop 28th May                                                             ,6f Mdn                                            ,28-05-2008 18:00,      3040765,Cape West                     ,      0.000000,32.2241208,33.4793615,         1,        46,        20,        95,        20,               0,     2018.6,      76.34
     21025867,IRE / Leop 28th May                                                             ,6f Mdn                                            ,28-05-2008 18:00,      3045830,Chibcha                       ,      1.000000,        29,22.6278819,12.4997974,        32,      16.5,        18,      1.01,            6.36,    2111.64,    45857.1
     21025867,IRE / Leop 28th May                                                             ,6f Mdn                                            ,28-05-2008 18:00,      3074101,Look Officer                  ,      0.000000,17.1661268,11.5566730,5.74475743,      18.5,         7,        48,        42,            46.1,    9107.45,      61.64
     21025867,IRE / Leop 28th May                                                             ,6f Mdn                                            ,28-05-2008 18:00,      3074102,Moving Statue                 ,      0.000000,25.1238953,19.2833241,10.6498597,        25,        15,        18,        17,               6,    3258.21,     157.14
     21025867,IRE / Leop 28th May                                                             ,6f Mdn                                            ,28-05-2008 18:00,      3074104,Rosie The Riveter             ,      0.000000,        90,54.4506728,         1,       120,        27,        90,        90,               0,     953.13,         14
