
     EVENT_ID,MENU_HINT                                                                       ,EVENT_NAME                                        ,EVENT_DT        , SELECTION_ID,SELECTION_NAME                ,      WIN_LOSE,       BSP,     PPWAP,MORNINGWAP,     PPMAX,     PPMIN,     IPMAX,     IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
-------------,--------------------------------------------------------------------------------,--------------------------------------------------,----------------,-------------,------------------------------,--------------,----------,----------,----------,----------,----------,----------,----------,----------------,-----------,-----------
     21066062,IRE / Curr 28th Jun                                                             ,TO BE PLACED                                      ,28-06-2008 14:10,        51708,Tigim                         ,      0.000000,         7,7.16193623,3.85999299,       8.6,         7,         1,      1001,               4,     380.94,          4
     21066062,IRE / Curr 28th Jun                                                             ,TO BE PLACED                                      ,28-06-2008 14:10,       848293,Perfect Memory                ,      0.000000,7.00718507,6.15746159,4.09499956,      10.5,       9.2,         1,      1001,              54,     354.08,          0
     21066062,IRE / Curr 28th Jun                                                             ,TO BE PLACED                                      ,28-06-2008 14:10,       924692,Imco Tendence                 ,      0.000000,       5.2,4.99910284,3.75419106,      3.87,      3.87,         1,      1001,            6.34,     542.16,          0
     21066062,IRE / Curr 28th Jun                                                             ,TO BE PLACED                                      ,28-06-2008 14:10,      1431290,Liffey Bank                   ,      0.000000,        25,13.9097242,6.75838789,        17,        15,         1,      1001,            6.34,     106.25,          0
     21066062,IRE / Curr 28th Jun                                                             ,TO BE PLACED                                      ,28-06-2008 14:10,      1545520,Ghostmilk                     ,      0.000000,       4.4,3.47225474,2.59397435,       4.9,      3.05,         1,      1001,           29.78,    2454.59,        110
     21066062,IRE / Curr 28th Jun                                                             ,TO BE PLACED                                      ,28-06-2008 14:10,      2020919,Theres A Light                ,      0.000000,23.7725120,14.3652990,         1,        18,        18,         1,      1001,               0,      40.46,          0
     21066062,IRE / Curr 28th Jun                                                             ,TO BE PLACED                                      ,28-06-2008 14:10,      2048649,Majestic Cheer                ,      0.000000,        26,11.1028140,         1,         1,      1001,         1,      1001,               0,      34.47,          0
     21066062,IRE / Curr 28th Jun                                                             ,TO BE PLACED                                      ,28-06-2008 14:10,      2074172,Roys Delight                  ,      0.000000,8.92951419,4.05513027,2.93754738,         1,      1001,         1,      1001,           55.46,     614.08,          0
     21066062,IRE / Curr 28th Jun                                                             ,TO BE PLACED                                      ,28-06-2008 14:10,      2102361,Headford View                 ,      1.000000,12.9167462,6.22641952,2.82011273,       7.2,       7.2,         1,      1001,           15.86,     396.26,          0
     21066062,IRE / Curr 28th Jun                                                             ,TO BE PLACED                                      ,28-06-2008 14:10,      2102363,Whatwodmyrasay                ,      0.000000,       6.4,4.78129325,2.52407159,       5.2,       5.2,         1,      1001,           19.84,     681.38,          0
     21066062,IRE / Curr 28th Jun                                                             ,TO BE PLACED                                      ,28-06-2008 14:10,      2102377,Sheer Silk                    ,      0.000000,5.26892550,5.48615513,4.25686169,       7.4,       5.8,         1,      1001,           58.58,    1083.94,          0
     21066062,IRE / Curr 28th Jun                                                             ,TO BE PLACED                                      ,28-06-2008 14:10,      2113813,Passcini                      ,      0.000000,         9,7.79743207,         1,         9,         9,         1,      1001,               0,     154.21,          0
     21066062,IRE / Curr 28th Jun                                                             ,TO BE PLACED                                      ,28-06-2008 14:10,      2129075,Brosna Cry                    ,      0.000000,       4.8,4.72271122,3.86999550,       6.6,         4,         1,      1001,           11.24,    1270.42,          0
     21066062,IRE / Curr 28th Jun                                                             ,TO BE PLACED                                      ,28-06-2008 14:10,      2129083,Maid Of Lorn                  ,      0.000000,       8.4,7.33899701,6.08658272,       8.2,         7,         1,      1001,           33.84,      506.5,       7.92
     21066062,IRE / Curr 28th Jun                                                             ,TO BE PLACED                                      ,28-06-2008 14:10,      2142912,Bentesina                     ,      0.000000,       2.5,2.49017895,2.15318000,      2.76,      2.15,         1,      1001,          165.26,    7701.75,     383.24
     21066062,IRE / Curr 28th Jun                                                             ,TO BE PLACED                                      ,28-06-2008 14:10,      2326472,Absa Lutte                    ,      0.000000,       5.5,5.49415751,4.48999040,       5.8,       5.6,         1,      1001,               4,     826.36,          0
     21066062,IRE / Curr 28th Jun                                                             ,TO BE PLACED                                      ,28-06-2008 14:10,      2352836,Downhill Skier                ,      0.000000,12.4196630,9.26090917,         1,         1,      1001,         1,      1001,               0,     114.17,          0
     21066062,IRE / Curr 28th Jun                                                             ,TO BE PLACED                                      ,28-06-2008 14:10,      2381581,Imply                         ,      0.000000,15.3635006,10.9951018,         1,         1,      1001,         1,      1001,               0,     111.88,          0
     21066062,IRE / Curr 28th Jun                                                             ,TO BE PLACED                                      ,28-06-2008 14:10,      2384587,Belles Ridge                  ,      1.000000,3.51839232,3.60971127,4.07093661,      4.35,       3.5,       2.4,      1.01,          551.02,    4348.31,    2773.78
     21066062,IRE / Curr 28th Jun                                                             ,TO BE PLACED                                      ,28-06-2008 14:10,      2385713,Let Me Shine                  ,      0.000000,       9.2,8.12091603,         1,       9.6,       9.4,         1,      1001,               0,      244.5,      14.26
     21066062,IRE / Curr 28th Jun                                                             ,TO BE PLACED                                      ,28-06-2008 14:10,      2398417,Impossible Dream              ,      1.000000,      3.85,4.08559788,         1,         5,         4,      1.01,      1.01,               0,    1215.46,    2402.18
     21066062,IRE / Curr 28th Jun                                                             ,TO BE PLACED                                      ,28-06-2008 14:10,      2404004,Killer Looks                  ,      0.000000,8.99385088,7.61277462,         1,         9,       7.4,         1,      1001,               0,     667.73,          0
     21066062,IRE / Curr 28th Jun                                                             ,TO BE PLACED                                      ,28-06-2008 14:10,      2487817,Lucies Pride                  ,      0.000000,        42,14.4094575,         1,        15,        15,         1,      1001,               0,       71.9,          0
     21066062,IRE / Curr 28th Jun                                                             ,TO BE PLACED                                      ,28-06-2008 14:10,      2507243,Em De Or                      ,      0.000000,16.4503269,11.4310929,         1,         1,      1001,         1,      1001,               0,      70.82,          0
     21066062,IRE / Curr 28th Jun                                                             ,TO BE PLACED                                      ,28-06-2008 14:10,      2524265,Dragon Lady                   ,      1.000000,       7.8,5.21856983,3.88879372,       8.4,      3.74,         1,      1001,             168,    1004.49,       1144
     21066062,IRE / Curr 28th Jun                                                             ,TO BE PLACED                                      ,28-06-2008 14:10,      2572595,Liberty Love                  ,      0.000000,      14.5,9.13410538,6.76650426,       9.6,      6.73,         1,      1001,           44.18,     286.94,          0
     21066062,IRE / Curr 28th Jun                                                             ,TO BE PLACED                                      ,28-06-2008 14:10,      2592412,Circle Dance                  ,      0.000000,4.42216527,3.72445773,2.68484519,       4.7,      2.47,         1,      1001,             340,    1591.93,          0
