
     EVENT_ID,MENU_HINT                                                                       ,EVENT_NAME                                        ,EVENT_DT        , SELECTION_ID,SELECTION_NAME                ,      WIN_LOSE,       BSP,     PPWAP,MORNINGWAP,     PPMAX,     PPMIN,     IPMAX,     IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
-------------,--------------------------------------------------------------------------------,--------------------------------------------------,----------------,-------------,------------------------------,--------------,----------,----------,----------,----------,----------,----------,----------,----------------,-----------,-----------
     21097395,GB / Yarm 22nd Jul                                                              ,TO BE PLACED                                      ,22-07-2008 14:45,       250236,Yakama                        ,      1.000000,       3.2,3.23082256,3.13615511,       3.5,         3,       1.2,      1.01,           92.38,     8403.5,    3254.14
     21097395,GB / Yarm 22nd Jul                                                              ,TO BE PLACED                                      ,22-07-2008 14:45,      2412189,Last Angel                    ,      0.000000,       4.1,4.11617806,4.47434037,       4.5,       3.9,       4.5,       4.5,           54.32,     6680.3,      126.5
     21097395,GB / Yarm 22nd Jul                                                              ,TO BE PLACED                                      ,22-07-2008 14:45,      2446693,Landikhaya                    ,      0.000000,      1.92,1.89931629,2.01825981,      2.04,      1.82,       2.2,       2.2,          167.64,   23698.52,     485.94
     21097395,GB / Yarm 22nd Jul                                                              ,TO BE PLACED                                      ,22-07-2008 14:45,      2466543,Lenouska                      ,      0.000000,      2.54,2.76085114,2.51161341,       3.1,       2.6,         1,      1001,           78.64,     7059.1,     177.14
     21097395,GB / Yarm 22nd Jul                                                              ,TO BE PLACED                                      ,22-07-2008 14:45,      2497044,Latimer House                 ,      0.000000,       8.2,9.09589696,7.58268793,        10,       8.2,         5,         5,           56.36,     2309.4,         50
     21097395,GB / Yarm 22nd Jul                                                              ,TO BE PLACED                                      ,22-07-2008 14:45,      3086429,Ask Nicely                    ,      0.000000,1.79356254,1.66317176,1.54765822,      1.83,      1.55,      1.93,       1.6,          702.84,   47657.32,    1637.32
     21097395,GB / Yarm 22nd Jul                                                              ,TO BE PLACED                                      ,22-07-2008 14:45,      3112343,Wouldntitbenice               ,      1.000000,      1.61,1.66082841,1.77629259,      1.84,      1.54,       1.8,      1.01,          730.42,   66388.14,    6589.12
     21097395,GB / Yarm 22nd Jul                                                              ,TO BE PLACED                                      ,22-07-2008 14:45,      3171977,Bella Medici                  ,      1.000000,3.97518624,3.72097149,3.46935403,       4.3,      3.45,       2.1,      1.01,          133.48,       6244,    3062.86
     21097397,GB / Yarm 22nd Jul                                                              ,TO BE PLACED                                      ,22-07-2008 15:15,      2502223,Scientific                    ,      0.000000,4.32833211,4.53608775,3.90417899,      4.85,      4.27,         1,      1001,              28,    5526.66,     138.92
     21097397,GB / Yarm 22nd Jul                                                              ,TO BE PLACED                                      ,22-07-2008 15:15,      2506433,Graylyn Ruby                  ,      0.000000,  2.829111,2.69603671,2.67928709,      2.87,      2.52,         1,      1001,           100.4,   16605.93,     297.08
     21097397,GB / Yarm 22nd Jul                                                              ,TO BE PLACED                                      ,22-07-2008 15:15,      2564755,Ministerofinterior            ,      0.000000,  4.176877,4.91740771,4.15293498,      5.72,      4.18,       2.8,      2.24,              34,    4480.57,     423.86
     21097397,GB / Yarm 22nd Jul                                                              ,TO BE PLACED                                      ,22-07-2008 15:15,      2606301,Aleatricis                    ,      1.000000, 1.1444035,1.12535259,1.12155351,      1.18,      1.09,       1.2,      1.01,         3391.14,   96966.26,   11324.32
     21097397,GB / Yarm 22nd Jul                                                              ,TO BE PLACED                                      ,22-07-2008 15:15,      2942175,Golden Bishop                 ,      1.000000,1.46076373,1.53631198,1.52317030,      1.63,      1.39,      1.48,      1.01,         2476.32,   65201.26,   11182.34
