EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
172760424,SIS / Romfd 5th Sep,TO BE PLACED,05-09-2020 18:39,23861506,6. Bubbly Spark,1,4.093613834737335,1,1,1,1001,1,1001,0,145.92,0
172760456,SIS / Romfd 5th Sep,TO BE PLACED,05-09-2020 18:54,13221316,1. Burtonlodge Ward,0,4.447519105,1,1,1,1001,1,1001,0,556.92,0
172760456,SIS / Romfd 5th Sep,TO BE PLACED,05-09-2020 18:54,19779704,4. Guided By You,0,7.6,1,1,1,1001,1,1001,0,46.7,0
172760461,SIS / Romfd 5th Sep,TO BE PLACED,05-09-2020 19:32,22681403,2. Johnsons Rose,1,2.6456412652381918,1,1,1,1001,1,1001,0,832.54,0
172760461,SIS / Romfd 5th Sep,TO BE PLACED,05-09-2020 19:32,27898991,4. Piemans King,0,3.755292484,1,1,1,1001,1,1001,0,200.38,0
172757568,TRP / Newc 5th Sep,TO BE PLACED,05-09-2020 15:09,24472054,6. Amadan Dubh,0,6.113833371177025,1,1,1,1001,1,1001,0,827.48,0
172757584,TRP / Newc 5th Sep,TO BE PLACED,05-09-2020 17:42,32885729,2. Fourbet Queens,1,2.250032381341007,1,1,1,1001,1,1001,0,953.06,0
172757674,SIS / Henl 5th Sep,TO BE PLACED,05-09-2020 14:32,23283956,2. Droopys Luca,1,3.767792278,1,1,1,1001,1,1001,0,487.84,0
172757688,SIS / Henl 5th Sep,TO BE PLACED,05-09-2020 16:48,28741431,1. Jimmy The Snail,0,3.164031886241064,1,1,1,1001,1,1001,0,277.12,0
172758140,SIS / Hove 5th Sep,TO BE PLACED,05-09-2020 20:17,15483000,2. Sacred Act,0,2.46,1,1,1,1001,1,1001,0,147.2,0
172758140,SIS / Hove 5th Sep,TO BE PLACED,05-09-2020 20:17,20841953,3. Jacks Judge,0,3.85,1,1,1,1001,1,1001,0,286.94,0
172758140,SIS / Hove 5th Sep,TO BE PLACED,05-09-2020 20:17,22455461,6. Joyita,1,2.2048622197950323,1,1,1,1001,1,1001,0,549.98,0
172758320,SIS / Monm 5th Sep,TO BE PLACED,05-09-2020 20:43,22780424,3. Whittle Vic,0,3.55,1,1,1,1001,1,1001,0,56.58,0
172758320,SIS / Monm 5th Sep,TO BE PLACED,05-09-2020 20:43,35701899,1. Romantic Jimmy,0,4.792681212206371,1,1,1,1001,1,1001,0,733.82,0
172757361,TRP / PBarr 5th Sep,TO BE PLACED,05-09-2020 11:51,24996957,4. Easy Cowboy,0,2.304629305521593,1,2.14249746192893401015228426395939086294,1,1001,1,1001,354.6,354.6,0
172757361,TRP / PBarr 5th Sep,TO BE PLACED,05-09-2020 11:51,27646713,6. Lambstown Lagoon,1,3,1,3.06692935657915928490900306007408600419,1,1001,1,1001,1986.88,1986.88,0
172757367,TRP / PBarr 5th Sep,TO BE PLACED,05-09-2020 12:36,21838114,1. Break The Clock,0,2.82,1,1,1,1001,1,1001,0,651.52,0
172757369,TRP / PBarr 5th Sep,TO BE PLACED,05-09-2020 12:51,35839079,2. Canya Sydney,0,1.75,1,1,1,1001,1,1001,0,599.66,0
172757369,TRP / PBarr 5th Sep,TO BE PLACED,05-09-2020 12:51,5242256,6. Code Red,0,4,1,1,1,1001,1,1001,0,85.98,0
172720524,AUS / Mead (AUS) 5th Sep,TO BE PLACED,05-09-2020 06:24,35695227,3. You Ember,0,12.5,1,8.02036613272311212814645308924485125858,1,1001,1,1001,8.74,8.74,0
172720528,AUS / Mead (AUS) 5th Sep,TO BE PLACED,05-09-2020 07:04,35850035,7. Pilbara,1,3.45,1,2.40934472049689440993788819875776397516,1,1001,1,1001,193.2,193.2,0
172720530,AUS / Mead (AUS) 5th Sep,TO BE PLACED,05-09-2020 07:23,27167332,6. Farmor Watchers,0,7.204284739860414,1,4.68042756330427563304275633042756330428,1,1001,1,1001,192.72,192.72,0
172757363,TRP / PBarr 5th Sep,TO BE PLACED,05-09-2020 12:06,22077199,3. Going Through,0,2.2257025816196245,1,1,1,1001,1,1001,0,664.06,0
172716932,AUS / Nowr (AUS) 5th Sep,TO BE PLACED,05-09-2020 12:55,23330716,5. Underworld Rama,0,5.3,1,1,1,1001,1,1001,0,64.06,0
172717021,AUS / Cann (AUS) 5th Sep,TO BE PLACED,05-09-2020 12:47,28541011,3. Hairpin Trigger,0,1.9976839031088458,1,1,1,1001,1,1001,0,1337.64,0
172717047,AUS / Bath (AUS) 5th Sep,TO BE PLACED,05-09-2020 01:27,27038100,5. Miss Calais,1,29,1,12.4761051373954599761051373954599761051,1,1001,1,1001,50.22,50.22,0
172717527,AUS / WPrk (AUS) 5th Sep,TO BE PLACED,05-09-2020 09:07,28151911,9. Funky Portelli,0,8.2,1,7.26180854587611791984100695594567737661,1,1001,1,1001,60.38,60.38,0
172717533,AUS / WPrk (AUS) 5th Sep,TO BE PLACED,05-09-2020 10:08,23008450,5. Embye,0,5.891340538816877,1,3.44566787003610108303249097472924187726,1,1001,1,1001,88.64,88.64,0
172717533,AUS / WPrk (AUS) 5th Sep,TO BE PLACED,05-09-2020 10:08,22041266,1. Mrs Emgrand,0,3.331868013569183,1,2.32289634146341463414634146341463414634,1,1001,1,1001,360.8,360.8,0
172714672,AUS / Shep (AUS) 5th Sep,TO BE PLACED,05-09-2020 01:02,28302410,1. Verne Bale,0,2.771090723751259,1,1.88553903345724907063197026022304832714,1,1001,1,1001,21.52,21.52,0
172714676,AUS / Shep (AUS) 5th Sep,TO BE PLACED,05-09-2020 01:37,24606940,2. Brian Harold,0,3.9,1,1.42725591715976331360946745562130177515,1,1001,1,1001,27.04,27.04,0
172714676,AUS / Shep (AUS) 5th Sep,TO BE PLACED,05-09-2020 01:37,25811210,8. Moonie Convoy,0,1.47,1,1.36663428001993024414549078226208271051,1,1001,1,1001,80.28,80.28,0
172714692,AUS / Shep (AUS) 5th Sep,TO BE PLACED,05-09-2020 02:12,17327458,7. Fairytale Ending,0,9.670613347,1,6.12168141592920353982300884955752212389,1,1001,1,1001,126.56,126.56,0
172714692,AUS / Shep (AUS) 5th Sep,TO BE PLACED,05-09-2020 02:12,35835912,10. Jitterbug Witch ,0,14,1,5.50770901194353963083604777415852334419,1,1001,1,1001,18.42,18.42,0
172714696,AUS / Shep (AUS) 5th Sep,TO BE PLACED,05-09-2020 02:57,17068429,2. Penny La Moment,0,15.957894736842107,1,3.4073598130841121495327102803738317757,1,1001,1,1001,17.12,17.12,0
172715090,AUS / Gard (AUS) 5th Sep,TO BE PLACED,05-09-2020 09:42,35850063,4. Suzie Nismo,1,1.9323675537604141,1,1.41383893666927286942924159499609069586,1,1001,1,1001,204.64,204.64,0
172715090,AUS / Gard (AUS) 5th Sep,TO BE PLACED,05-09-2020 09:42,35850062,1. Blazing Snap,1,2.2269077343112444,1,2.12814227825303917154434939216569113012,1,1001,1,1001,222.1,222.1,0
172715094,AUS / Gard (AUS) 5th Sep,TO BE PLACED,05-09-2020 10:22,28265980,9. Chrystal Lodge,0,10.5,1,7.34532019704433497536945812807881773399,1,1001,1,1001,20.3,20.3,0
172715094,AUS / Gard (AUS) 5th Sep,TO BE PLACED,05-09-2020 10:22,28747829,7. Halcyon Life,0,10.5,1,7.49718298988963494636104036428185536775,1,1001,1,1001,129.57,129.57,0
172715150,AUS / Gard (AUS) 5th Sep,TO BE PLACED,05-09-2020 11:59,25178549,8. Time To Wander,0,3.759453707,1,2.47607778112752487187217365088935785348,1,1001,1,1001,66.34,66.34,0
172715168,AUS / Ball (AUS) 5th Sep,TO BE PLACED,05-09-2020 12:40,23303821,5. Lektra Rainbow,0,3.637941106554935,1,1,1,1001,1,1001,0,141.5,0
172757484,SIS / Romfd 5th Sep,TO BE PLACED,05-09-2020 13:02,24710299,3. Trapstyle Miami,0,3.3,1,1,1,1001,1,1001,0,270.44,0
172757530,SIS / Harl 5th Sep,TO BE PLACED,05-09-2020 08:43,35689436,5. Miss Wildcat,0,2.3034806878631944,1,2.01822065796548858581414674683482426553,1,1001,1,1001,409.14,409.14,0
172757536,SIS / Harl 5th Sep,TO BE PLACED,05-09-2020 09:34,20752265,5. Fancy Kerry,1,3.425,1,3.22145332050048123195380173243503368624,1,1001,1,1001,20.78,20.78,0
172720908,AUS / Ipsw (AUS) 5th Sep,TO BE PLACED,05-09-2020 09:34,28223525,8. Savitar,1,2.9793432782262608,1,2.50573706475756589651806052717214448422,1,1001,1,1001,245.84,245.84,0
172720908,AUS / Ipsw (AUS) 5th Sep,TO BE PLACED,05-09-2020 09:34,26596421,6. Key West,0,3.4,1,3.08236847067697529700169715255515745804,1,1001,1,1001,106.06,106.06,0
172757474,SIS / Romfd 5th Sep,TO BE PLACED,05-09-2020 11:46,35701977,1. Mayses Marling,1,1.7221295215777355,1,1.68868678433605364711836528120452963877,1,1001,1,1001,1580.7,1580.7,0
172757586,TRP / Newc 5th Sep,TO BE PLACED,05-09-2020 17:59,23009373,6. Styamra Hazel,0,2.419446634805646,1,1,1,1001,1,1001,0,614.52,0
172757627,SIS / Donc 5th Sep,TO BE PLACED,05-09-2020 15:02,26863383,5. Ballymac Mcgrath,0,1.902240314614137,1,1,1,1001,1,1001,0,709.26,0
172757627,SIS / Donc 5th Sep,TO BE PLACED,05-09-2020 15:02,32250776,2. Jet Stream Pride,1,2.203585613,1,1,1,1001,1,1001,0,92.06,0
172757645,SIS / Donc 5th Sep,TO BE PLACED,05-09-2020 17:54,32662427,6. Blanemore Ciara,0,1.987280257,1,1,1,1001,1,1001,0,1519.46,0
172757670,SIS / Henl 5th Sep,TO BE PLACED,05-09-2020 13:57,24274985,4. Savana Sherry,0,2.5531500112984933,1,1,1,1001,1,1001,0,273.88,0
172757686,SIS / Henl 5th Sep,TO BE PLACED,05-09-2020 16:28,28677518,3. Millhouse Mary,0,4.5,1,1,1,1001,1,1001,0,92.04,0
172757686,SIS / Henl 5th Sep,TO BE PLACED,05-09-2020 16:28,25661777,5. Demolition Dolly,0,8,1,1,1,1001,1,1001,0,72.96,0
172758126,SIS / Hove 5th Sep,TO BE PLACED,05-09-2020 18:09,12894971,2. Halo Blade,0,3.65,1,1,1,1001,1,1001,0,208.62,0
172758136,SIS / Hove 5th Sep,TO BE PLACED,05-09-2020 19:36,27736487,6. Oh My Goodness,1,2.826424909,1,1,1,1001,1,1001,0,635.7,0
172757397,SIS / Crayfd 5th Sep,TO BE PLACED,05-09-2020 10:37,28653719,6. Dyno Ana,0,2.28,1,2.24649724141723335227376871895448796671,1,1001,1,1001,1091.14,1091.14,0
172757403,SIS / Crayfd 5th Sep,TO BE PLACED,05-09-2020 11:24,27470461,3. Bonnie Skye,1,1.61,1,1.58326537733027614395374339547403050543,1,1001,1,1001,802.48,802.48,0
172757403,SIS / Crayfd 5th Sep,TO BE PLACED,05-09-2020 11:24,35840364,4. Hello Bridie Mai,0,5.7,1,4.68730109686389618414954426077552912096,1,1001,1,1001,129.46,129.46,0
172758134,SIS / Hove 5th Sep,TO BE PLACED,05-09-2020 19:18,35839494,5. Insane Gary,1,3.6607235142118952,1,1,1,1001,1,1001,0,408.84,0
172760469,SIS / Romfd 5th Sep,TO BE PLACED,05-09-2020 20:48,35841280,3. Sonny Azza Go,0,3.45,1,1,1,1001,1,1001,0,70.6,0
172760473,SIS / Romfd 5th Sep,TO BE PLACED,05-09-2020 21:22,35537418,2. Droopys Diamante,0,2.0413882018090224,1,1,1,1001,1,1001,0,943.78,0
172757672,SIS / Henl 5th Sep,TO BE PLACED,05-09-2020 14:12,18765820,3. Droopys Kirk,1,2.31,1,1,1,1001,1,1001,0,415.74,0
172757680,SIS / Henl 5th Sep,TO BE PLACED,05-09-2020 15:28,32545387,1. Liosgarbh Salah,1,1.8514399452335786,1,1,1,1001,1,1001,0,236.36,0
172757694,SIS / Henl 5th Sep,TO BE PLACED,05-09-2020 17:44,3175726,3. Westmead Annie,0,2.33,1,1,1,1001,1,1001,0,86.38,0
172757694,SIS / Henl 5th Sep,TO BE PLACED,05-09-2020 17:44,26805339,6. Fieldview Jet,1,5.9,1,1,1,1001,1,1001,0,54.44,0
172757694,SIS / Henl 5th Sep,TO BE PLACED,05-09-2020 17:44,35778825,2. Newtown Olive,1,1.764773536,1,1,1,1001,1,1001,0,593.7,0
172717531,AUS / WPrk (AUS) 5th Sep,TO BE PLACED,05-09-2020 09:49,25111974,7. Women In Uniform,0,5.3,1,4.56210124444770749972467971073014940714,1,1001,1,1001,544.82,544.82,0
172717539,AUS / WPrk (AUS) 5th Sep,TO BE PLACED,05-09-2020 11:08,23535761,7. Bust A Record,0,9,1,3.74180563542265669925244393329499712478,1,1001,1,1001,34.78,34.78,0
172717539,AUS / WPrk (AUS) 5th Sep,TO BE PLACED,05-09-2020 11:08,24807336,1. Nandor Junior,0,4.723936677855673,1,3.34809843400447427293064876957494407159,1,1001,1,1001,196.68,196.68,0
172720885,AUS / Mead (AUS) 5th Sep,TO BE PLACED,05-09-2020 08:59,27819122,4. Mullion Mayor,1,4.2,1,3.67435485235637532786191725188256197648,1,1001,1,1001,236.38,236.38,0
172720899,AUS / Mead (AUS) 5th Sep,TO BE PLACED,05-09-2020 09:57,35850043,7. Weblec Blade,1,3.55,1,3.58832443766679374761723217689668318719,1,1001,1,1001,104.92,104.92,0
172720902,AUS / Ipsw (AUS) 5th Sep,TO BE PLACED,05-09-2020 08:36,31924708,6. Blazing Bobby,1,1.8113958094525153,1,1.66256458138811079987550575785869903517,1,1001,1,1001,321.3,321.3,0
172720902,AUS / Ipsw (AUS) 5th Sep,TO BE PLACED,05-09-2020 08:36,35510429,8. Sparkling Melba,1,2.2341522122599424,1,2.08860336011687363038714390065741417093,1,1001,1,1001,273.8,273.8,0
172720902,AUS / Ipsw (AUS) 5th Sep,TO BE PLACED,05-09-2020 08:36,27314323,5. Zipping Flick,0,2.538858702592698,1,2.06853694581280788177339901477832512315,1,1001,1,1001,162.4,162.4,0
172720910,AUS / Ipsw (AUS) 5th Sep,TO BE PLACED,05-09-2020 09:52,26735204,6. Giggling Sal,1,5.3,1,3.15,1,1001,1,1001,51.32,51.32,0
