event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
210305000,Newcastle 21st Feb,A5 480m,21-02-2023 21:11,37307686,1. Blackhouse Polly,0,12.50000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,1878.90,0.00
210280764,Murray Bridge (AUS) 21st Feb,R8 300m Gr6,21-02-2023 03:22,39990284,4. Stellar Lad,0,300.00000000,1.0000,71.6776,1.00,1001.00,1.00,1001.00,76.46,76.46,0.00
210305841,Sheffield 21st Feb,OR 500m,21-02-2023 18:51,50009573,5. Lightfoot Dixie,0,4.30000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,5242.45,0.00
210305853,Sheffield 21st Feb,D2 280m,21-02-2023 20:27,40706174,2. Buttons Gin,0,19.73865717,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,1426.68,0.00
210304504,Romford 21st Feb,A3 400m,21-02-2023 13:24,39213010,3. Knight Vixen,0,2.80000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,3921.19,0.00
210303983,Oxford 21st Feb,A6 450m,21-02-2023 11:46,43627235,2. Cubed Liquidates,0,29.06883532,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,840.78,0.00
210289903,Horsham (AUS) 21st Feb,R3 485m Heat,21-02-2023 05:04,52842188,6. Lee Lee Cabang,0,29.00000000,1.0000,12.5546,1.00,1001.00,1.00,1001.00,361.45,361.45,0.00
210279777,Richmond (AUS) 21st Feb,R3 324m Mdn,21-02-2023 00:36,52842280,7. My Mate Nate,0,23.00000000,1.0000,17.0822,1.00,1001.00,1.00,1001.00,700.06,700.06,0.00
210279851,Gosford (AUS) 21st Feb,R4 515m Gr5,21-02-2023 09:03,49009141,8. Supreme Identity,0,30.00000000,1.0000,26.0543,1.00,1001.00,1.00,1001.00,684.12,684.12,0.00
210305845,Sheffield 21st Feb,D3 280m,21-02-2023 19:26,35754855,1. Tullymurry Soda,0,29.76042525,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,961.07,0.00
210304496,Romford 21st Feb,A4 400m,21-02-2023 12:24,42539722,5. Puttfor Keely,0,15.42403375,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,1457.50,0.00
210279946,Warragul (AUS) 21st Feb,R11 460m Gr5,21-02-2023 11:22,46968566,3. Why Not Jules,0,27.00000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,373.61,0.00
210303989,Oxford 21st Feb,A3 450m,21-02-2023 12:31,40886496,5. Dalcash Dean,1,6.89191597,1.0000,7.7998,1.00,1001.00,1.00,1001.00,4.00,1747.40,0.00
210280851,Townsville (AUS) 21st Feb,R9 380m Gr4,21-02-2023 11:33,49585509,2. Hidden Fury,0,11.50000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,1617.16,0.00
210280988,Hobart (AUS) 21st Feb,R3 340m Gr6,21-02-2023 01:57,52842165,5. Monos Typhoon,0,162.04462120,1.0000,71.2470,1.00,1001.00,1.00,1001.00,130.16,130.16,0.00
210279787,Richmond (AUS) 21st Feb,R8 324m Gr4/5,21-02-2023 02:12,42070267,8. Smart Cash,1,3.50000000,1.0000,2.2400,1.00,1001.00,1.00,1001.00,1680.07,1680.07,0.00
210304638,Monmore 21st Feb,D3 264m,21-02-2023 14:23,41755150,5. Hollow Talk,0,9.38024109,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,1420.51,0.00
210303967,Suffolk Downs 21st Feb,A4 388m,21-02-2023 09:52,40968372,5. So Mathew,0,13.00000000,1.0000,7.3664,1.00,1001.00,1.00,1001.00,914.49,914.49,0.00
210287041,Temora (AUS) 21st Feb,R7 457m Gr5,21-02-2023 05:16,51918898,8. Sweet Stella,0,55.00000000,1.0000,33.9778,1.00,1001.00,1.00,1001.00,204.20,204.20,0.00
210304600,Sunderland 21st Feb,A5 450m,21-02-2023 14:19,50671507,6. Charlies Charm,1,1.73423066,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,14801.82,0.00
210279791,Richmond (AUS) 21st Feb,R10 324m Gr4,21-02-2023 02:54,37480493,1. Ritza Janelle,0,224.88357835,1.0000,99.8668,1.00,1001.00,1.00,1001.00,95.75,95.75,0.00
210304572,Perry Barr 21st Feb,A5 480m,21-02-2023 12:21,43536408,1. Magical Flip,0,24.27295249,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,1015.87,0.00
210304578,Perry Barr 21st Feb,D3 275m,21-02-2023 13:06,43406547,4. Hotel Manager,0,3.80000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,6222.79,0.00
210304656,Monmore 21st Feb,D2 264m,21-02-2023 17:18,40694259,3. Aero Windmill,0,5.40000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,4742.07,0.00
