EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
204580165,AUS / Penola (AUS) 9th Oct,R1 1100m Mdn,09-10-2022 04:05,38187722,7. Allgo,1,5.649467953856366,4.4386607072431518464524762281370724196,3.60125624742993569980421480316120466202,6,4.4,1.01,1.01,19552.04,14215.3,5336.74
204580171,AUS / Penola (AUS) 9th Oct,R2 1700m Mdn,09-10-2022 04:40,49117120,14. Missile Belle,0,17.5,16.1460583762122490399911586346365791164,11.3567271877039784111685182358729220587,18,15.5,1,1001,3079.37,1955.1,41.07
204580177,AUS / Penola (AUS) 9th Oct,R3 1300m CL2,09-10-2022 05:15,13363433,8. Mandjar,0,130,74.2991676641078793203275915673888102626,75.6198747199188786942086583909850677919,170,90,1,1001,611.43,609.06,2.37
204580183,AUS / Penola (AUS) 9th Oct,R4 1300m Hcap,09-10-2022 05:55,19965274,4. Smart Elissim,0,3.85,3.49276383369273059151338480494864309703,3.53106405292053332051491357678756136501,4,3.6,4.5,3.7,34117.57,32668.76,1448.81
204580183,AUS / Penola (AUS) 9th Oct,R4 1300m Hcap,09-10-2022 05:55,40285265,5. Culily Ace,0,2.694291099588627,2.34950199315068301847940135300953468286,2.3205983438988140374291000636961994601,2.9,2.54,34,1.03,49453.5,43930.94,5522.56
204580189,AUS / Penola (AUS) 9th Oct,R5 1100m Hcap,09-10-2022 06:35,48933869,9. Hey Michael,0,28.299114018471887,30.5988643180033095310892538602466423113,19.0216891816679463065027585990369877754,36,27,960,960,3503.59,1951.02,28.69
204580195,AUS / Penola (AUS) 9th Oct,R6 1700m Hcap,09-10-2022 07:10,41843801,9. Ranger Cee Jay,0,14.579153202,11.3577833916365703383257166913720536491,11.569952319029042045947117468573905505,18.5,13,1,1001,5190.75,5131.84,58.91
204580195,AUS / Penola (AUS) 9th Oct,R6 1700m Hcap,09-10-2022 07:10,19461305,5. The Fire Trap,0,30,23.5273731703807529020267969345848284953,23.9018109714912427357171995479258758936,46,19.5,1,1001,2990.66,2945.32,45.34
204580210,AUS / Geraldton (AUS) 9th Oct,R1 1400m Mdn,09-10-2022 07:20,48702117,7. Rockabye Bonny,0,46.00749812278384,52.9191476282803310710153554194692056641,32.428154701629092717937785357707544991,110,46,1,1001,1688.67,935.65,27.02
204580210,AUS / Geraldton (AUS) 9th Oct,R1 1400m Mdn,09-10-2022 07:20,38382071,4. Wojtek,0,16.5,16.8550085391955922722836529927420455055,11.9964636548027450570266595766932344272,18.5,13.5,960,890,6788.93,4439.42,171.45
204580213,AUS / Geraldton (AUS) 9th Oct,R2 1100m Mdn,09-10-2022 07:55,49118066,3. Royal Encounter,0,83.33439330666792,67.5444457678420807864317995691209044733,68.1494570770718947124620226433602637638,250,60,160,160,2201.97,2182.95,19.02
