event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
210240158,Wyong (AUS) 21st Feb,R4 1300m Mdn,21-02-2023 04:05,6496809,12. Speak Up,1,5.10000000,4.3693,3.0908,5.20,3.70,5.00,1.92,11299.16,5951.85,3730.52
210239193,Townsville (AUS) 21st Feb,R9 1000m CL1,21-02-2023 06:50,52735439,9. Catch Dis,0,13.50000000,8.0036,7.8576,13.50,11.00,12.00,12.00,3501.24,3027.75,473.49
210239149,Stawell (AUS) 21st Feb,R4 1607m Mdn,21-02-2023 04:00,45897423,6. Americain Heart,0,2.64972954,2.8696,2.4767,3.20,2.66,2.90,2.66,39766.64,28920.33,6046.71
210240463,Cranbourne (AUS) 21st Feb,R5 2110m Trot M,21-02-2023 08:31,47414675,10. Naked Ambition,0,54.84195758,66.2641,29.1379,85.00,60.00,1.00,1001.00,203.56,61.49,40.34
210243458,Gloucester Park (AUS) 21st Feb,R10 2130m Pace M,21-02-2023 12:01,39098572,11. Chrysoprase,0,5.36931516,6.0268,1.0000,6.60,5.00,1.00,1001.00,0.00,2921.47,477.50
210242961,Menangle (AUS) 21st Feb,R8 1609m Pace M,21-02-2023 06:37,27444903,10. Father Bob,0,59.43067022,82.7721,48.3755,110.00,65.00,1.00,1001.00,232.21,121.31,41.17
210281067,Redcliffe (AUS) 21st Feb,R2 1780m Pace M,21-02-2023 03:52,39508111,5. Aunty Frances,0,30.02230760,19.8334,21.1426,70.00,20.00,900.00,900.00,750.32,674.76,56.36
210240447,Temora (AUS) 21st Feb,R5 2000m Pace M,21-02-2023 09:15,43549355,4. Beau Steele,0,30.00000000,30.6266,22.5393,34.00,32.00,1.00,1001.00,354.89,204.21,89.06
210239149,Stawell (AUS) 21st Feb,R4 1607m Mdn,21-02-2023 04:00,51935936,7. Rio De Sombras,0,40.18140510,43.8223,30.5358,50.00,42.00,980.00,21.00,1745.59,1007.49,253.07
210240443,Temora (AUS) 21st Feb,R3 1635m Pace M,21-02-2023 08:10,8416922,10. Hes A Terror,1,2.65541617,2.7172,2.2085,2.86,2.60,2.74,2.74,5118.07,3112.20,1365.37
