EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
172216250,AUS / Carn (AUS) 21st Aug,R2 1200m Hcap,21-08-2020 07:05,9526597,3. The Chorister,0,4.295379857204315,4.64634672679135896946310738727540532768,3.03146870231145085191874221232867123077,4.8,4.6,1,1001,11428.32,5111.7,163.96
172216250,AUS / Carn (AUS) 21st Aug,R2 1200m Hcap,21-08-2020 07:05,16566324,7. Sweet Talkin,0,32,36.5586989821687503243215816815259904625,23.238387768026780059712295304442232878,46,32,1,1001,1547.42,916.22,111
172216258,AUS / Carn (AUS) 21st Aug,R6 1200m CL1,21-08-2020 09:30,19463795,10. Swanky Lass,0,18.5,15.5622819278303293230990254270094820805,16.1951458371855717406638862065895534143,36,18,100,100,2920.38,2883.92,36.46
172216258,AUS / Carn (AUS) 21st Aug,R6 1200m CL1,21-08-2020 09:30,35595832,3. Designated Drinker,0,75,54.7530084147295364723358397721335337915,55.7639058145777762627510801666908124047,120,44,1,1001,1173.43,1165.12,8.31
172216248,AUS / Carn (AUS) 21st Aug,R1 1600m Mdn,21-08-2020 06:25,6024130,4. Projection,0,6.134432472640034,5.49700937747364925224816717908295033773,4.1479370392625269297847082789852417452,6.4,5.2,1,1001,6823.3,4097.66,778
172216252,AUS / Carn (AUS) 21st Aug,R3 2000m Hcap,21-08-2020 07:40,4970717,8. Macavity,0,13.049928796693646,8.32960420075522676762091116160115580825,8.77113392154181097734522564214401620469,14.5,11.5,420,13,5410.78,5139.72,271.06
172216252,AUS / Carn (AUS) 21st Aug,R3 2000m Hcap,21-08-2020 07:40,10896896,6. Diamonds For All,0,30.18718531629036,18.7319459384087832176955760899574491367,19.930699053851485308102706274882738834,42,19.5,320,320,1861.23,1810.23,51
172216256,AUS / Carn (AUS) 21st Aug,R5 1600m Hcap,21-08-2020 08:50,25779557,12. Test Of Strength,0,135.255230844557101875,60.3540997138070274485146372116715778883,61.1159018787758082719245834163181305185,177.19,71.72,170,170,602.52,600.26,2.26
172216256,AUS / Carn (AUS) 21st Aug,R5 1600m Hcap,21-08-2020 08:50,13185106,8. Glen Albyn,0,53.0997133219696546875,26.5345618675491311880948048230588538136,25.0107921647205140606646859669729841774,59.06,37.13,11,11,1157.84,972.28,185.56
172216256,AUS / Carn (AUS) 21st Aug,R5 1600m Hcap,21-08-2020 08:50,17081654,1. Majoras Mask,0,7.3441143216609789375,5.15854639324711390760162604035674854178,5.23652195800280824051541597626991615912,10.55,6.75,1,1001,8859.64,8674.44,185.2
172216260,AUS / Carn (AUS) 21st Aug,R7 1000m Hcap,21-08-2020 10:10,10630929,3. Newmarracarra,0,20.768232150334583,24.2891133656202328312055110251727762038,13.3390106469583539515060577521669034431,30,23,1,1001,2505.88,1044.25,57.05
172216260,AUS / Carn (AUS) 21st Aug,R7 1000m Hcap,21-08-2020 10:10,10866772,4. Viotti,0,3.45,3.17888983839327874945720262949034559938,2.84325290930143445012745114372823750895,3.55,2.6,85,3.3,19207.36,14618.18,594.54
172216260,AUS / Carn (AUS) 21st Aug,R7 1000m Hcap,21-08-2020 10:10,11151856,5. Golden Acres,0,48.27370475359816,43.2163736875969588453667037462928189958,21.3215063513838188906197927565548296093,65,25,90,90,1290.27,395.55,48.74
172216260,AUS / Carn (AUS) 21st Aug,R7 1000m Hcap,21-08-2020 10:10,11161187,10. Klondike Kenny,0,17.427003602633047,18.9353723208546074097531874457704328938,12.4500210492008093757214443825794098076,21,18,1,1001,2945.48,1576.1,62.02
172216260,AUS / Carn (AUS) 21st Aug,R7 1000m Hcap,21-08-2020 10:10,9404858,6. Bernardini Genie,0,47.879347443427534,53.0748054589899292904805385986979497264,25.4275028088226598072260658742830110579,80,46,1,1001,676.44,253.14,60.12
172216260,AUS / Carn (AUS) 21st Aug,R7 1000m Hcap,21-08-2020 10:10,13179321,8. The Daintree,0,60,48.2290687506294718296223789465383138504,28.6466688505155443243327561732728095216,65,29,120,50,641.07,300.43,50.72
172216466,AUS / Melt (AUS) 21st Aug,R2 2240m Trot M,21-08-2020 05:10,24226633,3. Petite Love,0,14.58716348,7.8988433648305848762063554481348445016,8.70820240606903981685146114826951564394,17.5,13.5,420,420,1782.16,1769.64,12.52
172216466,AUS / Melt (AUS) 21st Aug,R2 2240m Trot M,21-08-2020 05:10,22565924,5. Majestic Dream,0,14.5,14.2557118002852583132481339709166374025,14.5076161516791128202835040021464025399,19.5,11,12.5,12.5,2236.3,2193.24,43.06
172216474,AUS / Melt (AUS) 21st Aug,R6 2240m Pace M,21-08-2020 07:40,18221395,4. Rishi,1,13,13.8465749781327868890993910292897993631,3.86522173950269147593414514912903341628,16,13.5,1.02,1.02,7241.38,1374.1,5654.4
172216474,AUS / Melt (AUS) 21st Aug,R6 2240m Pace M,21-08-2020 07:40,23202371,5. Jean Luc,0,34,35.4660581945300865901612601177477156065,28.9516542248187817808070972627934653251,40,38,30,30,462.15,275.26,82.83
172216464,AUS / Melt (AUS) 21st Aug,R1 2240m Pace M,21-08-2020 04:33,27346164,8. Charisma King,0,13.496331825501837,12.2486273871310908967407166161609266317,13.8604137555670691180087817080893243109,16,13.5,14.5,14.5,1910.79,1825.72,85.07
172216476,AUS / Melt (AUS) 21st Aug,R7 1720m Trot M,21-08-2020 08:07,9457672,2. Pharisee,0,14.5,14.7491484617322470523484237039103101015,13.7738580410574956442693735323081584728,18,13.5,340,340,1716.13,1207.52,242.67
172216476,AUS / Melt (AUS) 21st Aug,R7 1720m Trot M,21-08-2020 08:07,16140328,10. Gentleman Sir,0,180,200.576523308386846053093016001076154859,106.850385253096654637667024285574953672,250,150,700,100,205.06,71.35,30.73
172216478,AUS / Melt (AUS) 21st Aug,R8 1720m Pace M,21-08-2020 08:32,19636935,2. Arabella Star,0,2.54,2.55756714025783180455661657515181483304,3.06683246677870419721838995564614586669,2.82,2.28,1000,13,18142.73,17516.66,626.07
