EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
220172379,Pau (FRA) 25th Oct,To Be Placed,25-10-2023 14:52,15958603,Fly Daspe,1,3.20000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
220172337,Pau (FRA) 25th Oct,To Be Placed,25-10-2023 11:50,57775811,Kamakura One,1,1.20000000,1.0000,1.1644,1.00,1001.00,1.00,1001.00,2462.34,0.00,0.00
220172330,Pau (FRA) 25th Oct,To Be Placed,25-10-2023 11:20,62065772,Gociano,0,3.85000000,1.0000,3.5603,1.00,1001.00,1.00,1001.00,333.17,0.00,0.00
220172337,Pau (FRA) 25th Oct,To Be Placed,25-10-2023 11:50,10107133,Antares,0,4.90000000,1.0000,2.3858,1.00,1001.00,1.00,1001.00,115.28,0.00,0.00
220172379,Pau (FRA) 25th Oct,To Be Placed,25-10-2023 14:52,29817359,Rapido Presto,0,4.40000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
220172298,Lyon La Soie (FRA) 25th Oct,To Be Placed,25-10-2023 17:45,20413609,Tornaldo,1,5.40000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
220172370,Pau (FRA) 25th Oct,To Be Placed,25-10-2023 14:17,12820193,Royal Vati,0,4.13687681,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
220172361,Pau (FRA) 25th Oct,To Be Placed,25-10-2023 13:42,14384264,Victory Cat,0,3.60042283,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
220172379,Pau (FRA) 25th Oct,To Be Placed,25-10-2023 14:52,26817288,Zaya De La Plata,1,6.20000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
220172370,Pau (FRA) 25th Oct,To Be Placed,25-10-2023 14:17,41516947,Mister Kool,0,8.73000602,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
220172337,Pau (FRA) 25th Oct,To Be Placed,25-10-2023 11:50,57081114,Eshbelia,0,8.60000000,1.0000,1.5051,1.00,1001.00,1.00,1001.00,25.34,0.00,0.00
220172311,Lyon La Soie (FRA) 25th Oct,To Be Placed,25-10-2023 18:45,40435085,Kapani,1,5.00000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
220172352,Pau (FRA) 25th Oct,To Be Placed,25-10-2023 13:07,44145402,Zokoa,0,7.12577270,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
220172337,Pau (FRA) 25th Oct,To Be Placed,25-10-2023 11:50,60859870,Ma Ptite Dame,0,2.32000000,1.0000,2.1979,1.00,1001.00,1.00,1001.00,1172.26,0.00,0.00
220172361,Pau (FRA) 25th Oct,To Be Placed,25-10-2023 13:42,42064509,Elcot,0,5.50000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
220172305,Lyon La Soie (FRA) 25th Oct,To Be Placed,25-10-2023 18:15,36827483,Willy Boy,1,2.58000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
220172379,Pau (FRA) 25th Oct,To Be Placed,25-10-2023 14:52,3186335,Chief Red Cloud,0,14.00000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
220172284,Lyon La Soie (FRA) 25th Oct,To Be Placed,25-10-2023 16:37,7121847,Ticklish,1,14.50000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
220172344,Pau (FRA) 25th Oct,To Be Placed,25-10-2023 12:25,55944645,Sparkling Light,0,1.71000000,1.0000,1.9719,1.00,1001.00,1.00,1001.00,89.68,0.00,0.00
220172291,Lyon La Soie (FRA) 25th Oct,To Be Placed,25-10-2023 17:15,41466916,Joli Prince,0,6.60000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
220172361,Pau (FRA) 25th Oct,To Be Placed,25-10-2023 13:42,11172041,Huda,0,20.00000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
220172305,Lyon La Soie (FRA) 25th Oct,To Be Placed,25-10-2023 18:15,36743959,Pumpy Girl,1,3.55000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
220172337,Pau (FRA) 25th Oct,To Be Placed,25-10-2023 11:50,8920,Swing City,1,1.58773828,1.0000,1.7209,1.00,1001.00,1.00,1001.00,938.31,0.00,0.00
220172361,Pau (FRA) 25th Oct,To Be Placed,25-10-2023 13:42,42040709,Pedro Des Aigles,0,6.00000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
220172370,Pau (FRA) 25th Oct,To Be Placed,25-10-2023 14:17,26253986,Hygrove Bec,0,4.16847302,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
220172370,Pau (FRA) 25th Oct,To Be Placed,25-10-2023 14:17,25004582,Karibbean Dream,0,7.80000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
220172318,Lyon La Soie (FRA) 25th Oct,To Be Placed,25-10-2023 19:15,56214713,Gilles De Vindecy,0,20.55279954,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
220172284,Lyon La Soie (FRA) 25th Oct,To Be Placed,25-10-2023 16:37,46161091,Filzmooserin,0,5.60000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
220172330,Pau (FRA) 25th Oct,To Be Placed,25-10-2023 11:20,11539398,Basheer,0,4.03538913,1.0000,2.3041,1.00,1001.00,1.00,1001.00,116.58,0.00,0.00
220172330,Pau (FRA) 25th Oct,To Be Placed,25-10-2023 11:20,62065771,Noss Demraud,0,27.66666666,1.0000,2.9535,1.00,1001.00,1.00,1001.00,15.07,0.00,0.00
220172298,Lyon La Soie (FRA) 25th Oct,To Be Placed,25-10-2023 17:45,45145040,Scherwood,0,9.20000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
220172370,Pau (FRA) 25th Oct,To Be Placed,25-10-2023 14:17,10084320,Midnight Shine,0,8.00000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
220172330,Pau (FRA) 25th Oct,To Be Placed,25-10-2023 11:20,54613948,Ramses Chop,0,11.20379536,1.0000,5.6416,1.00,1001.00,1.00,1001.00,101.42,0.00,0.00
220172361,Pau (FRA) 25th Oct,To Be Placed,25-10-2023 13:42,17516582,Mythical Creature,0,16.50000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
220172298,Lyon La Soie (FRA) 25th Oct,To Be Placed,25-10-2023 17:45,27485955,Capable,0,3.55000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
220172305,Lyon La Soie (FRA) 25th Oct,To Be Placed,25-10-2023 18:15,16977119,Tarcenay,0,7.20000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
220172270,Lyon La Soie (FRA) 25th Oct,To Be Placed,25-10-2023 15:27,5573473,Snuggle Up,0,37.44965799,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
220172291,Lyon La Soie (FRA) 25th Oct,To Be Placed,25-10-2023 17:15,39500704,Kisswood,1,8.60000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
