EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
215229024,ParisLongchamp (FRA) 15th Jun,1m1f Hcap,15-06-2023 18:35,23510044,Miss Springsteen,0,75.07248206,40.6780,1.0000,65.00,55.00,1.00,1001.00,0.00,40.66,4.69
215229012,Le Lion D'angers (FRA) 15th Jun,1m7f Stks Cond,15-06-2023 15:08,49298971,Finito Pipo,0,300.27184848,78.1642,1.0000,113.33,89.72,1.00,1001.00,0.00,67.02,1.83
215229022,ParisLongchamp (FRA) 15th Jun,1m4f Hcap,15-06-2023 18:05,25428004,Nice Stroke,0,12.50000000,13.6078,1.0000,26.00,11.00,1.00,1001.00,0.00,1119.91,56.30
215229018,ParisLongchamp (FRA) 15th Jun,1m4f Hcap,15-06-2023 17:00,36343050,Lepti Prinsadi,0,9.49688929,8.1040,1.0000,1.00,1001.00,1.00,1001.00,0.00,675.23,37.42
215229020,ParisLongchamp (FRA) 15th Jun,1m1f Hcap,15-06-2023 17:35,38286627,Burattina,0,8.16242541,8.9102,1.0000,8.80,8.80,1.00,1001.00,0.00,861.42,146.26
215229030,ParisLongchamp (FRA) 15th Jun,1m1f Stks,15-06-2023 20:05,41811429,Pentaour,0,8.28029983,6.7780,1.0000,6.00,6.00,1.00,1001.00,0.00,1082.78,17.93
215229020,ParisLongchamp (FRA) 15th Jun,1m1f Hcap,15-06-2023 17:35,50940048,Power Papers,1,3.85611825,3.9232,1.0000,4.10,3.55,1.74,1.74,0.00,3791.21,851.55
215228985,Le Lion D'angers (FRA) 15th Jun,7f Stks Cond,15-06-2023 14:32,44234185,Bobbys Way,0,18.13922164,16.7576,1.0000,17.00,17.00,1.00,1001.00,0.00,63.50,18.46
215228946,Le Lion D'angers (FRA) 15th Jun,2m2f Hrd,15-06-2023 11:40,57114784,Opera Bastille,0,2.29405802,2.1713,2.1582,2.34,2.00,1.00,1001.00,4469.72,4092.02,282.52
215228950,Le Lion D'angers (FRA) 15th Jun,2m6f XC,15-06-2023 12:47,57114786,Harmony Rodino,0,10.50000000,9.4427,1.0000,12.00,12.00,6.80,6.80,0.00,805.20,222.05
215251548,Le Lion D'angers (FRA) 15th Jun,1m4f Claim,15-06-2023 13:57,57154572,12. Ma Berezina,0,37.19245235,26.8439,1.0000,1.00,1001.00,1.00,1001.00,0.00,22.56,6.97
215229018,ParisLongchamp (FRA) 15th Jun,1m4f Hcap,15-06-2023 17:00,25426556,Santurin,0,23.99484408,24.8217,1.0000,24.00,24.00,1.00,1001.00,0.00,163.69,12.05
215251548,Le Lion D'angers (FRA) 15th Jun,1m4f Claim,15-06-2023 13:57,57154568,11. Narcissa,0,24.00000000,21.4947,1.0000,1.00,1001.00,1.00,1001.00,0.00,36.32,9.70
215229016,ParisLongchamp (FRA) 15th Jun,7f Stks,15-06-2023 16:15,56322680,Bankier,0,10.50000000,10.9463,1.0000,10.50,10.50,980.00,980.00,0.00,1269.83,56.78
215229014,Le Lion D'angers (FRA) 15th Jun,1m2f Hcap,15-06-2023 15:42,46993130,Whitenight,0,14.02522179,15.9805,1.0000,19.00,12.00,1.00,1001.00,0.00,965.04,35.00
215228948,Le Lion D'angers (FRA) 15th Jun,2m4f Hcap Chs,15-06-2023 12:12,27187594,Gemixa,0,8.60000000,7.2892,6.5252,9.00,7.20,7.40,7.40,466.86,1195.52,365.51
215228948,Le Lion D'angers (FRA) 15th Jun,2m4f Hcap Chs,15-06-2023 12:12,40176346,Masterrose,1,5.14624931,5.0535,3.9532,5.40,5.40,4.50,1.01,16.36,570.28,1372.20
215228985,Le Lion D'angers (FRA) 15th Jun,7f Stks Cond,15-06-2023 14:32,40799617,Reve De Magritte,0,9.70211485,9.6004,1.0000,9.60,8.80,1.00,1001.00,0.00,824.77,87.88
215229016,ParisLongchamp (FRA) 15th Jun,7f Stks,15-06-2023 16:15,8015880,Intellect,0,4.60000000,4.6842,1.0000,5.00,4.40,980.00,4.00,0.00,2397.41,247.60
215228985,Le Lion D'angers (FRA) 15th Jun,7f Stks Cond,15-06-2023 14:32,38609191,Estacity,0,26.45954036,20.4478,1.0000,22.00,17.50,1.00,1001.00,0.00,73.88,23.42
215229030,ParisLongchamp (FRA) 15th Jun,1m1f Stks,15-06-2023 20:05,40576703,Gaylor Senora,0,45.37580437,50.6986,1.0000,65.00,26.00,1.00,1001.00,0.00,154.03,9.29
215229018,ParisLongchamp (FRA) 15th Jun,1m4f Hcap,15-06-2023 17:00,45301996,Agile,0,4.80000000,4.6680,1.0000,5.30,5.30,4.30,4.30,0.00,2444.00,198.46
215229024,ParisLongchamp (FRA) 15th Jun,1m1f Hcap,15-06-2023 18:35,39509861,Melizabeth,0,39.77563976,36.2354,1.0000,44.00,44.00,1.00,1001.00,0.00,88.21,10.18
215228950,Le Lion D'angers (FRA) 15th Jun,2m6f XC,15-06-2023 12:47,13865756,Adsum,1,3.50000000,3.4087,1.0000,4.00,3.00,3.65,3.65,0.00,4311.53,1078.17
215228950,Le Lion D'angers (FRA) 15th Jun,2m6f XC,15-06-2023 12:47,49514956,Hawax,0,8.60000000,8.2756,1.0000,1.00,1001.00,980.00,5.80,0.00,550.66,286.46
215229028,ParisLongchamp (FRA) 15th Jun,1m1f Claim,15-06-2023 19:35,52675534,Swiss Money,1,3.05000000,3.0676,1.0000,2.94,2.94,1.00,1001.00,0.00,2336.50,928.01
215229012,Le Lion D'angers (FRA) 15th Jun,1m7f Stks Cond,15-06-2023 15:08,12666613,Meisho Felicity,0,9.20355994,11.0113,1.0000,12.75,9.07,1.00,1001.00,0.00,930.34,104.41
215229018,ParisLongchamp (FRA) 15th Jun,1m4f Hcap,15-06-2023 17:00,26016607,Lettyt Fight,0,12.00000000,10.5158,1.0000,13.00,11.00,1.00,1001.00,0.00,756.12,27.21
215228985,Le Lion D'angers (FRA) 15th Jun,7f Stks Cond,15-06-2023 14:32,40211058,Chilli Princess,0,4.68041193,4.7680,1.0000,1.00,1001.00,1.00,1001.00,0.00,801.33,124.25
215228952,Le Lion D'angers (FRA) 15th Jun,1m4f Stks,15-06-2023 13:22,57114788,Kador De Rochaude,0,60.00000000,42.0302,1.0000,1.00,1001.00,980.00,980.00,0.00,62.76,19.88
215229014,Le Lion D'angers (FRA) 15th Jun,1m2f Hcap,15-06-2023 15:42,44545195,Global Context,0,18.38002583,15.7901,1.0000,17.50,12.00,1.00,1001.00,0.00,252.18,24.97
215228950,Le Lion D'angers (FRA) 15th Jun,2m6f XC,15-06-2023 12:47,36582706,Speed Des Landes,0,17.44526280,13.5218,1.0000,9.60,9.60,980.00,980.00,0.00,615.69,39.15
215229028,ParisLongchamp (FRA) 15th Jun,1m1f Claim,15-06-2023 19:35,45849296,Brameshot,0,14.30220624,14.3431,1.0000,15.00,14.00,1000.00,980.00,0.00,347.07,32.50
215228948,Le Lion D'angers (FRA) 15th Jun,2m4f Hcap Chs,15-06-2023 12:12,26253987,Bibiche Link,0,15.32817779,15.3677,15.5244,16.50,16.50,980.00,980.00,74.98,272.99,11.94
215251548,Le Lion D'angers (FRA) 15th Jun,1m4f Claim,15-06-2023 13:57,57154571,6. Le Betulla,0,31.05508821,22.6247,1.0000,29.00,16.50,1.00,1001.00,0.00,358.00,37.99
215229020,ParisLongchamp (FRA) 15th Jun,1m1f Hcap,15-06-2023 17:35,35807325,Noble Angel,0,50.00000000,45.8555,1.0000,44.00,44.00,1.00,1001.00,0.00,49.58,14.11
215229020,ParisLongchamp (FRA) 15th Jun,1m1f Hcap,15-06-2023 17:35,39049284,Secret Feeling,0,148.21659003,109.9366,1.0000,170.00,85.00,1.00,1001.00,0.00,49.89,16.06
215229022,ParisLongchamp (FRA) 15th Jun,1m4f Hcap,15-06-2023 18:05,215504,Senor Pedro,0,43.70156451,38.6007,1.0000,42.00,38.00,1.00,1001.00,0.00,151.14,27.87
215229014,Le Lion D'angers (FRA) 15th Jun,1m2f Hcap,15-06-2023 15:42,13021696,Oncle Fernand,0,14.00000000,12.4434,1.0000,17.00,11.00,1.00,1001.00,0.00,1009.19,32.71
215229020,ParisLongchamp (FRA) 15th Jun,1m1f Hcap,15-06-2023 17:35,3323962,Skipper,0,30.99360751,24.9465,1.0000,25.00,23.00,1.00,1001.00,0.00,95.25,7.72
215229012,Le Lion D'angers (FRA) 15th Jun,1m7f Stks Cond,15-06-2023 15:08,21744667,Flute En Sol,0,3.96664800,3.6183,1.0000,3.78,3.26,3.50,3.50,0.00,2184.44,302.98
215229024,ParisLongchamp (FRA) 15th Jun,1m1f Hcap,15-06-2023 18:35,38035405,Bonnie Hopps,0,3.63694114,3.8396,1.0000,4.70,3.50,1.00,1001.00,0.00,4369.19,274.04
215229014,Le Lion D'angers (FRA) 15th Jun,1m2f Hcap,15-06-2023 15:42,236460,Perfecto,0,60.00000000,51.7980,1.0000,100.00,42.00,1.00,1001.00,0.00,300.80,25.98
215228948,Le Lion D'angers (FRA) 15th Jun,2m4f Hcap Chs,15-06-2023 12:12,38746046,Lorddelouest,0,5.96541793,5.7839,6.8106,5.50,5.30,1.00,1001.00,258.56,1334.09,193.65
215229024,ParisLongchamp (FRA) 15th Jun,1m1f Hcap,15-06-2023 18:35,24930837,Black Morning,0,29.93468620,26.0873,1.0000,34.00,32.00,1.00,1001.00,0.00,91.91,11.25
215229026,ParisLongchamp (FRA) 15th Jun,1m4f Listed,15-06-2023 19:05,2287297,Yorokobi,0,4.93850596,4.9997,6.2126,5.30,4.80,1.00,1001.00,13.56,3153.49,247.06
215229014,Le Lion D'angers (FRA) 15th Jun,1m2f Hcap,15-06-2023 15:42,41955278,Balina Gary,0,28.00000000,27.2664,1.0000,29.00,29.00,1.00,1001.00,0.00,192.46,21.82
215229020,ParisLongchamp (FRA) 15th Jun,1m1f Hcap,15-06-2023 17:35,5914583,So You Say,0,42.53771166,33.2742,1.0000,1.00,1001.00,1.00,1001.00,0.00,63.74,6.09
215228948,Le Lion D'angers (FRA) 15th Jun,2m4f Hcap Chs,15-06-2023 12:12,22540169,Bi Beach,0,5.10442463,5.8934,6.4721,6.40,5.50,1000.00,4.50,306.64,1493.42,344.27
215228952,Le Lion D'angers (FRA) 15th Jun,1m4f Stks,15-06-2023 13:22,57114789,Kristal Du Seuil,0,6.36771407,4.9782,1.0000,4.50,4.40,5.10,5.10,0.00,1318.84,207.00
215229018,ParisLongchamp (FRA) 15th Jun,1m4f Hcap,15-06-2023 17:00,9368764,Rainbow Warrior,0,17.57076385,12.3800,1.0000,21.00,9.80,1.00,1001.00,0.00,2784.33,62.21
215229028,ParisLongchamp (FRA) 15th Jun,1m1f Claim,15-06-2023 19:35,54869773,Palanzano,0,60.00000000,49.4496,1.0000,60.00,38.00,80.00,80.00,0.00,151.84,30.54
215229030,ParisLongchamp (FRA) 15th Jun,1m1f Stks,15-06-2023 20:05,32858858,Nembo Kid,0,120.00000000,89.2622,1.0000,120.00,60.00,120.00,120.00,0.00,66.50,16.74
215229018,ParisLongchamp (FRA) 15th Jun,1m4f Hcap,15-06-2023 17:00,2446659,Sir George,0,37.98545087,24.3201,1.0000,38.00,32.00,1.00,1001.00,0.00,139.72,20.34
215251548,Le Lion D'angers (FRA) 15th Jun,1m4f Claim,15-06-2023 13:57,57154573,3. Iraklios,0,140.00000000,89.3621,1.0000,120.00,80.00,1.00,1001.00,0.00,13.73,11.09
215229024,ParisLongchamp (FRA) 15th Jun,1m1f Hcap,15-06-2023 18:35,37159198,Youm In Love,0,11.50000000,11.1606,1.0000,14.50,9.60,1.00,1001.00,0.00,1356.78,45.61
215228952,Le Lion D'angers (FRA) 15th Jun,1m4f Stks,15-06-2023 13:22,57114790,Koko Prince,0,370.00000000,241.4737,1.0000,350.00,150.00,680.00,40.00,0.00,33.23,30.44
215228948,Le Lion D'angers (FRA) 15th Jun,2m4f Hcap Chs,15-06-2023 12:12,354581,Princess Polly,0,5.00000000,5.6324,7.8869,7.80,5.00,1.00,1001.00,75.25,1510.93,78.87
215229014,Le Lion D'angers (FRA) 15th Jun,1m2f Hcap,15-06-2023 15:42,8042585,Philosophy,0,16.51901307,17.1704,1.0000,18.00,16.00,1.00,1001.00,0.00,358.86,42.87
215229012,Le Lion D'angers (FRA) 15th Jun,1m7f Stks Cond,15-06-2023 15:08,19772912,American Saint,0,21.72212000,15.0911,1.0000,1.00,1001.00,15.00,12.50,0.00,280.91,72.54
215228950,Le Lion D'angers (FRA) 15th Jun,2m6f XC,15-06-2023 12:47,42037096,Coulee Verte,0,2.90056161,3.0931,1.0000,3.50,2.70,2.88,2.88,0.00,3089.01,442.05
215228950,Le Lion D'angers (FRA) 15th Jun,2m6f XC,15-06-2023 12:47,44328226,Waldor,0,77.66502463,32.0974,1.0000,1.00,1001.00,980.00,980.00,0.00,12.69,7.18
215229018,ParisLongchamp (FRA) 15th Jun,1m4f Hcap,15-06-2023 17:00,26517410,Situmeledemandais,0,26.00000000,32.7176,1.0000,42.00,42.00,21.00,21.00,0.00,165.60,37.99
215229020,ParisLongchamp (FRA) 15th Jun,1m1f Hcap,15-06-2023 17:35,48175616,Global Fashion,0,159.30696656,91.6579,1.0000,120.00,120.00,1.00,1001.00,0.00,31.00,5.59
215229022,ParisLongchamp (FRA) 15th Jun,1m4f Hcap,15-06-2023 18:05,26984184,Mat La Fristouille,0,7.53628376,7.6199,1.0000,8.20,7.00,980.00,980.00,0.00,1475.19,112.49
215251548,Le Lion D'angers (FRA) 15th Jun,1m4f Claim,15-06-2023 13:57,57154569,5. Pearl Doctor,0,6.40000000,9.6745,1.0000,15.50,9.00,1.00,1001.00,0.00,630.84,68.05
215229018,ParisLongchamp (FRA) 15th Jun,1m4f Hcap,15-06-2023 17:00,44509397,Kosakenzipfel,0,8.60000000,10.4027,1.0000,13.00,11.00,1.00,1001.00,0.00,856.24,66.45
215229030,ParisLongchamp (FRA) 15th Jun,1m1f Stks,15-06-2023 20:05,35925312,Red Grace,0,28.87428673,29.3752,1.0000,34.00,34.00,1.00,1001.00,0.00,94.99,11.52
215251548,Le Lion D'angers (FRA) 15th Jun,1m4f Claim,15-06-2023 13:57,19711112,9. Bella Ciao,0,26.48759695,25.1782,1.0000,1.00,1001.00,1.00,1001.00,0.00,22.38,8.86
215251548,Le Lion D'angers (FRA) 15th Jun,1m4f Claim,15-06-2023 13:57,57154567,10. Koulikoff,0,130.00000000,86.7405,1.0000,130.00,70.00,1.00,1001.00,0.00,14.79,20.35
215229030,ParisLongchamp (FRA) 15th Jun,1m1f Stks,15-06-2023 20:05,41409782,Gemmyo,0,9.20000000,10.5811,1.0000,1.00,1001.00,1.00,1001.00,0.00,237.08,48.33
