event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
210325732,Cagnes-sur-Mer (FRA) 22nd Feb,7f Hcap,22-02-2023 16:25,2241522,Boomerang,0,5.05802892,5.4456,1.0000,5.70,5.00,1.00,1001.00,0.00,1986.11,59.51
210325725,Cagnes-sur-Mer (FRA) 22nd Feb,7f Hcap,22-02-2023 14:05,19776865,Cheeky Traou Land,0,7.52918191,3.5031,1.0000,1.00,1001.00,1.00,1001.00,0.00,692.17,303.71
210325732,Cagnes-sur-Mer (FRA) 22nd Feb,7f Hcap,22-02-2023 16:25,38869663,Best Sixteen,0,120.00000000,79.4958,1.0000,160.00,90.00,1000.00,1000.00,0.00,20.85,13.39
210325725,Cagnes-sur-Mer (FRA) 22nd Feb,7f Hcap,22-02-2023 14:05,44247399,Contessa Verde,0,40.00000000,29.1639,1.0000,38.00,38.00,1.00,1001.00,0.00,76.25,20.95
210325719,Cagnes-sur-Mer (FRA) 22nd Feb,7f Hcap,22-02-2023 12:55,19450272,Jaurais Du,0,23.00000000,17.3634,1.0000,1.00,1001.00,1.00,1001.00,0.00,122.33,16.97
210325727,Cagnes-sur-Mer (FRA) 22nd Feb,7f Hcap,22-02-2023 15:15,35297621,Noble Amber,0,4.00718631,4.1815,1.0000,4.50,3.85,4.00,4.00,0.00,2201.40,305.25
210325727,Cagnes-sur-Mer (FRA) 22nd Feb,7f Hcap,22-02-2023 15:15,38914919,Speed Chop,0,31.18968210,23.4775,1.0000,1.00,1001.00,1.00,1001.00,0.00,45.35,9.05
210325717,Cagnes-sur-Mer (FRA) 22nd Feb,2m Hcap,22-02-2023 12:15,26722033,Decbou,0,10.64399983,10.9987,1.0000,13.00,7.60,13.50,13.50,0.00,879.06,110.57
210325732,Cagnes-sur-Mer (FRA) 22nd Feb,7f Hcap,22-02-2023 16:25,10146637,Autumn Twilight,0,8.48728186,6.2515,1.0000,1.00,1001.00,1.00,1001.00,0.00,787.71,39.91
210325721,Cagnes-sur-Mer (FRA) 22nd Feb,7f Mdn Stks,22-02-2023 13:30,48340739,Colby Chop,0,10.60259293,11.7721,1.0000,10.50,10.50,1.00,1001.00,0.00,618.02,38.12
