EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
192210785,IRE / Fairyhouse 11th Dec,To Be Placed,11-12-2021 13:02,40008819,Queenie Newall,0,8.740816175487126,8.48306342436756541395834210521754901542,1,1,1001,1,1001,0,490.44,0
192210770,IRE / Fairyhouse 11th Dec,To Be Placed,11-12-2021 11:30,21001430,Top Line Tommy,0,66.65587176717817,23.5474653473865586968776762084192655402,18.180002168474420451918685676830656421,50,15.5,1,1001,11.42,114.92,7.08
192210770,IRE / Fairyhouse 11th Dec,To Be Placed,11-12-2021 11:30,41050257,Hardy Bloke,0,67.64859777452425,90.5536658801296885064297652717273332303,164.499844675147558609819320671645361937,170,70,1,1001,8,54.72,0
192210805,IRE / Fairyhouse 11th Dec,To Be Placed,11-12-2021 15:22,41192912,Cocoplum,0,5.796598285804793,6.38483271385980618759833041458236560559,7.49871706666898902342130542238572333886,1,1001,1,1001,7.9,336.54,53.4
192210805,IRE / Fairyhouse 11th Dec,To Be Placed,11-12-2021 15:22,40178790,Fairy Tree,0,3.2,3.24581987597859306657851463258204415143,1,1,1001,1,1001,0,909.58,11
192210780,IRE / Fairyhouse 11th Dec,To Be Placed,11-12-2021 12:30,22778068,Montagne Dargent,0,5.782816619523802,4.93028342403298876084959697311149039989,3.42194382266801085868582390239904144871,1,1001,1,1001,30.94,619.44,40
192210780,IRE / Fairyhouse 11th Dec,To Be Placed,11-12-2021 12:30,18766090,Arahecan,1,5.1,4.79065042007343187996662609384906870955,5.7354310334419694813478486360488754847,1,1001,1,1001,27.88,831.32,416.88
192210790,IRE / Fairyhouse 11th Dec,To Be Placed,11-12-2021 13:37,13655819,Breezy Bell,1,3.6,3.78622252001094716414471197624421252658,10.3508686054239787461153779806182645755,1,1001,1,1001,22.84,1513.78,838.42
192210790,IRE / Fairyhouse 11th Dec,To Be Placed,11-12-2021 13:37,26698638,Ever So Cool,1,3.1,3.30750519729975455958516204108196828657,8.78993222758961997030625833555248069342,3.5,3.5,1,1001,4,656.56,465.52
192210795,IRE / Fairyhouse 11th Dec,To Be Placed,11-12-2021 14:12,42027237,The Blind Piper,0,7.2,8.16566445755115976064949172460851571661,5.69995519925745737043559175430082157696,1,1001,4.2,4.2,3.42,538.18,292.54
192210795,IRE / Fairyhouse 11th Dec,To Be Placed,11-12-2021 14:12,38907225,Merry Moves,0,10.5,12.2364984567515470197170338468342849145,1,1,1001,1,1001,0,203.38,46.62
192210795,IRE / Fairyhouse 11th Dec,To Be Placed,11-12-2021 14:12,41636282,Bonne Debut,0,5.461730462419073,7.07190795604856814794838608277687571022,16.9698634576674369434141338091559317168,7.8,7.8,1,1001,4,704.92,124.92
192210795,IRE / Fairyhouse 11th Dec,To Be Placed,11-12-2021 14:12,41655409,Siberian Prince,0,9.6,8.43024853263598066604394647642416632373,1,1,1001,1,1001,0,558.62,87.66
192210785,IRE / Fairyhouse 11th Dec,To Be Placed,11-12-2021 13:02,28751448,Speedy Pix,0,15.5,15.4631909949078958565984447875520060028,1,1,1001,1,1001,0,78.8,5.4
192210770,IRE / Fairyhouse 11th Dec,To Be Placed,11-12-2021 11:30,36062953,Dark Spark,0,13,9.76427903205641895523159678992957462771,12.1296036605544216693124012340267502339,12,12,1,1001,10.8,691.2,22.22
192210770,IRE / Fairyhouse 11th Dec,To Be Placed,11-12-2021 11:30,36744831,History Of Fashion,0,45.510876196138575,22.7907723344188784049140667074250304007,1,38,16,1,1001,0,297.48,.42
192210775,IRE / Fairyhouse 11th Dec,To Be Placed,11-12-2021 12:00,23030556,Portstorm,0,13.873043880740582,10.3364516550389369293302180976785938722,12.1409606520885038427019432130235650548,13.5,9.2,34,12.5,6.24,703.38,73.6
192210775,IRE / Fairyhouse 11th Dec,To Be Placed,11-12-2021 12:00,27527503,Stattler,1,1.42,1.29082226843083180056406269411918164077,1.31141477933410685805752827514173426439,1.44,1.41,1.34,1.34,76.32,10748.02,1754.04
192210775,IRE / Fairyhouse 11th Dec,To Be Placed,11-12-2021 12:00,10721823,Glenloe,0,12.675200286554178,10.1087146966256612035161050967150001134,4.49999627134005230989130023351770296231,1,1001,1,1001,33.98,740.3,32.74
192210800,IRE / Fairyhouse 11th Dec,To Be Placed,11-12-2021 14:47,15296070,Lady Mccabe,0,8.228634081399655,10.0258356846555763932039435170869587268,1,14,8.2,1,1001,0,492.7,26.48
192210800,IRE / Fairyhouse 11th Dec,To Be Placed,11-12-2021 14:47,23636573,Trickey Trix,0,10.678421208340978,11.2702445370700916830250239239240789572,1,11.5,10.5,1,1001,0,482.96,25.7
192210805,IRE / Fairyhouse 11th Dec,To Be Placed,11-12-2021 15:22,41695409,Clairmc,1,2.7166697447565085,2.63007590809608995887424006420370818484,3.32897672250160419143541604272107169736,2.96,2.96,3.1,2.6,11.9,2953.2,800.52
192210805,IRE / Fairyhouse 11th Dec,To Be Placed,11-12-2021 15:22,42027242,Liberty Dance,1,1.94,1.99314169514415945927744436347591959181,1,1,1001,1,1001,0,3474.14,624.26
192210805,IRE / Fairyhouse 11th Dec,To Be Placed,11-12-2021 15:22,39389787,Skinnider,0,3.75,3.27812550209322244651113638950052813151,2.06163391399355886719700205566203352171,3.2,3.15,3.25,3.1,34,2085.88,236.26
192210780,IRE / Fairyhouse 11th Dec,To Be Placed,11-12-2021 12:30,6387801,My Manekineko,0,5.686762079711595,6.02929159530439749361695768921663324903,6.12501756350111662812477939544476766889,6.4,6,2.32,2.32,46.84,861.94,177.26
192210780,IRE / Fairyhouse 11th Dec,To Be Placed,11-12-2021 12:30,18839077,Halsafari,0,3.5,3.59487523561504710028547642350363669411,3.35215313339709824884482028061312818761,3.55,3.55,4.9,4.9,32,1365.96,200.22
192210790,IRE / Fairyhouse 11th Dec,To Be Placed,11-12-2021 13:37,25702170,Presenting Meghan,0,12.5,11.4424809848763928864023686193986018417,1,1,1001,1,1001,0,340.8,0
192210790,IRE / Fairyhouse 11th Dec,To Be Placed,11-12-2021 13:37,26291397,Batalha,0,36.367953435550426,35.5183505756154884794478667827310274378,1,42,42,910,750,0,89.78,17.48
192210790,IRE / Fairyhouse 11th Dec,To Be Placed,11-12-2021 13:37,21470723,Well Go Again,0,5.4,6.37416575556890165144137205138206132756,7.33122438930465385454111580856791598156,6.8,5.9,1,1001,26,571.04,63.64
192210790,IRE / Fairyhouse 11th Dec,To Be Placed,11-12-2021 13:37,8201382,Mastermind,0,6.033730647577905,6.66659182060312753459145015791334970364,7.59994291049382422842042416333098718696,5.9,5.9,1,1001,4,1021.02,17.5
192210790,IRE / Fairyhouse 11th Dec,To Be Placed,11-12-2021 13:37,27467509,Get Free,0,10.5,11.5912159496031386684151865212558043755,17.2061200892574670413282661141344618833,13.5,10.5,1,1001,7.88,669.18,81.6
192210795,IRE / Fairyhouse 11th Dec,To Be Placed,11-12-2021 14:12,42027238,Dublin Calling,0,1.691612853210608,1.60352449841963743242768480558816108293,2.04583351690284896445161546937201950284,1.6,1.6,55,1.86,13.36,3029.28,1330.96
