event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
210303732,Punchestown 22nd Feb,To Be Placed,22-02-2023 16:35,36573803,Weston Road,0,12.00000000,12.3832,1.0000,17.00,14.50,1.00,1001.00,0.00,728.57,41.16
210303725,Punchestown 22nd Feb,To Be Placed,22-02-2023 16:00,834234,The Boys In Blue,0,18.50000000,19.2345,1.0000,1.00,1001.00,1.00,1001.00,0.00,169.76,26.91
210303725,Punchestown 22nd Feb,To Be Placed,22-02-2023 16:00,22179014,Lucky Ranger,0,8.00000000,8.3891,1.0000,9.60,7.60,1.00,1001.00,0.00,875.34,87.80
210303725,Punchestown 22nd Feb,To Be Placed,22-02-2023 16:00,38863227,Fons Vivus,0,3.20000000,3.2157,3.2062,3.30,3.20,1.00,1001.00,5.12,1840.30,175.15
210303725,Punchestown 22nd Feb,To Be Placed,22-02-2023 16:00,19885621,My Little Lily,0,17.22991313,12.2639,1.0000,16.00,11.50,1.00,1001.00,0.00,211.10,56.82
210303725,Punchestown 22nd Feb,To Be Placed,22-02-2023 16:00,37808685,Rochestown,1,1.96580157,1.9254,2.2704,1.99,1.83,1.95,1.95,22.40,7470.23,1072.73
210303697,Punchestown 22nd Feb,To Be Placed,22-02-2023 13:40,44696771,Easy Fella,1,1.42000000,1.4436,1.7824,1.00,1001.00,1.00,1001.00,400.56,6394.41,434.92
210303725,Punchestown 22nd Feb,To Be Placed,22-02-2023 16:00,41952357,Twoplustwo Equals,0,2.54000000,2.5495,2.6261,2.62,2.62,1.00,1001.00,12.80,2451.84,200.66
210303732,Punchestown 22nd Feb,To Be Placed,22-02-2023 16:35,43000095,Reserve Judgement,0,12.62019464,6.7284,1.0000,1.00,1001.00,1.00,1001.00,0.00,681.72,59.83
210303690,Punchestown 22nd Feb,To Be Placed,22-02-2023 13:05,43659032,Hot As Pepper,0,21.01272887,10.3348,1.0000,1.00,1001.00,1.00,1001.00,0.00,202.26,34.79
210303718,Punchestown 22nd Feb,To Be Placed,22-02-2023 15:25,38863084,The Niffler,0,3.72304063,4.5124,2.9199,1.00,1001.00,1.00,1001.00,1.76,479.70,299.53
210303739,Punchestown 22nd Feb,To Be Placed,22-02-2023 17:10,52854666,Speculatrix,1,1.15802260,1.1533,1.2199,1.16,1.15,1.00,1001.00,4.00,6215.14,2031.49
210303725,Punchestown 22nd Feb,To Be Placed,22-02-2023 16:00,42001862,Costanuci,1,5.27930888,5.6250,1.0000,5.60,5.60,2.00,1.70,0.00,1424.90,1187.66
210303739,Punchestown 22nd Feb,To Be Placed,22-02-2023 17:10,52854664,The Correction,1,5.90853918,5.1081,2.6965,6.40,5.40,1.00,1001.00,67.90,994.96,370.83
