event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
210303736,Punchestown 22nd Feb,2m INHF,22-02-2023 17:10,52854662,Dreamings Free,0,249.56434997,141.5723,71.1340,280.00,65.00,970.00,150.00,6.60,451.33,101.65
210303694,Punchestown 22nd Feb,2m4f Mdn Hrd,22-02-2023 13:40,48855451,The Green Grocer,0,275.17000000,542.4222,958.8448,980.00,180.00,1.00,1001.00,0.10,374.69,227.48
210303708,Punchestown 22nd Feb,2m6f Mdn Hrd,22-02-2023 14:50,36041720,Social Distancing,0,504.56917228,344.9520,155.0841,520.00,140.00,1000.00,340.00,5.62,436.84,72.59
210303708,Punchestown 22nd Feb,2m6f Mdn Hrd,22-02-2023 14:50,50016474,Givemylovetorose,0,96.28246438,111.6517,70.3234,160.00,70.00,1000.00,150.00,8.90,702.79,160.92
210303729,Punchestown 22nd Feb,2m4f Hcap Hrd,22-02-2023 16:35,45580851,Bint Freya,0,7.80000000,6.3245,6.2435,8.20,5.50,920.00,3.90,160.59,10599.17,7141.31
210303729,Punchestown 22nd Feb,2m4f Hcap Hrd,22-02-2023 16:35,43557334,Away To Milan,0,39.33032780,38.6894,47.7902,80.00,38.00,1000.00,23.00,18.20,2411.69,1088.22
210303722,Punchestown 22nd Feb,2m4f Hcap Hrd,22-02-2023 16:00,38863227,Fons Vivus,0,13.38151384,10.9803,18.8069,17.00,10.00,1000.00,11.00,23.77,9359.54,1235.72
210303736,Punchestown 22nd Feb,2m INHF,22-02-2023 17:10,52854665,Colleen Danu,0,60.68353031,32.6067,18.4539,75.00,17.00,400.00,55.00,57.68,2314.12,731.00
210303715,Punchestown 22nd Feb,3m Hcap Hrd,22-02-2023 15:25,44284532,Some Woman,0,200.00000000,113.2891,18.2417,310.00,46.00,1000.00,110.00,50.15,1057.07,301.03
210303729,Punchestown 22nd Feb,2m4f Hcap Hrd,22-02-2023 16:35,46661085,Whip Whitaker,0,57.83683061,37.6102,20.9404,100.00,24.00,360.00,50.00,26.68,3247.27,1045.06
210303715,Punchestown 22nd Feb,3m Hcap Hrd,22-02-2023 15:25,39223554,Spoiled Rotten,0,42.00000000,26.5958,22.9847,46.00,23.00,180.00,44.00,16.12,2607.30,531.19
210303701,Punchestown 22nd Feb,2m4f Grd3 Hrd,22-02-2023 14:15,28492240,Brandy Love,0,2.61307505,2.4534,2.0082,3.05,1.91,1000.00,1.14,9014.18,130583.57,52274.17
210303736,Punchestown 22nd Feb,2m INHF,22-02-2023 17:10,52854666,Speculatrix,1,1.72750179,1.7318,1.9526,2.10,1.70,4.80,1.01,1996.49,134725.47,69800.38
210303715,Punchestown 22nd Feb,3m Hcap Hrd,22-02-2023 15:25,45859702,Dr Val,1,24.00000000,23.6452,26.9749,36.00,24.00,160.00,1.01,39.96,2614.75,26851.79
210303729,Punchestown 22nd Feb,2m4f Hcap Hrd,22-02-2023 16:35,36573803,Weston Road,0,127.08102012,107.7528,1.0000,240.00,110.00,290.00,60.00,0.00,597.32,392.46
210303715,Punchestown 22nd Feb,3m Hcap Hrd,22-02-2023 15:25,44284536,Rockanrye,0,37.55167990,25.8215,14.3647,60.00,12.21,1000.00,560.00,317.73,4173.31,1049.89
210303715,Punchestown 22nd Feb,3m Hcap Hrd,22-02-2023 15:25,38863084,The Niffler,0,16.95536629,14.9548,18.1558,32.00,16.50,1000.00,18.50,106.82,5687.69,2801.39
210303729,Punchestown 22nd Feb,2m4f Hcap Hrd,22-02-2023 16:35,35565685,Wellgowats,0,9.69674000,8.0310,11.6611,11.50,8.00,1000.00,2.36,119.78,10949.70,10239.81
210303687,Punchestown 22nd Feb,2m Mdn Hrd,22-02-2023 13:05,616642,Jimmy Boy,0,180.00000000,113.3561,50.6870,210.00,60.00,1000.00,40.00,21.72,578.46,469.85
210303694,Punchestown 22nd Feb,2m4f Mdn Hrd,22-02-2023 13:40,51945315,Bob Cigar,0,6.06000000,6.0796,5.7014,7.20,5.10,1.00,1001.00,674.12,16287.60,2401.76
210303715,Punchestown 22nd Feb,3m Hcap Hrd,22-02-2023 15:25,7580869,American Money,0,4.51059481,5.2041,6.5482,9.20,4.40,1000.00,2.06,157.30,32158.37,22280.50
210303715,Punchestown 22nd Feb,3m Hcap Hrd,22-02-2023 15:25,12891146,Cher Why Not,0,7.29530046,6.2770,11.0729,13.09,6.20,1000.00,8.60,217.22,18085.95,6243.97
210303701,Punchestown 22nd Feb,2m4f Grd3 Hrd,22-02-2023 14:15,39590289,Ailie Rose,0,27.00000000,27.6947,60.6900,95.00,24.00,1000.00,24.00,127.12,6080.28,2306.22
210303729,Punchestown 22nd Feb,2m4f Hcap Hrd,22-02-2023 16:35,18154816,Shes Commanche,0,9.30188011,8.3526,11.8205,11.00,8.60,1000.00,8.40,129.06,9874.88,3092.21
210303722,Punchestown 22nd Feb,2m4f Hcap Hrd,22-02-2023 16:00,40450840,Getaway Abbey,0,11.50000000,11.0744,20.6251,21.00,11.00,1000.00,8.00,218.42,10174.38,4612.79
210303729,Punchestown 22nd Feb,2m4f Hcap Hrd,22-02-2023 16:35,43000095,Reserve Judgement,0,95.00000000,57.4209,28.4664,140.00,40.00,730.00,12.00,2.80,1364.88,2747.70
210303729,Punchestown 22nd Feb,2m4f Hcap Hrd,22-02-2023 16:35,28332498,The Connector,1,2.45291273,2.4738,3.0208,3.50,2.38,8.00,1.01,1521.29,82465.33,70836.23
210303687,Punchestown 22nd Feb,2m Mdn Hrd,22-02-2023 13:05,45374770,Joshua Chamberlain,0,55.00000000,42.2222,48.6717,80.00,46.00,1000.00,75.00,3.52,940.27,289.72
210303687,Punchestown 22nd Feb,2m Mdn Hrd,22-02-2023 13:05,38806826,Fameaftertheglory,0,3.72085718,3.5563,3.6308,4.10,3.45,1000.00,1.90,1697.65,41932.76,31562.26
210303708,Punchestown 22nd Feb,2m6f Mdn Hrd,22-02-2023 14:50,42165807,Ardfert Mary,0,930.00000000,685.7196,1.0000,1000.00,280.00,1000.00,500.00,0.00,178.86,62.02
210303715,Punchestown 22nd Feb,3m Hcap Hrd,22-02-2023 15:25,29768,Appian Way,0,15.50000000,10.8674,6.1699,16.00,10.00,1000.00,11.00,357.26,7144.54,1274.89
210303701,Punchestown 22nd Feb,2m4f Grd3 Hrd,22-02-2023 14:15,39371734,My Design,0,23.91841449,23.7622,130.6352,180.00,17.00,1000.00,19.50,29.89,10758.10,5436.55
210303687,Punchestown 22nd Feb,2m Mdn Hrd,22-02-2023 13:05,51899316,Marronstown,0,23.77529219,16.0299,11.8582,27.00,11.00,1000.00,23.00,387.32,4223.26,550.32
210303715,Punchestown 22nd Feb,3m Hcap Hrd,22-02-2023 15:25,41848125,Rebellious Gale,0,6.95828630,6.6257,6.4567,8.00,6.20,1000.00,5.00,418.94,14574.14,5998.15
210303687,Punchestown 22nd Feb,2m Mdn Hrd,22-02-2023 13:05,43659032,Hot As Pepper,0,149.98249090,158.9984,67.0363,250.00,90.00,1000.00,46.00,8.12,455.65,418.61
210303729,Punchestown 22nd Feb,2m4f Hcap Hrd,22-02-2023 16:35,40115387,Whiskey Lady,0,13.17526958,11.8150,14.7250,19.50,13.00,1000.00,10.50,116.81,5056.49,2163.28
210303687,Punchestown 22nd Feb,2m Mdn Hrd,22-02-2023 13:05,38144939,Boola Boola,0,27.00000000,34.7445,42.0762,55.00,27.00,1000.00,7.40,47.48,2130.00,2156.63
210303687,Punchestown 22nd Feb,2m Mdn Hrd,22-02-2023 13:05,457930,Another Million,0,61.25249789,32.1097,16.9741,65.00,29.00,1000.00,110.00,52.12,1711.76,247.01
210303715,Punchestown 22nd Feb,3m Hcap Hrd,22-02-2023 15:25,18959755,Hilltop Supreme,0,138.78972819,133.9552,86.7414,250.00,130.00,1000.00,100.00,4.30,704.80,462.43
210303715,Punchestown 22nd Feb,3m Hcap Hrd,22-02-2023 15:25,43066339,Cheerful Chap,0,43.37055783,37.5590,42.5778,60.00,32.00,1000.00,9.00,40.80,1776.05,4018.07
210303708,Punchestown 22nd Feb,2m6f Mdn Hrd,22-02-2023 14:50,44017512,Kellys Birr,0,85.00000000,96.2116,64.2298,210.00,60.00,1000.00,8.80,14.34,1048.33,8952.73
210303729,Punchestown 22nd Feb,2m4f Hcap Hrd,22-02-2023 16:35,42930674,Ranger Billy,0,24.57990395,17.5865,22.9629,28.00,16.00,580.00,27.00,106.15,3246.48,871.63
210303687,Punchestown 22nd Feb,2m Mdn Hrd,22-02-2023 13:05,13395086,Prioritise,0,635.57572076,302.5156,61.7875,650.00,90.00,1000.00,570.00,7.11,338.22,60.32
210303715,Punchestown 22nd Feb,3m Hcap Hrd,22-02-2023 15:25,36573761,Lord Gillygooley,0,10.98396133,8.0396,7.6103,13.00,6.66,800.00,5.00,216.54,10559.11,4766.33
210303687,Punchestown 22nd Feb,2m Mdn Hrd,22-02-2023 13:05,41605878,Sixhandsinmypocket,0,18.98077254,16.5228,10.5536,26.00,8.60,1000.00,70.00,425.07,5256.03,555.31
210303694,Punchestown 22nd Feb,2m4f Mdn Hrd,22-02-2023 13:40,51081938,Mystic Sage,0,81.62000000,78.4076,34.1346,160.00,30.00,110.00,50.00,65.32,939.17,591.32
210303694,Punchestown 22nd Feb,2m4f Mdn Hrd,22-02-2023 13:40,52854658,Dylans Day,0,137.01000000,199.6153,69.8726,440.00,55.00,1000.00,110.00,28.34,349.59,803.96
