EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
159103701,IRE / Wex  22nd May,2m4f Mdn Hrd,22-05-2019 14:05,18959754,Clouncerna,0,85,86.5315762611065753855283176767074442997,36.72541821219051242007084523420621164,180,46.15,1000,70,22.18,563.74,333.66
159103716,IRE / Wex  22nd May,2m Hcap Hrd,22-05-2019 15:40,12464459,Charle Brune,1,13.252452055464381,14.1930798914924679453253998372993876411,20.7137496075750408530265378285589916134,40,12,13.5,1.01,292.94,4879.56,70325.74
159103716,IRE / Wex  22nd May,2m Hcap Hrd,22-05-2019 15:40,9436849,Crocosmia,0,11.990200724612226,10.8100246374755248408552556087749858817,9.07345028730961707493770848880389346725,12.5,8,950,9,273.38,8375.74,1609.86
159103716,IRE / Wex  22nd May,2m Hcap Hrd,22-05-2019 15:40,10962275,Wild Desire,0,8,7.80921160714562274796821007732154075947,7.13861416615628802734175143083825770029,8.4,7.4,1000,4,96.94,9481.26,7061.04
159103731,IRE / Wex  22nd May,2m4f INHF,22-05-2019 17:10,23742654,Ri Rua,0,210,148.147487611191669257288313985544272454,109.99680059142542582083411481951524806,220,95,1000,110,4.02,561.66,189.9
159103731,IRE / Wex  22nd May,2m4f INHF,22-05-2019 17:10,19761607,Whenurgoodurgood,0,10.5,9.80456070980147788332089258596368678736,7.11107463577711117340785109355835414641,11.5,8.6,1000,7.4,8.66,8230.64,3656.78
159103726,IRE / Wex  22nd May,2m Hcap Chs,22-05-2019 16:40,11163060,Perfect Leader,1,4.4,4.3650860236496848960862135994793241866,4.29023944178411227487181424621829693468,5.1,4.1,5.7,1.01,60.56,43533.34,78593.96
159103721,IRE / Wex  22nd May,3m1f Beg Chs,22-05-2019 16:10,13254717,Drimsree Lad,0,100,82.8599190503691868516872063406267337091,64.0968738185251676219165261463656672712,300,60,1000,13,16.1,1513.12,7004.42
159103741,IRE / Cork  22nd May,6f Stks,22-05-2019 18:05,19774044,Woody Creek,1,3.2381541411399306,3.21275553010166204296184731269133914701,3.61917117123333453427642889468359033288,3.6,3,4.6,1.01,1053.66,75199.62,46595.82
159103736,IRE / Cork  22nd May,5f Mdn,22-05-2019 17:35,24330460,Erlking,0,20.770308911195315,19.6464569821583329079454895373153743958,13.937226469034262714242363430620666991,22,12.5,1000,5.2,160.16,6001.62,1381.56
159103756,IRE / Cork  22nd May,1m2f Hcap,22-05-2019 19:35,21001426,Leahman,0,48,35.5973375592236228280522179483741978994,1,100,44,860,55,0,1892.62,159.04
159103756,IRE / Cork  22nd May,1m2f Hcap,22-05-2019 19:35,20362255,Dreamboat Dave,0,5.9,4.98353472170963125075112740912073958385,4.4714679356610667357657030399200975999,6,4.1,1000,3,1193.5,80890.22,6904.48
159103766,IRE / Cork  22nd May,1m2f Mdn,22-05-2019 20:35,20886048,Sandstorm Annie,0,67.96976977155542,56.6913249972099588026067574103514039531,83.1277383803825391913737307838784016117,200,50,1000,34,7.54,2470.16,324.32
159103761,IRE / Cork  22nd May,1m2f Hcap,22-05-2019 20:05,12942910,Deauville Society,0,25.208636356,20.8841842601848949608633122473268816745,10.9171142269436533185985302010455151425,27,10.77,1000,24,73.44,6804.34,512.62
159103761,IRE / Cork  22nd May,1m2f Hcap,22-05-2019 20:05,19159299,Utalkintomeboy,0,28.669935225,35.9939355845470370936931036813532098764,1,75,28,1000,30,0,2184.8,483.92
159103761,IRE / Cork  22nd May,1m2f Hcap,22-05-2019 20:05,948308,Royal Admiral,1,4.6,4.30417573955161612933428373489790365826,4.75127399509836601083563235284666909876,5.81,4,5.2,1.01,1561.72,63158.44,28351.04
159103746,IRE / Cork  22nd May,7f Mdn,22-05-2019 18:35,24330465,Highland Dress,1,5.5,5.26221010253596523015109128920391114194,7.89671174682514332215702883658591830164,11.5,4.4,7.2,1.01,937.78,54344.38,34290.9
159103701,IRE / Wex  22nd May,2m4f Mdn Hrd,22-05-2019 14:05,21865367,Yendo,0,10,9.80710427676544683569189569957228025535,9.45983122391613590465232944134268660273,11,8.6,1000,6.8,199.4,7174.54,4095.38
159103701,IRE / Wex  22nd May,2m4f Mdn Hrd,22-05-2019 14:05,22248108,Shawshank,0,3.9,4.32474632812681694163317031558454892312,7.90825240873632449355095009932428227258,7.02,3.7,1000,1.01,705.24,38242.14,78274.84
159103711,IRE / Wex  22nd May,3m Hrd,22-05-2019 15:10,11954819,Daybreak Boy,0,3.0738814088201982,2.97367462434967203575979877155964828823,3.31811903934203650712716808437803314576,3.5,2.84,950,3,714.72,50803,19150.12
159103711,IRE / Wex  22nd May,3m Hrd,22-05-2019 15:10,12115902,Mistheatre,0,39.545817944,80.0645280781593315826363493206216634631,77.0459425306921113232978266508227546828,360,46,1000,9,12.74,875.32,4527.62
159103716,IRE / Wex  22nd May,2m Hcap Hrd,22-05-2019 15:40,12956425,Petite Gina,0,15,14.6444621634165917033624095959708053681,10.6939082147708365446531180213600959243,16,14,1000,11,31.56,3182.3,2405.26
159103716,IRE / Wex  22nd May,2m Hcap Hrd,22-05-2019 15:40,21179644,Enquire,0,11.5,11.7291827148356942038794449449855177487,22.4132519419491584480894502064704074914,27,10.5,1000,8.8,119.72,5031.92,2353.44
159103716,IRE / Wex  22nd May,2m Hcap Hrd,22-05-2019 15:40,8752457,Taggs Island,0,120,110.885528072586715352799071851945050987,26.0952657241428445548684470680342441492,160,70,1000,90,15.08,554.94,279.46
159103731,IRE / Wex  22nd May,2m4f INHF,22-05-2019 17:10,24330473,Ballinacoola Babe,0,47.079555685,38.9738606581514359290353852581026998496,37.9989991514976069541344665008370510899,55,26,1000,11,8.68,1836.88,2565.08
159103731,IRE / Wex  22nd May,2m4f INHF,22-05-2019 17:10,20922788,Jakoby,0,7.637108452,7.90687039257097382944860204821473832425,4.25084348517555786322116061534294355734,10,4.1,1000,6.8,471.7,9489.2,3069
159103706,IRE / Wex  22nd May,2m4f Hcap Hrd,22-05-2019 14:35,12793237,Trans Wood,0,5.511304972698043,5.28757504186813321555470543093005301852,7.46201294739805425475363721566638914487,7.8,5.4,1000,1.03,33.92,21280.18,40445.6
159103706,IRE / Wex  22nd May,2m4f Hcap Hrd,22-05-2019 14:35,13365688,Dawn Hoofer,0,13,8.29775384874415529621372145036063573452,8.88464590808765831173646617618361909584,13.5,8.4,1000,5,70,7715.62,5245.16
159103741,IRE / Cork  22nd May,6f Stks,22-05-2019 18:05,20066381,Cityman,0,6.6328825176539254,7.33704408966519284458681938962809078987,15.1514853486982343161630045329651674263,16,6.2,1000,5,223,21709.06,3801.94
