EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
171919616,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 11:05,22172329,Sunset Beach,0,2.9972164231038176,1,2.3051820845542067810799497697781498535,1,1001,1,1001,95.56,0,0
171919616,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 11:05,27957495,Liverpool Legend,0,2.6104523183980195,1,2.21002105666156202143950995405819295559,1,1001,1,1001,208.96,0,0
171919616,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 11:05,32663116,Wonderous,0,11.95,1,9.67415730337078651685393258426966292135,1,1001,1,1001,8.9,0,0
171919618,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 11:40,7278299,Olivers Mount,0,9.03134208,1,8.56687116564417177914110429447852760736,1,1001,1,1001,19.56,0,0
171919620,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 12:15,35462035,Wolffs World,0,10.747579251462595,1,1,1,1001,1,1001,0,0,0
171919622,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 12:50,36933,Western Fort,0,2.422200068858801,1,1,1,1001,1,1001,0,0,0
171919622,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 12:50,8830288,Finchatton,0,5.52397876,1,1,1,1001,1,1001,0,0,0
171919624,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 13:25,16026155,Littlewood,1,1.9,1,1,1,1001,1,1001,0,0,0
171919626,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 14:00,12792283,American Indian,0,1.4313183948786172,1,1,1,1001,1,1001,0,0,0
171919626,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 14:00,17796187,Earth Sky,0,16.5,1,1,1,1001,1,1001,0,0,0
171919630,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 15:10,24645570,Thandekhile,0,6.097235,1,1,1,1001,1,1001,0,0,0
171919630,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 15:10,19432672,Soul Of Wit,0,1.9638408,1,1,1,1001,1,1001,0,0,0
171919630,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 15:10,14986327,Zulu Dawn,0,5.819204,1,1,1,1001,1,1001,0,0,0
171919630,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 15:10,22875993,Malteza,0,2.0565178,1,1,1,1001,1,1001,0,0,0
171919630,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 15:10,23071507,Royal Lily,1,3.71080225,1,1,1,1001,1,1001,0,0,0
171919632,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 15:45,15270054,Kurts Approval,0,3.15074125,1,1,1,1001,1,1001,0,0,0
171919632,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 15:45,17351782,Smoke,1,1.75448251766970491395,1,1,1,1001,1,1001,0,0,0
171919632,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 15:45,24141240,Bouncing Tigger,0,6.827815,1,1,1,1001,1,1001,0,0,0
171919618,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 11:40,28218390,Syds Liason,1,1.863544214,1,1.35800450506047889410022216736608244878,1,1001,1,1001,1296.32,0,0
171919618,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 11:40,34355337,The Art Master,0,10.87876,1,16.4489130434782608695652173913043478261,1,1001,1,1001,23.92,0,0
171919624,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 13:25,10424147,Seeking Gold,0,7.7,1,1,1,1001,1,1001,0,0,0
171919626,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 14:00,11000832,Dromedaris,1,3.1069117418210954,1,1,1,1001,1,1001,0,0,0
171919626,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 14:00,15949739,Brand New Cadillac,0,8,1,1,1,1001,1,1001,0,0,0
171919628,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 14:35,28093547,Fantasy Flower,0,4.759425851874404,1,1,1,1001,1,1001,0,0,0
171919632,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 15:45,3890799,Manitoba,0,59.27059248921801070075,1,1,1,1001,1,1001,0,0,0
171919632,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 15:45,22247955,War Jewel,1,2.4519731771944,1,1,1,1001,1,1001,0,0,0
171919632,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 15:45,23476315,Floribunda,0,9.787975,1,1,1,1001,1,1001,0,0,0
171919616,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 11:05,28673335,Making A Scene,0,5.230350304,1,4.035507344940152339499455930359085963,1,1001,1,1001,735.2,0,0
171919620,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 12:15,28648595,Tai Gold,0,5.694016705274699,1,3.96277788658086921607766613186461888944,1,1001,1,1001,47.66,0,0
171919620,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 12:15,28720693,Swindons Pride,0,2.54,1,1,1,1001,1,1001,0,0,0
171919622,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 12:50,9673836,Shogun,1,1.88,1,1,1,1001,1,1001,0,0,0
171919624,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 13:25,894689,Emerald Bay,0,6.4,1,1,1,1001,1,1001,0,0,0
171919624,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 13:25,15999892,Glamorous Scandal,0,11.5,1,1,1,1001,1,1001,0,0,0
171919628,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 14:35,21760682,Sweet And Spicy,0,3.109589041,1,1,1,1001,1,1001,0,0,0
171919628,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 14:35,27790479,War Of Athena,1,1.3266175034303067,1,1,1,1001,1,1001,0,0,0
171919630,RSA / Turf (RSA) 8th Aug,TO BE PLACED,08-08-2020 15:10,10298592,Encryption,1,5.41024474024695918331,1,1,1,1001,1,1001,0,0,0
