EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
112455459,RSA / Fair (RSA) 13th Jan,TO BE PLACED,13-01-2014 10:55,8206236,Thunder Fury,0,,1,8.35258754260923458320421444065695692594,1,1001,1,1001,64.54,0,0
112455461,RSA / Fair (RSA) 13th Jan,TO BE PLACED,13-01-2014 11:30,6331788,Lunar Emblem,1,,1,2.32795845956818690090319495229385533913,1,1001,1,1001,5,0,0
112455467,RSA / Fair (RSA) 13th Jan,TO BE PLACED,13-01-2014 13:20,5490400,Bandol,0,,1,1,1,1001,1,1001,0,0,0
112455473,RSA / Fair (RSA) 13th Jan,TO BE PLACED,13-01-2014 15:05,4678500,Dark Knight,0,,1,1,1,1001,1,1001,0,0,0
112455463,RSA / Fair (RSA) 13th Jan,TO BE PLACED,13-01-2014 12:05,7092684,Free Flight,0,,1,5.79999696000192533211395632782765904248,1,1001,1,1001,6,0,0
112455463,RSA / Fair (RSA) 13th Jan,TO BE PLACED,13-01-2014 12:05,7424380,Lady Silvia,0,,1,1,1,1001,1,1001,0,0,0
112455469,RSA / Fair (RSA) 13th Jan,TO BE PLACED,13-01-2014 13:55,5903696,Jetsons,0,,1,1,1,1001,1,1001,0,0,0
112455469,RSA / Fair (RSA) 13th Jan,TO BE PLACED,13-01-2014 13:55,1532088,Wilmington,0,,1,1,1,1001,1,1001,0,0,0
112455471,RSA / Fair (RSA) 13th Jan,TO BE PLACED,13-01-2014 14:30,6628193,Mystical Maxi,0,,1,7.199998760000247999950400009919998016,1,1001,1,1001,6,0,0
112455471,RSA / Fair (RSA) 13th Jan,TO BE PLACED,13-01-2014 14:30,6928540,Follow The Tiger,0,,1,1,1,1001,1,1001,0,0,0
112455459,RSA / Fair (RSA) 13th Jan,TO BE PLACED,13-01-2014 10:55,8206235,Sapphire Sea,0,,1,6.31294277929155313351498637602179836512,1,1001,1,1001,14.68,0,0
112455461,RSA / Fair (RSA) 13th Jan,TO BE PLACED,13-01-2014 11:30,5544968,Lord Badger,0,,1,1,1,1001,1,1001,0,0,0
112455465,RSA / Fair (RSA) 13th Jan,TO BE PLACED,13-01-2014 12:40,6551155,Frosted Flakes,1,,1,1,1,1001,1,1001,0,0,0
112455465,RSA / Fair (RSA) 13th Jan,TO BE PLACED,13-01-2014 12:40,8130747,Forest Nymph,0,,1,1,1,1001,1,1001,0,0,0
112455467,RSA / Fair (RSA) 13th Jan,TO BE PLACED,13-01-2014 13:20,6206447,London Perfect,1,,1,1,1,1001,1,1001,0,0,0
112455473,RSA / Fair (RSA) 13th Jan,TO BE PLACED,13-01-2014 15:05,5930492,Mo Pepper,0,,1,1,1,1001,1,1001,0,0,0
112455473,RSA / Fair (RSA) 13th Jan,TO BE PLACED,13-01-2014 15:05,7051574,Greystone,0,,1,1,1,1001,1,1001,0,0,0
112455463,RSA / Fair (RSA) 13th Jan,TO BE PLACED,13-01-2014 12:05,7087976,Matchless Mae,0,,1,1,1,1001,1,1001,0,0,0
112455471,RSA / Fair (RSA) 13th Jan,TO BE PLACED,13-01-2014 14:30,282009,Flashing Star,0,,1,1,1,1001,1,1001,0,0,0
112455471,RSA / Fair (RSA) 13th Jan,TO BE PLACED,13-01-2014 14:30,6140759,Waterfall,0,,1,1,1,1001,1,1001,0,0,0
112455461,RSA / Fair (RSA) 13th Jan,TO BE PLACED,13-01-2014 11:30,5841859,Two Gun Kid,0,,1,1,1,1001,1,1001,0,0,0
112455465,RSA / Fair (RSA) 13th Jan,TO BE PLACED,13-01-2014 12:40,7545185,Lavishing View,0,,1,1,1,1001,1,1001,0,0,0
112455465,RSA / Fair (RSA) 13th Jan,TO BE PLACED,13-01-2014 12:40,5295494,Dont Worry,0,,1,1,1,1001,1,1001,0,0,0
112455467,RSA / Fair (RSA) 13th Jan,TO BE PLACED,13-01-2014 13:20,5465161,Villandry,0,,1,1,1,1001,1,1001,0,0,0
112455473,RSA / Fair (RSA) 13th Jan,TO BE PLACED,13-01-2014 15:05,962708,Pure Honey,0,,1,1,1,1001,1,1001,0,0,0
112455463,RSA / Fair (RSA) 13th Jan,TO BE PLACED,13-01-2014 12:05,6791045,Dreamed A Dream,0,,1,1,1,1001,1,1001,0,0,0
112455463,RSA / Fair (RSA) 13th Jan,TO BE PLACED,13-01-2014 12:05,7651817,Incas Star,0,,1,1,1,1001,1,1001,0,0,0
112455461,RSA / Fair (RSA) 13th Jan,TO BE PLACED,13-01-2014 11:30,5621566,Shujaa,0,,1,1,1,1001,1,1001,0,0,0
