EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
151050593,RSA / Kenil (RSA) 11th Nov,R8 1600m Hcap,11-11-2018 15:20,20299077,Tippu Tib,0,35.91355877821315,35.679679056977989255328119726128500645,1,40,38,880,880,0,53.08,1.8
151050593,RSA / Kenil (RSA) 11th Nov,R8 1600m Hcap,11-11-2018 15:20,17677992,Holy Land,0,13,12.0000581672294360471749003634450800211,1,14.5,10.5,1,1001,0,673.3,8
151050593,RSA / Kenil (RSA) 11th Nov,R8 1600m Hcap,11-11-2018 15:20,15848713,Silver League,0,17.047736303750423,15.2352666923463188538192144294533672496,1,16,15.5,1,1001,0,198.58,0
151050585,RSA / Kenil (RSA) 11th Nov,R4 1400m Hcap,11-11-2018 13:00,18296594,Kawakami,0,4.338891817,4.00861793277718061353140770891617151932,1,4.4,3.7,6.4,6.4,0,3282.78,215.42
151050585,RSA / Kenil (RSA) 11th Nov,R4 1400m Hcap,11-11-2018 13:00,11493042,Misticos Secret,0,190,116.466512946601884639365669446960695505,1,1,1001,1,1001,0,1.02,0
151050585,RSA / Kenil (RSA) 11th Nov,R4 1400m Hcap,11-11-2018 13:00,13232480,Silver Streamer,0,43.14774005813521,33.3401919797245330586496162407869998004,1,1,1001,1,1001,0,33.86,0
151050591,RSA / Kenil (RSA) 11th Nov,R7 2400m Listed Hcap,11-11-2018 14:45,9378758,Benjan,1,11.825745321866123,10.4861468797347726329728307054290157702,1,10.5,10,1.03,1.01,0,269.04,1674.2
151050591,RSA / Kenil (RSA) 11th Nov,R7 2400m Listed Hcap,11-11-2018 14:45,10222638,Let It Rain,0,36,27.541764144638072140735859610283320865,1,1,1001,1,1001,0,30.6,0
151050579,RSA / Kenil (RSA) 11th Nov,R1 1000m Plt,11-11-2018 11:15,2552989,Flying Arrow,0,17.5,18.9906633742183687101208836612414987512,21.8274187730667850395383458004513782396,29,17,1,1001,8,836.56,.34
151050579,RSA / Kenil (RSA) 11th Nov,R1 1000m Plt,11-11-2018 11:15,19290069,Tyrian,1,3.2345191948986023,3.81969252977319648105863975110333604339,12.1042662852879776754881835132045491054,300,3.45,3.55,1.01,166.24,5551.74,2108.2
151050581,RSA / Kenil (RSA) 11th Nov,R2 1400m Plt,11-11-2018 11:50,21579148,Winter Shadow,0,60,33.7313355075494433428489818513912423253,1,36,34,1,1001,0,86.88,0
151050581,RSA / Kenil (RSA) 11th Nov,R2 1400m Plt,11-11-2018 11:50,20880581,Middle Wood,0,130.26614781711248,72.5156674309423875991228868152588654766,1,90,40,1,1001,0,45.18,0
151050583,RSA / Kenil (RSA) 11th Nov,R3 1400m Plt,11-11-2018 12:25,18699235,Contessas Glance,0,7.4,7.12540038584420869060086188006230002939,1,8.6,7.2,1,1001,0,1956.74,17.3
151050583,RSA / Kenil (RSA) 11th Nov,R3 1400m Plt,11-11-2018 12:25,19933022,Trou Aux Biches,0,90,30.6800625886490157804837977555666340616,1,75,60,1,1001,0,113.14,6.34
151050583,RSA / Kenil (RSA) 11th Nov,R3 1400m Plt,11-11-2018 12:25,11544791,Shes Got The Look,0,992.7483371484468,340.43827005348765473613830044643322688,1,1000,130,1,1001,0,39.7,.06
