EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
220697955,Jebel Ali (UAE) 4th Nov,To Be Placed,04-11-2023 11:45,965608,Kingdom Of Dreams,0,2.43762280,2.2614,1.0000,1.00,1001.00,1.00,1001.00,0.00,19.00,23.77
220697950,Jebel Ali (UAE) 4th Nov,To Be Placed,04-11-2023 11:15,39605059,Zaammit,0,2.66000000,2.6799,1.0000,1.00,1001.00,1.00,1001.00,0.00,8.00,7.58
220697960,Jebel Ali (UAE) 4th Nov,To Be Placed,04-11-2023 12:15,4997573,Razzle Dazzle,0,3.16106971,2.8399,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.88,10.52
220697940,Jebel Ali (UAE) 4th Nov,To Be Placed,04-11-2023 10:15,41751531,Mr Kafoo,1,3.28094418,2.5699,1.0158,1.00,1001.00,1.00,1001.00,261.58,2.64,15.20
220697955,Jebel Ali (UAE) 4th Nov,To Be Placed,04-11-2023 11:45,46478450,Al Hajaj,0,2.27237880,1.9692,1.0000,1.00,1001.00,1.00,1001.00,0.00,3.90,9.38
220697950,Jebel Ali (UAE) 4th Nov,To Be Placed,04-11-2023 11:15,39459040,Al Shibli,1,3.50000000,3.3164,1.0000,1.00,1001.00,1.00,1001.00,0.00,25.00,8.48
220697940,Jebel Ali (UAE) 4th Nov,To Be Placed,04-11-2023 10:15,41921967,Al Moohaajim,0,3.65142776,1.0000,1.0425,1.00,1001.00,1.00,1001.00,256.28,0.00,15.20
220697955,Jebel Ali (UAE) 4th Nov,To Be Placed,04-11-2023 11:45,38807055,Mount Marcy,0,5.81034360,5.1299,1.0000,1.00,1001.00,1.00,1001.00,0.00,2.00,8.73
220697960,Jebel Ali (UAE) 4th Nov,To Be Placed,04-11-2023 12:15,37033760,Fire Group,0,3.27456325,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,9.35
220697950,Jebel Ali (UAE) 4th Nov,To Be Placed,04-11-2023 11:15,36062781,Rock The Barzah,0,8.80000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,10.24
220697965,Jebel Ali (UAE) 4th Nov,To Be Placed,04-11-2023 12:45,15067,Thaayer,0,1.91000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,9.10
220697965,Jebel Ali (UAE) 4th Nov,To Be Placed,04-11-2023 12:45,49977569,Alwareeth,1,5.20000000,5.2147,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.40,16.65
220697940,Jebel Ali (UAE) 4th Nov,To Be Placed,04-11-2023 10:15,3415952,Benzema,0,3.33329348,1.0000,,1.00,1001.00,1.00,1001.00,279.90,0.00,15.20
220697960,Jebel Ali (UAE) 4th Nov,To Be Placed,04-11-2023 12:15,127023,Hyde Park,1,4.77261195,4.2998,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.46,15.59
220697945,Jebel Ali (UAE) 4th Nov,To Be Placed,04-11-2023 10:45,62395830,Ras Al Hadd,0,7.08558296,9.5507,2.7795,1.00,1001.00,1.00,1001.00,231.70,48.22,8.22
220697960,Jebel Ali (UAE) 4th Nov,To Be Placed,04-11-2023 12:15,41921964,Violent Justice,0,2.76729689,1.8945,1.0000,1.00,1001.00,1.00,1001.00,0.00,40.88,9.77
220697945,Jebel Ali (UAE) 4th Nov,To Be Placed,04-11-2023 10:45,62395833,Wheres The Wayya,0,4.12198558,1.0000,,1.00,1001.00,1.00,1001.00,278.06,0.00,8.42
220697950,Jebel Ali (UAE) 4th Nov,To Be Placed,04-11-2023 11:15,28770576,Cairn Island,0,7.85913187,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,7.82
220697965,Jebel Ali (UAE) 4th Nov,To Be Placed,04-11-2023 12:45,42396263,Flame Talon,0,5.24437988,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,18.44
220697965,Jebel Ali (UAE) 4th Nov,To Be Placed,04-11-2023 12:45,38488973,Waqet,1,7.80951884,5.7768,1.0000,1.00,1001.00,1.00,1001.00,0.00,87.20,42.29
220697945,Jebel Ali (UAE) 4th Nov,To Be Placed,04-11-2023 10:45,6760127,Rabdaan,0,4.07801874,1.0000,,1.00,1001.00,1.00,1001.00,326.65,0.00,9.16
220697955,Jebel Ali (UAE) 4th Nov,To Be Placed,04-11-2023 11:45,62395835,Haasim,1,3.07476126,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,10.45
220697965,Jebel Ali (UAE) 4th Nov,To Be Placed,04-11-2023 12:45,49977563,Bozan,0,2.37630431,2.7630,1.0000,1.00,1001.00,1.00,1001.00,0.00,28.58,10.66
220697960,Jebel Ali (UAE) 4th Nov,To Be Placed,04-11-2023 12:15,39502140,Mystery Fox,0,3.21548354,2.2199,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.38,10.22
220697940,Jebel Ali (UAE) 4th Nov,To Be Placed,04-11-2023 10:15,983671,Ironside,0,2.18888085,1.0000,,1.00,1001.00,1.00,1001.00,485.55,0.00,15.20
220697960,Jebel Ali (UAE) 4th Nov,To Be Placed,04-11-2023 12:15,11549445,Zainhom,0,2.93986947,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,10.16
220697965,Jebel Ali (UAE) 4th Nov,To Be Placed,04-11-2023 12:45,46065032,Makfoul,0,1.92445816,1.8651,1.0000,1.00,1001.00,1.00,1001.00,0.00,38.26,42.01
220697955,Jebel Ali (UAE) 4th Nov,To Be Placed,04-11-2023 11:45,44284987,Eljenob,1,2.20998408,2.2751,1.0000,1.00,1001.00,1.00,1001.00,0.00,66.68,99.79
220697960,Jebel Ali (UAE) 4th Nov,To Be Placed,04-11-2023 12:15,38038726,Delorean,1,5.04754391,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,93.59
220697950,Jebel Ali (UAE) 4th Nov,To Be Placed,04-11-2023 11:15,53387278,Thawban,0,1.45000000,1.4468,1.0000,1.00,1001.00,1.00,1001.00,0.00,565.82,8.37
220697945,Jebel Ali (UAE) 4th Nov,To Be Placed,04-11-2023 10:45,62395831,Prima Summer,0,3.69839332,2.7876,1.1674,1.00,1001.00,1.00,1001.00,404.39,37.88,16.44
220697950,Jebel Ali (UAE) 4th Nov,To Be Placed,04-11-2023 11:15,20264958,Rayig,1,1.78902907,1.6478,1.0000,1.00,1001.00,1.00,1001.00,0.00,8.04,72.25
220697950,Jebel Ali (UAE) 4th Nov,To Be Placed,04-11-2023 11:15,18929093,Desert Safari,1,4.50822019,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,16.06
