EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
185967613,GB / Kempton 4th Aug,TO BE PLACED,04-08-2021 17:25,21652966,Stormbomber,0,5.1054184215461325,3.90331566634291862433647674376960564005,5.50878990692883414129530869828724541774,1,1001,6.2,6.2,56.6,2429,80.74
185967613,GB / Kempton 4th Aug,TO BE PLACED,04-08-2021 17:25,19252818,Azets,0,4.9,3.30717347384381168778149475272351863912,3.40284794338215962258887351688424964316,3.85,3.8,1,1001,14,2341.12,55.12
185967618,GB / Kempton 4th Aug,TO BE PLACED,04-08-2021 18:00,39144621,Valiant Prince,1,1.08,1.09931375398936531722885779296729314576,1.11343950745511058458490319926342902999,1.16,1.08,1,1001,174.44,37447.82,527.46
185967618,GB / Kempton 4th Aug,TO BE PLACED,04-08-2021 18:00,39246361,Karuoka,0,2.379976265746074,2.24195266714485835549851395314668642711,2.36613241724742307322022414876164626363,2.48,1.98,2.1,2.1,22.98,14051.62,173.4
185967618,GB / Kempton 4th Aug,TO BE PLACED,04-08-2021 18:00,40074638,Desert Pioneer,0,13.5,9.05489029709297541774163661903494932376,5.561116868280818555654316488767125915,15,7.4,1,1001,6.34,3266.64,4
185967618,GB / Kempton 4th Aug,TO BE PLACED,04-08-2021 18:00,40166657,Due Dilly,0,120,93.4833861058712331484159436913215246247,1,130,70,940,610,0,45.9,2.16
185967623,GB / Kempton 4th Aug,TO BE PLACED,04-08-2021 18:30,27782419,Titaneasy,0,23.0095134225511,22.7955179109260614650528126729803008804,16.999772003248953702409740661195577963,48,13.5,910,910,4,888.02,9.44
185967628,GB / Kempton 4th Aug,TO BE PLACED,04-08-2021 19:00,40426076,Jacks Profit,0,40.88561713815667,30.5537436443975080157614016731514119228,14.4469451195054620956515584078522048935,42,29,910,910,4.34,237.56,1.84
185967628,GB / Kempton 4th Aug,TO BE PLACED,04-08-2021 19:00,40426070,State Control,0,5,4.78632188425990794599326694917612300845,1,1,1001,1,1001,0,856.06,4
185967638,GB / Kempton 4th Aug,TO BE PLACED,04-08-2021 20:00,25267783,Lady Pendragon,1,2,1.98952818831178532488665117340525839854,2.91803084564211806517682239648204819639,1.91,1.91,1,1001,85.86,6098.38,769.8
