EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
192326745,GB / Newcastle 14th Dec,To Be Placed,14-12-2021 16:00,11324579,Harry George,0,3.3691820521946294,3.47903666635363503170910185560892065026,3.33123486035021459171456895768410279065,3.75,3.2,770,770,49.04,5411.7,11.22
192326745,GB / Newcastle 14th Dec,To Be Placed,14-12-2021 16:00,38872974,Cosa Sara,0,13.135582405231746,16.055951694543315003317099504643263568,1,17,13.5,1,1001,0,643.74,76.82
192326745,GB / Newcastle 14th Dec,To Be Placed,14-12-2021 16:00,36690025,Regimento,0,6.827988916,6.11685342571266464254629185093722039718,5.01905266537800381898939508977283660657,7,6,770,6.4,72.58,886.38,110.42
192326760,GB / Newcastle 14th Dec,To Be Placed,14-12-2021 17:30,23726951,Cmon Cmon,0,6.4359052784913375,5.81628789016560375236978020241250881255,1,6.6,6.6,1,1001,0,854.94,.1
192326760,GB / Newcastle 14th Dec,To Be Placed,14-12-2021 17:30,11596882,Atrafan,0,4.066334991837648,4.10457960360157932991829693204852273725,3.84714024663237676732479127081879087731,4.7,4.3,1,1001,44.46,1840.58,100.04
192326780,GB / Newcastle 14th Dec,To Be Placed,14-12-2021 19:30,26913356,Kilconquhar,1,1.64,1.4046020226591723265111780350017546809,1.43077022416952877777626129620196873874,1.69,1.65,1.01,1.01,98.62,9187.3,1226.82
192326750,GB / Newcastle 14th Dec,To Be Placed,14-12-2021 16:30,41401375,El Jad,0,4.1,3.38498428189290664048735093430188710672,3.64896882330874103429758217300135642024,3.75,2.56,1,1001,62.4,5845.6,284.76
192326770,GB / Newcastle 14th Dec,To Be Placed,14-12-2021 18:30,39947083,Doomsday,0,4.6,3.9584225196945910047473971114477619997,2.69600492928706966452118283252109422311,4.3,3.9,1,1001,108.16,2274.22,12.48
192326775,GB / Newcastle 14th Dec,To Be Placed,14-12-2021 19:00,12941244,Oriental Lilly,1,2.0454940665082324,2.00512404802420473061815738232888302231,1.7169191573898711731812818668380147068,2.14,1.89,1,1001,183.04,9670.44,480.42
192326775,GB / Newcastle 14th Dec,To Be Placed,14-12-2021 19:00,18976887,Absolute Dream,0,1.93,1.88226246974072605204927386928553694901,1.72850653884757657541252066239827304931,1.98,1.65,1,1001,57.5,5856.72,660.94
192326785,GB / Wincanton 14th Dec,To Be Placed,14-12-2021 12:30,36585565,Hartnoll Hero,0,9.131362122,5.87084971157771778574210710640126929461,7.5323773806005271492251807795949392981,8.6,6.8,930,930,18.46,1970,5.88
192326785,GB / Wincanton 14th Dec,To Be Placed,14-12-2021 12:30,37507256,Huflower,0,1.753353696,1.55998245468672362430864942310730389056,1.76528681517976943604019860399949782108,1.81,1.78,1,1001,218.98,10135.42,497.5
192326785,GB / Wincanton 14th Dec,To Be Placed,14-12-2021 12:30,41605707,Island Run,0,9.954068712373555,8.53497060405834752872770027062007839257,11.6429885829758837167792856367663169234,15.5,15.5,1,1001,44,1271.12,37.7
192326785,GB / Wincanton 14th Dec,To Be Placed,14-12-2021 12:30,17679546,Rubys Reward,0,70.93902499172836,16.3884580294415167781763296451718298408,1,70,36,1,1001,0,276.22,.66
192326815,GB / Wincanton 14th Dec,To Be Placed,14-12-2021 15:30,12782432,Bombers Moon,0,1.67,1.74216352502923727107418569604532933538,1.88669247093724335262631432785905914832,1.9,1.67,8.8,1.62,90.98,5402.32,1378.56
192326815,GB / Wincanton 14th Dec,To Be Placed,14-12-2021 15:30,38457519,Canada Kid,1,3.3,3.58301819360017196555408172887369800543,4.84910456905801300897991605573480200661,3.75,3.6,1,1001,39.56,1733.24,363.06
192326810,GB / Wincanton 14th Dec,To Be Placed,14-12-2021 15:00,36573597,Electric Annie,1,2.603969783,1.82487519847620967375058917921210039442,2.4043364349588161550188367019467603181,2.54,2.54,2.48,1.01,92.5,3645.86,1389.38
192326810,GB / Wincanton 14th Dec,To Be Placed,14-12-2021 15:00,38130458,Lincoln Lyn,0,3.5110237172228516,2.66307037993267376309509555576600227773,3.78569311852507753004943873807018645063,3.5,3,1,1001,431.12,4699.4,125.96
192326810,GB / Wincanton 14th Dec,To Be Placed,14-12-2021 15:00,10814475,Daytime Ahead,0,18.638116454258565,16.297222649524893167769805902262578415,1,1,1001,44,44,0,224.34,83.5
192326790,GB / Wincanton 14th Dec,To Be Placed,14-12-2021 13:00,36655919,Kakamora,0,3.45,3.46520344561793308150543875619447983636,2.53753616115198632743788177329721653993,1,1001,1,1001,42.1,3269.32,135.5
192326795,GB / Wincanton 14th Dec,To Be Placed,14-12-2021 13:30,36562508,Earth Company,1,2.0649100717848334,1.72005386984826963687364356323827967077,1.7113203283497069111184863264945421356,2.02,1.73,1.8,1.33,244.26,10500.74,1197.92
192326800,GB / Wincanton 14th Dec,To Be Placed,14-12-2021 14:00,25784903,Mascat,1,7.147757908759119,4.13138918805930085644207261121014689523,2.99452584716060313138946513476233398862,7,4.6,4.8,1.01,64.04,3112.96,1017.98
192326800,GB / Wincanton 14th Dec,To Be Placed,14-12-2021 14:00,38649190,Crystal Moon,0,7.231280944277834,5.51665825820313309258429905849242688317,1,10,6.8,1,1001,0,1794.66,69.56
192326800,GB / Wincanton 14th Dec,To Be Placed,14-12-2021 14:00,38807047,Rock Of Star,0,18.705831756251857,16.7812490345383642431929042884037872188,13.9999031507215271246229215592343837038,18,16,1,1001,4,1013.44,41.3
192326825,GB / Catterick 14th Dec,To Be Placed,14-12-2021 12:45,38519199,Court At Slip,0,5.056711482648099,5.17227460934951487352346754741238234514,4.99066097134439585548150172429473033126,5,4.3,910,760,16.1,3689.56,92.26
192326830,GB / Catterick 14th Dec,To Be Placed,14-12-2021 13:15,41163842,Marias Lad,0,3.9925454601875394,3.01453213139474903775567064198793004829,7.63096066772882066508345977596884670331,3.6,3.35,1000,750,35.88,8124.32,761.44
192326850,GB / Catterick 14th Dec,To Be Placed,14-12-2021 15:15,41636286,Ballymist,1,4.069638312535318,3.43814893745695400510295352880625684717,3.87843191191478863080548555137898014192,5,4.2,1,1001,39,3245.54,303.06
192326850,GB / Catterick 14th Dec,To Be Placed,14-12-2021 15:15,27416949,Monaghan Boy,0,16.560503535,9.59499661905354774815742489292316687493,8.02463274965720881884145227320637570956,17,8.4,1,1001,63.32,1219.62,30.36
192326820,GB / Catterick 14th Dec,To Be Placed,14-12-2021 12:15,35913006,Pittsburg,1,1.996124995190339,1.72487816091438365668348574962057551716,3.46858697941945809051706286741176064019,1.94,1.68,1,1001,244.56,13477.72,1636.46
192326820,GB / Catterick 14th Dec,To Be Placed,14-12-2021 12:15,13556828,Cut And Run,0,7.2,4.74195007448334957131905393793693448149,5.07898271601626713210128985481003348431,8.2,8.2,1,1001,91.74,1236.04,16
192326765,GB / Newcastle 14th Dec,To Be Placed,14-12-2021 18:00,8846010,Firmament,0,3.276295,3.49944822504068175183771484357600251992,3.08079540333379081717119479454240841995,1,1001,1,1001,22,1837.76,58.72
192326765,GB / Newcastle 14th Dec,To Be Placed,14-12-2021 18:00,11860528,Cry Havoc,0,5.549007154436511305,4.9959500960572193265578215945460857988,3.37729253501357349841442246869967560586,5.31,5.31,1,1001,6.1,1065.24,63.5
192326745,GB / Newcastle 14th Dec,To Be Placed,14-12-2021 16:00,11429586,Lukoutoldmakezebak,0,12.075617512422902,12.5189874866025110491747696509652598918,1,17,12,1,1001,0,947.42,44.82
192326760,GB / Newcastle 14th Dec,To Be Placed,14-12-2021 17:30,38822052,Mabdaa,0,4.006682745479046,4.70657707000936504609314449890254003291,1,5.6,3.9,1,1001,0,2618.9,56.06
192326780,GB / Newcastle 14th Dec,To Be Placed,14-12-2021 19:30,13306148,Equidae,0,10.328537123,7.09701038992389289286966225932073654419,8.79996847587798432685318246404315917892,12.5,10,1,1001,17.32,2407.68,6.02
192326780,GB / Newcastle 14th Dec,To Be Placed,14-12-2021 19:30,21370064,Wearraah,0,86.43626086913049,25.9965099699942542188929795067140516269,1,70,28,1,1001,0,469.91,0
192326750,GB / Newcastle 14th Dec,To Be Placed,14-12-2021 16:30,42064851,Sapore Di Sale,0,2.520652156878641,2.70361245351050884548788372775633993586,1,3,2.74,1,1001,0,7434.18,167.24
192326750,GB / Newcastle 14th Dec,To Be Placed,14-12-2021 16:30,42064853,White Willow,1,3.8653263563468685,4.59608888870147557236767475952698742062,1,4.9,4.7,1,1001,0,2671.22,229.18
192326770,GB / Newcastle 14th Dec,To Be Placed,14-12-2021 18:30,39135790,Berra Go,0,13.5,14.3723351793373128733414997305461345877,1,17.5,12,1,1001,0,893.6,13.18
192326775,GB / Newcastle 14th Dec,To Be Placed,14-12-2021 19:00,25395139,The Grey Bay,0,3.740818506334327,3.40602758304365977691693281862479639921,1,1,1001,1,1001,0,1362.96,.02
192326785,GB / Wincanton 14th Dec,To Be Placed,14-12-2021 12:30,41479928,Mister Splash,0,80,31.5257057372203623586892372827877461496,14.4999595001214996355010934967195098415,80,38,1,1001,4,242.93,4.66
192326785,GB / Wincanton 14th Dec,To Be Placed,14-12-2021 12:30,12189409,Hot In The City,0,53.699420512309295,24.2839704223241412483698997601299229009,26.7532554139322155108495781447271937409,110,27,310,90,10.62,327.92,6.22
192326785,GB / Wincanton 14th Dec,To Be Placed,14-12-2021 12:30,36615094,San Giovanni,1,7.664050523335172,4.50530866509039085430555677706810124734,8.90664725145508253807510094891878098833,8.4,6.4,1,1001,18,1844.48,352.08
192326785,GB / Wincanton 14th Dec,To Be Placed,14-12-2021 12:30,37243337,Miss Marette,0,81.255549731,30.5910563165007583258723265356954900908,22.7942664107926075836904258741942257137,95,34,1,1001,14,269.28,4.66
192326785,GB / Wincanton 14th Dec,To Be Placed,14-12-2021 12:30,41377805,Robbie Dazzler,0,140,37.6265857236876972710370888604378812149,21.7449730315350590044232942497174753673,150,60,1,1001,8,135.4,.66
192326805,GB / Wincanton 14th Dec,To Be Placed,14-12-2021 14:30,11916116,White Moon,0,2.22,1.74579092886691019370092033257480240711,2.08076912836745529318736381199725842801,2.3,2.3,1,1001,69.56,6000.2,782.04
192326805,GB / Wincanton 14th Dec,To Be Placed,14-12-2021 14:30,21022907,Iron Mike,1,2.991446050346112,2.20466287398567327642081852713620122196,2.03875482449892078912133586388250306446,3.15,2.82,1,1001,895.06,8701.98,796.96
192326810,GB / Wincanton 14th Dec,To Be Placed,14-12-2021 15:00,8338762,Wilderness,0,10.311122258135457,6.31709110573457287696762990068721437669,9.27872952511775177916751491627647184616,10,10,930,740,60,1009.76,15.7
192326810,GB / Wincanton 14th Dec,To Be Placed,14-12-2021 15:00,12886948,Jaunty Soria,1,3.1,2.25170992017506932341610174933166765855,1,3.15,2.82,1,1001,0,3320.44,524.42
