EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
173456991,GB / MrktR  26th Sep,2m Nov Hrd,26-09-2020 12:35,17393095,Mrs Hyde,0,3.4,4.28707197283859594160365601055229827409,4.98415613602931142606055666389594359839,6.6,3.4,1000,1.5,10782.14,76462.48,34941.38
173457001,GB / MrktR  26th Sep,3m Hcap Chs,26-09-2020 13:35,13356099,Mister Mister,0,80,42.8059485987487612313411158502873259481,58.6988715510984117992561944309740009892,80,34,1000,55,87.28,2465.02,586.62
173457001,GB / MrktR  26th Sep,3m Hcap Chs,26-09-2020 13:35,16227613,Ballycrystal Court,0,32,21.2339618097911961760328877347864302225,26.6876607852578985319845157151996317462,38,23,1000,5.3,284.04,4125.56,4913.82
173457001,GB / MrktR  26th Sep,3m Hcap Chs,26-09-2020 13:35,27041132,Aughnacurra King,0,10.5,6.79418952967335950482881850853126513863,9.48939549037252914613684104897900465135,15.5,8,1000,3.75,2856.8,29573.14,11582.44
173457016,GB / MrktR  26th Sep,2m2f Hcap Hrd,26-09-2020 15:20,24449303,Bullsempire,0,15.93905243878078,12.3248802923729015211850209734124707666,17.3318493415062374209257868024293371363,34,11.5,1000,11,716.49,14970.63,3509.45
173457016,GB / MrktR  26th Sep,2m2f Hcap Hrd,26-09-2020 15:20,5032949,Cawthorne,1,18.724943473,10.9984590399801102319694207376168648494,12.495119470260190664837184313049426079,25,8.8,23,1.01,1359.61,15454.85,74287.04
173457021,GB / MrktR  26th Sep,2m2f Hcap Hrd,26-09-2020 15:55,13211354,Oksana,1,5.1,5.7548261608016314796157673223633903135,10.1848028356313525773732000032983001162,12,4.9,11.5,1.01,301.56,42745.92,64949.38
173457021,GB / MrktR  26th Sep,2m2f Hcap Hrd,26-09-2020 15:55,11184603,Glimpse Of Gold,0,5.076546035,4.91035949468011703970700663172178144285,4.5277313932292949726766451653469860958,5.4,4.5,1000,2.08,1455.28,53795.98,25696.34
173457021,GB / MrktR  26th Sep,2m2f Hcap Hrd,26-09-2020 15:55,12274390,Justice Knight,0,7,6.8305280550281261466797591287200077978,10.4223523953796507412795790467458983291,11,6,1000,4.1,639.4,37062.32,20730.46
173457021,GB / MrktR  26th Sep,2m2f Hcap Hrd,26-09-2020 15:55,7367739,Take The Crown,0,196.76841670445162,178.906758630466325348175302380822624073,74.4699422412047415826309630500048772789,270,75,1000,170,59.66,1458.22,160.55
173456996,GB / MrktR  26th Sep,2m Hrd,26-09-2020 13:05,27243974,Soldier On Parade,1,2.96,3.00010912753962225674426992937927929356,3.66181864625518421608082452403894024626,4.1,2.7,4,1.01,7943.74,85697.08,71706.9
173457051,GB / Newm  26th Sep,1m1f Hcap,26-09-2020 15:35,10058972,Zhui Feng,0,183.88498369575706,185.67784061269001325028296552392663251,166.74664544227388999682869734873154256,230.32,73.7,1000,160,1042.58,4673.28,90.95
173457051,GB / Newm  26th Sep,1m1f Hcap,26-09-2020 15:35,18910487,Certain Lad,0,36.79283132164289,45.6777222964610990154613053240984721184,45.5711204430245859550392705968173293332,55.28,17.96,450,30,5501.28,20649.08,322.16
