EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
116309274,USA / MountP (US) 10th Nov,TO BE PLACED,11-11-2014 00:00,8981482,10. Kate N Abs Reward ,1,,1.32103589838565299256103960243232398062,1.32103589838565299256103960243232398062,1.34,1.34,1,1001,1295.88,1295.88,0
116309281,USA / MountP (US) 10th Nov,TO BE PLACED,11-11-2014 01:06,343744,5. Battle Mountain,0,,2.86282453637660485021398002853067047076,2.86282453637660485021398002853067047076,1,1001,1,1001,14.02,14.02,0
116309283,USA / MountP (US) 10th Nov,TO BE PLACED,11-11-2014 01:28,7070271,5. Megaride,1,,1.40624133089392843466791473428923967153,1.40624133089392843466791473428923967153,1.35,1.35,1,1001,940.12,940.12,0
116309283,USA / MountP (US) 10th Nov,TO BE PLACED,11-11-2014 01:28,7385617,7. Muestrameeldinero,1,,4.0440089228808158062460165710643722116,4.0440089228808158062460165710643722116,4,4,1,1001,188.28,188.28,0
116309276,USA / MountP (US) 10th Nov,TO BE PLACED,11-11-2014 00:22,3226370,7. Look Out Man,0,,8.32571428571428571428571428571428571429,8.32571428571428571428571428571428571429,1,1001,1,1001,14,14,0
116309276,USA / MountP (US) 10th Nov,TO BE PLACED,11-11-2014 00:22,3239081,8. Texas Holladay,0,,7.88711111111111111111111111111111111111,7.88711111111111111111111111111111111111,1,1001,1,1001,18,18,0
116309276,USA / MountP (US) 10th Nov,TO BE PLACED,11-11-2014 00:22,6316278,1. Having Said That,1,,1.37092059495379503686013913404630879452,1.37092059495379503686013913404630879452,1.4,1.38,1,1001,1540.96,1540.96,0
116309276,USA / MountP (US) 10th Nov,TO BE PLACED,11-11-2014 00:22,7534945,3. Greatest Moment,0,,6.6398559423769507803121248499399759904,6.6398559423769507803121248499399759904,1,1001,1,1001,16.66,16.66,0
116309288,USA / MountP (US) 10th Nov,TO BE PLACED,11-11-2014 02:12,7193597,1A. Gung Ho,0,,3.25,3.25,1,1001,1,1001,6.66,6.66,0
116309285,USA / MountP (US) 10th Nov,TO BE PLACED,11-11-2014 01:50,6259437,3. Pure Serenity,0,,3.37604895104895104895104895104895104895,3.37604895104895104895104895104895104895,1,1001,1,1001,5.72,5.72,0
116309291,USA / MountP (US) 10th Nov,TO BE PLACED,11-11-2014 02:34,6711889,5. Ks Boywonder,0,,2.46,2.46,1,1001,1,1001,54.08,54.08,0
116320714,USA / Parx (US) 11th Nov,TO BE PLACED,11-11-2014 18:46,8983330,9. Slippingonoutthere,0,,4.35505882352941176470588235294117647059,1,1,1001,1,1001,0,76.5,0
116320720,USA / Parx (US) 11th Nov,TO BE PLACED,11-11-2014 19:40,6491796,3. Tiny Predicament,0,,2.51691535150645624103299856527977044476,1,1,1001,1,1001,0,195.16,0
116320710,USA / Parx (US) 11th Nov,TO BE PLACED,11-11-2014 17:52,8983323,3. Sense of Peace,1,,1.23855099461113698356729425853236644269,1,1.39,1.14,1,1001,0,5411.16,0
116320710,USA / Parx (US) 11th Nov,TO BE PLACED,11-11-2014 17:52,5734209,5. Linchester,0,,6.48528093760772147535332643915891072044,1,1,1001,1,1001,0,116.04,0
116320708,USA / Parx (US) 11th Nov,TO BE PLACED,11-11-2014 17:25,7571047,2. Devils Purge,1,,2.51399737093690248565965583173996175908,1,2.76,2.28,1,1001,0,502.08,0
116320712,USA / Parx (US) 11th Nov,TO BE PLACED,11-11-2014 18:19,8983324,1. Jaceys Revenge,0,,3.91033966033966033966033966033966033966,1,1,1001,1,1001,0,40.04,0
116320770,USA / ZiaP (US) 11th Nov,TO BE PLACED,11-11-2014 19:41,8983383,10. Encore for James,0,,1.68757231048854626931152267243270345649,1,1,1001,1,1001,0,638.22,0
116320770,USA / ZiaP (US) 11th Nov,TO BE PLACED,11-11-2014 19:41,8983375,1. Outta Texas,0,,1.51172567205821362590958790483731101308,1,1.49,1.49,1,1001,0,530.46,0
116320770,USA / ZiaP (US) 11th Nov,TO BE PLACED,11-11-2014 19:41,8983379,5. Silk Stocking Street,0,,7,1,1,1001,1,1001,0,6,0
116320798,USA / ZiaP (US) 11th Nov,TO BE PLACED,11-11-2014 22:17,6962975,6. Trooper Trooper,0,,6.42929224517439891635624788350829664748,1,1,1001,1,1001,0,59.06,0
116320798,USA / ZiaP (US) 11th Nov,TO BE PLACED,11-11-2014 22:17,8159315,8. Dr. Jessop,1,,1.67197548304060523300528951044560593932,1,1,1001,1,1001,0,1274.22,0
116320804,USA / ZiaP (US) 11th Nov,TO BE PLACED,11-11-2014 23:09,8983424,2. Roman Threat,0,,13.542471042471042471042471042471042471,1,1,1001,1,1001,0,56.98,0
116320766,USA / ZiaP (US) 11th Nov,TO BE PLACED,11-11-2014 19:15,7660604,5. Streakin Buds,1,,2.12616113744075829383886255924170616114,1,1,1001,1,1001,0,21.1,0
116320774,USA / ZiaP (US) 11th Nov,TO BE PLACED,11-11-2014 20:33,5370139,8. Caught On Tape,1,,1.5813824320366376441142796282983198871,1,1,1001,1,1001,0,751.14,0
116320774,USA / ZiaP (US) 11th Nov,TO BE PLACED,11-11-2014 20:33,8983398,5. Wager On Moonflash,0,,2.21973404578298621652802234501184042747,1,1,1001,1,1001,0,329.38,0
116320774,USA / ZiaP (US) 11th Nov,TO BE PLACED,11-11-2014 20:33,8983399,7. First Full Pocket,0,,1.95890551181102362204724409448818897638,1,1,1001,1,1001,0,533.4,0
116320796,USA / ZiaP (US) 11th Nov,TO BE PLACED,11-11-2014 21:51,8983415,6. Brainwash,1,,1.25930927381672255510966961684349403551,1,1.26,1.21,1,1001,0,1455.28,0
116322066,USA / TPara (US) 11th Nov,TO BE PLACED,11-11-2014 20:51,8983716,7. Come On Dude,0,,6.88038125496425734710087370929308975377,1,1,1001,1,1001,0,25.18,0
116322073,USA / TPara (US) 11th Nov,TO BE PLACED,11-11-2014 21:49,8983723,4. Wildly Lucky,0,,5.15151063036180529653114509511376352107,1,5.2,5.2,1,1001,0,107.24,0
