EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
172900835,USA / MountP (US) 9th Sep,R5 6f Claim,10-09-2020 01:28,10918425,Daily Feature,0,6.409429341740564,4.93253004991507279010288882670293698466,5.93076855082029040165943805393173675278,6.8,5.4,11.5,11.5,3393.92,3175.48,46.06
172900838,USA / MountP (US) 9th Sep,R8 6f Allw,10-09-2020 02:34,24482785,Jackzilla,0,46,33.2570766588605672442986919245655798137,29.8544586099111438907034734660906824009,42,25,1,1001,284.73,230.74,3.17
172900838,USA / MountP (US) 9th Sep,R8 6f Allw,10-09-2020 02:34,14616729,Sky Energy,0,3.987789686704529,2.89458789774599477870800117623571455224,3.84384750858957901547681246172317508209,4.2,3.65,1,1001,5780.26,5293.34,22.74
172900836,USA / MountP (US) 9th Sep,R6 6f Claim,10-09-2020 01:50,19371983,Come On Callie,1,5.3,4.81011226925907399149708556172323287607,2.57641585124020675530704463443971262313,6.2,6.2,1.01,1.01,3076.1,832.48,1967.4
172898494,USA / Penn (US) 9th Sep,R9 6f Mdn,10-09-2020 02:28,26688246,Three Potatoe Four,0,16.079670498594638,14.929138644757619258545730643657168948,15.4783585252154259076140697838677779347,16,14,1,1001,283.16,193.8,17.06
172898495,USA / Penn (US) 9th Sep,R10 6f Claim,10-09-2020 02:54,20145076,Dance Rehearsal,0,10.847116325170358,9.51588706078993781113087237400469002057,9.52307588411408504603471174841861198028,11,10.5,1,1001,888.46,571.84,9.3
172898496,USA / Penn (US) 9th Sep,R11 6f Allw,10-09-2020 03:20,6765450,Grab The Gold,0,17.054488214,4.6826568661692245850879584592798596001,8.55117335685928539920599911777679752978,17,17,1,1001,226.7,175.67,51.03
172898492,USA / Penn (US) 9th Sep,R7 1m Mdn Claim,10-09-2020 01:36,27873818,Normans Girl Gayle,0,21.17168695771951,24.966987886249843669270252586133329249,25.4117579679848801580710747114916525873,30,20,900,900,698.42,610.38,9.08
172898492,USA / Penn (US) 9th Sep,R7 1m Mdn Claim,10-09-2020 01:36,28732673,Seeking The Throne,0,12.797557629775255,7.31758738580415085420760790870171796826,8.69705108724128897039559863767356562746,9.2,7.8,9.2,9.2,1908.5,1518.18,314.9
172898493,USA / Penn (US) 9th Sep,R8 1m Claim,10-09-2020 02:02,240896,Case Dismissed,0,14.877016390811189,13.945807911403997422215766066756313378,13.7663170831626382630069643588693158542,17,14,18,18,610.25,457.89,31.6
172898493,USA / Penn (US) 9th Sep,R8 1m Claim,10-09-2020 02:02,19907023,Ladyofdragonstone,0,24.97085806674324,24.5036587501076893923859541721968030969,20.3007061666855481288470979192628677165,29,23,1,1001,264.81,165.59,5.4
172921089,USA / Hastings (US) 10th Sep,R2 1m1f Allw Claim,10-09-2020 23:28,10249108,Calgary Caper,0,12.391996499802914,8.00577843768275200033361637722527618513,1,11.5,8,1,1001,0,1788.84,135.94
172921092,USA / Hastings (US) 10th Sep,R5 6f Mdn Claim,11-09-2020 00:52,35486114,Bralorne,0,5.653617068,5.03324424957714719402454586526551170646,1,5.89,5.3,520,520,0,947.02,55.2
172921092,USA / Hastings (US) 10th Sep,R5 6f Mdn Claim,11-09-2020 00:52,35916558,Snowshoes,0,10.757432265216487,10.9490863137871099711012706938683721871,1,14.5,14.5,300,300,0,260.72,24.82
172921090,USA / Hastings (US) 10th Sep,R3 1m1f Mdn Claim,10-09-2020 23:56,926245,Discretionary,0,6.2,4.08745001158248135752111663668388555658,1,8.2,6.4,880,690,0,2436.5,161.61
172921138,USA / Charles (US) 10th Sep,R1 5f Claim,11-09-2020 00:00,10743793,Mini Bolt,0,61.68978971834294,67.5473283308215881591038615698074584866,1,160,42,1,1001,0,321.36,2.64
172921269,USA / Delaw (US) 10th Sep,R1 6f Mdn Claim,10-09-2020 18:15,25892478,Worstbestideaever,1,3.85,3.04513597985174109686575427622118979215,9.66198432639371571713083915478377840439,4.6,3.75,3.45,3.45,28.7,2200.68,2633.48
172921269,USA / Delaw (US) 10th Sep,R1 6f Mdn Claim,10-09-2020 18:15,7302290,Wrap Me Up,0,70,50.5597130026344310282752441752002526697,1,55,55,940,760,0,64.16,5.64
172921278,USA / Delaw (US) 10th Sep,R4 6f Claim,10-09-2020 19:45,31768473,Mavilus,0,3.8835942217923005,3.69057463457306367466014219011486518805,1,5.9,4.3,5.5,5.5,0,5400.24,833.18
172921284,USA / Delaw (US) 10th Sep,R6 1m1f Allw,10-09-2020 20:45,20303793,Landing Zone,1,3.8,2.98543916365176136912256014756685958304,1,4.5,3.5,1.01,1.01,0,8697.98,4614.5
172921284,USA / Delaw (US) 10th Sep,R6 1m1f Allw,10-09-2020 20:45,20339008,Pats No Fool,0,19.069059067247434,18.733551644597335905376479976154513913,1,32,17.5,670,110,0,608.98,152.28
172921290,USA / Delaw (US) 10th Sep,R8 1m1f Claim,10-09-2020 21:45,20194774,Big Hambone,0,5.6,3.50695250527004108836963196595155724919,1,6,4.5,880,680,0,7296.2,281.5
172921290,USA / Delaw (US) 10th Sep,R8 1m1f Claim,10-09-2020 21:45,20888062,Le Gros Bill,0,15.998941009867995,11.5444807910828351812984997734001186943,1,17.5,14.5,15,15,0,1597.84,64.12
172921290,USA / Delaw (US) 10th Sep,R8 1m1f Claim,10-09-2020 21:45,24993461,Chasing The Candy,0,24.651121321870008,17.3602886511710946780718981040123363756,1,29,16.5,1000,26,0,756.72,57.14
172900834,USA / MountP (US) 9th Sep,R4 1m Mdn,10-09-2020 01:06,25051648,Lil Silver Fox,0,10.707595398155972,7.76669851779505316683492576707960720446,8.67998528121373375980073027824167114835,8.6,8.6,1,1001,1413.16,1164.7,53.76
172900838,USA / MountP (US) 9th Sep,R8 6f Allw,10-09-2020 02:34,22255909,Strong Heart,1,12.5,11.6150717364632070187217906307673043365,6.27077295019686399115838916902673205775,15,11,1.01,1.01,2895.4,1250.4,1481.74
172900838,USA / MountP (US) 9th Sep,R8 6f Allw,10-09-2020 02:34,27779706,Slew The Turn,0,3.6,2.90334110926292472051770283227767242736,3.96718644666962626810700603429849224749,4.2,3.35,1,1001,4865.52,4637.16,24.06
172900837,USA / MountP (US) 9th Sep,R7 6f Claim,10-09-2020 02:12,11654457,Diamond Rider,0,45.72984271112829,26.1952041233521200361679471288962901024,28.5377990198456984812460575476733465962,48,23,1,1001,412.18,409.58,2.6
172900836,USA / MountP (US) 9th Sep,R6 6f Claim,10-09-2020 01:50,24046530,Colonel Jelly Roll,0,22.658730788129027,19.773874244031450932267310975659760111,16.2635163915722217996501102913212139652,26,21,700,700,525.88,281.66,8.26
172898492,USA / Penn (US) 9th Sep,R7 1m Mdn Claim,10-09-2020 01:36,35436162,Mywaltzingmatilda,0,40,26.0666653994747368290739898044645167266,25.4400082790023802131843112904894960157,1,1001,910,720,193.26,92.54,34.4
172898492,USA / Penn (US) 9th Sep,R7 1m Mdn Claim,10-09-2020 01:36,26647442,Kate Carmack,1,4.508018655592586,3.48245822623159233155240181555334706559,2.73545993101034844773284007398890166475,5,4.2,5,1.01,6400.96,2418.66,3665.38
172898493,USA / Penn (US) 9th Sep,R8 1m Claim,10-09-2020 02:02,16913736,Lydia Sweetie,1,4.2096305387653405,3.31982898980867879971126449349222157016,2.89071256666554858618723375708583503841,4.6,4,1.01,1.01,4770.08,2559.48,1997.5
172921090,USA / Hastings (US) 10th Sep,R3 1m1f Mdn Claim,10-09-2020 23:56,24182971,Commander B,0,60.145509120365595,26.866547003968984605195550958611252677,1,65,30,530,530,0,329.49,30.26
172921088,USA / Hastings (US) 10th Sep,R1 6f Mdn Claim,10-09-2020 23:00,35705253,Accept No Other,0,32.838468024,27.4750144699656984133980682144170717414,1,34,13,1,1001,0,275.78,15.68
172921139,USA / Charles (US) 10th Sep,R2 5f Mdn Claim,11-09-2020 00:30,25314240,Trinni Flower,0,34,26.2288229069313758404486022012721284106,1,44,18.5,1000,40,0,1127.54,48.22
172921140,USA / Charles (US) 10th Sep,R3 1m1f Claim,11-09-2020 00:57,21471678,Frathouse Music,1,7.8,7.76887049593373055481732169623445974243,1,8.4,8.2,1,1001,0,1085,1988.14
172921281,USA / Delaw (US) 10th Sep,R5 1m Mdn Claim,10-09-2020 20:15,25858073,Virginialovers,0,33.806597792,39.2000186852891567799996371038882774132,1,50,34,740,740,0,475.61,30.73
172921272,USA / Delaw (US) 10th Sep,R2 5f Mdn Claim,10-09-2020 18:45,35913265,Nor Per Ours,0,20.90583354963571,14.9082431067528658401478266380693413397,1,30,19,100,100,0,1054.54,14.34
172921287,USA / Delaw (US) 10th Sep,R7 1m Claim,10-09-2020 21:15,14518386,Be Bop A Lola,0,5.651877897,3.79902580650247685846894180537028113794,1,5.8,4.8,890,5.1,0,3792.04,265.5
172921269,USA / Delaw (US) 10th Sep,R1 6f Mdn Claim,10-09-2020 18:15,28746760,Will It Be Love,0,9.765916952315017,9.42280570539111333679975887552748674748,1,13,5.8,1.5,1.5,0,1111.6,1324.67
172921269,USA / Delaw (US) 10th Sep,R1 6f Mdn Claim,10-09-2020 18:15,31768466,Miss Friesan,0,8,7.62475914338728627051500229250768964929,1,1,1001,1,1001,0,661.92,97.34
172921275,USA / Delaw (US) 10th Sep,R3 5f Allw Claim,10-09-2020 19:15,10891586,R U Happy Now,0,29.733694967,25.5351628737667618692237716407064489454,1,32,22,730,670,0,669.18,13.69
172921275,USA / Delaw (US) 10th Sep,R3 5f Allw Claim,10-09-2020 19:15,18645322,Anazara,0,44,48.0849897240272261922437246002887638771,1,65,34,930,40,0,431.86,38.76
172921278,USA / Delaw (US) 10th Sep,R4 6f Claim,10-09-2020 19:45,32282199,Beautiful Grace,1,7.579694496784359,5.93411384160514738340207055530700811136,1,7.8,6.4,2,1.02,0,3184.32,5204.86
172921290,USA / Delaw (US) 10th Sep,R8 1m1f Claim,10-09-2020 21:45,21850802,Auld Lange Syne,0,8.2,6.13680844858784563846408872721911541401,1,17,7,21,9,0,4701.46,226.96
172900835,USA / MountP (US) 9th Sep,R5 6f Claim,10-09-2020 01:28,18537860,Wee Monie Creek,0,6.079280092164409,4.12250188357978016631449105199061844474,4.94194837306922000603583088699278443853,6.8,5,1,1001,5831.84,5150.3,195.22
172900835,USA / MountP (US) 9th Sep,R5 6f Claim,10-09-2020 01:28,10531208,Charlies Hot,0,72.53759131224827,102.843710482786987901947257466148447962,82.1152692068165090867915982562418615184,140,60,770,770,353.26,256.84,3.08
172900835,USA / MountP (US) 9th Sep,R5 6f Claim,10-09-2020 01:28,13086900,Freckles Kan,0,6.292250461648218,4.78945261025722705612508144970829055796,5.76954938032655806781188326151932632327,7.8,5.3,1,1001,3151.66,2753.54,104.04
172900838,USA / MountP (US) 9th Sep,R8 6f Allw,10-09-2020 02:34,34685883,Jovial John,0,27.392587867798287,17.9552774929309287393870506229729893443,19.7797060070040819968325489058910129152,20,18,890,700,896.62,804.46,9.62
172900838,USA / MountP (US) 9th Sep,R8 6f Allw,10-09-2020 02:34,26888126,Zero For Conduct,0,50,34.907078751703362696189252196931810295,33.4271002969633106619407989271002969633,55,26,1,1001,417.56,363.04,4
172900839,USA / MountP (US) 9th Sep,R9 5f Claim,10-09-2020 02:56,33595026,Flatact,0,25,22.6542930081564463524614242260699449637,21.3997378768020969855832241153342070773,25,23,910,910,526.47,348.44,15.25
172898494,USA / Penn (US) 9th Sep,R9 6f Mdn,10-09-2020 02:28,35902007,Ante Em,0,63.572570424117146,47.6509659463372531835849795582555859643,39.3131544502617801047120418848167539267,48,46,1,1001,122.24,73.58,4.3
