EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
197585484,USA / Will Rogers Downs (US) 12th Apr,R4 1m Claim,12-04-2022 20:24,25860192,Gospel Musketeer,0,7.6463634961055496,6.73175016570763720696047060838280089518,1,7.8,7.8,690,690,0,810.1,41.7
197585493,USA / Will Rogers Downs (US) 12th Apr,R7 5f Claim,12-04-2022 21:48,20777,Flash Flood,0,18.5,8.83965766211811420102449582663898118956,1,1,1001,700,700,0,533.24,11.02
197585499,USA / Will Rogers Downs (US) 12th Apr,R9 6f Claim,12-04-2022 22:44,36028063,Youreobadboy,0,75,34.8454310806433134054229793147534753756,1,60,29,730,280,0,235.05,18.31
197585487,USA / Will Rogers Downs (US) 12th Apr,R5 5f Claim,12-04-2022 20:52,11908037,Eurobond,0,8,6.2207150519964017257767719476531017723,1,7.6,7.4,1,1001,0,3448.82,448.42
197585487,USA / Will Rogers Downs (US) 12th Apr,R5 5f Claim,12-04-2022 20:52,19208646,Moro Charlie,0,36,39.6829606147626702092201747648525936769,1,55,29,1,1001,0,293.32,27.86
197585490,USA / Will Rogers Downs (US) 12th Apr,R6 1m Claim,12-04-2022 21:20,13583042,Heighten,0,10.599161354526876,7.79255583568864873968536274623245576225,1,9.6,8,1,1001,0,1092.28,291.4
197585490,USA / Will Rogers Downs (US) 12th Apr,R6 1m Claim,12-04-2022 21:20,37245034,Bella Blu,0,1.383451983306549,.413785325977305256499225759571033766699,1,1.46,1.39,100,100,0,12438.04,476.06
197585481,USA / Will Rogers Downs (US) 12th Apr,R3 5f Claim,12-04-2022 19:56,7228602,Woodland Girl,0,5.704345726517639,4.83928308998995185208621683874611814896,1,6.2,5.7,1,1001,0,2913.7,105.22
197585481,USA / Will Rogers Downs (US) 12th Apr,R3 5f Claim,12-04-2022 19:56,21827951,Tiagos Song,0,60,55.788794546272977698389431498323321858,1,65,50,730,270,0,92.62,46.79
197585502,USA / Will Rogers Downs (US) 12th Apr,R10 6f Claim,12-04-2022 23:12,40726453,Okie Freeze,0,4.7461236238130375,3.03728008869595087762531880189272301175,1,4.7,3.75,1,1001,0,5949.5,236.1
197589579,USA / Philadelphia (US) 12th Apr,R3 1m Claim,12-04-2022 18:49,28662653,Shesfirstclass,0,30.17644243339478,33.239124099413778207531430602712626341,1,34,30,790,330,0,142.83,15.11
197589582,USA / Philadelphia (US) 12th Apr,R4 1m Claim,12-04-2022 19:16,42867072,Lucky Running Cat,1,9,7.28582054097300944921270659562769744865,1,8.8,7.8,1.05,1.05,0,1175.46,3653.22
197589573,USA / Philadelphia (US) 12th Apr,R1 6f Claim,12-04-2022 17:55,20870446,Mad Mary,0,13,8.34589597818043266736694584677988765809,1,15,6.8,690,690,0,1861.04,31.86
197589573,USA / Philadelphia (US) 12th Apr,R1 6f Claim,12-04-2022 17:55,27073503,Wishes And Dreams,0,4.4,2.72041296008269200818851035911428247864,1,4,3.55,1,1001,0,3356.72,181.16
197589603,USA / Philadelphia (US) 12th Apr,R11 1m Claim,12-04-2022 22:25,28000818,Heated Battle,0,28,18.7110038362707876093829521861838044402,1,34,12.5,980,720,0,1019.58,19.8
197589591,USA / Philadelphia (US) 12th Apr,R7 1m Claim,12-04-2022 20:37,41288185,Palace Supernova,0,40,24.2705751647639098346172581783611228933,1,55,21,730,730,0,584.7,16.66
197589576,USA / Philadelphia (US) 12th Apr,R2 6f Claim,12-04-2022 18:22,24735419,Yei Yei,0,75,51.6692144734780647481094978945686038992,1,85,34,770,770,0,201.82,10.58
197586821,USA / Turf Paradise (US) 12th Apr,R3 6f Mdn Claim,12-04-2022 22:25,44149032,Bobby Buckets,0,15.181470515496912,9.25654630632659359408008892630865721875,1,16.5,11.55,1,1001,0,1200.48,49.66
197586824,USA / Turf Paradise (US) 12th Apr,R4 1m Claim,12-04-2022 22:53,24375053,Gold Included,0,6.8,3.62827171194480715610180156491758539501,1,7.4,4,1,1001,0,4463.4,49.53
197586824,USA / Turf Paradise (US) 12th Apr,R4 1m Claim,12-04-2022 22:53,27977635,Silly Notion,0,6.40511150410399,4.20304148980722101104153294548148634703,1,5.7,5.3,1,1001,0,4975,502.34
197586830,USA / Turf Paradise (US) 12th Apr,R6 6f Claim,12-04-2022 23:48,26243597,Crack A Cold One,0,3.5982184574617717,2.05061118275674172087285690255927792767,1,3.5,2.78,1,1001,0,9293.5,417.64
197586830,USA / Turf Paradise (US) 12th Apr,R6 6f Claim,12-04-2022 23:48,15789164,Gato De Rayo,0,22.11797555551864,15.0608581528293449604592012319406630943,1,21,18.5,1,1001,0,656.86,274.85
