event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
210307296,Philadelphia (US) 21st Feb,R7 6f Claim,21-02-2023 19:43,24140334,Gravel Road,1,5.79066786,5.3315,1.0000,8.20,6.00,1.01,1.01,0.00,6534.81,3374.05
210307626,Turf Paradise (US) 21st Feb,R2 1m Claim,21-02-2023 20:25,43072109,Summerofthesamurai,0,19.51977918,15.5950,1.0000,23.00,12.50,1000.00,1000.00,0.00,1310.88,206.75
210271301,Golden Gate Fields (US) 20th Feb,R7 6f Claim,21-02-2023 00:23,38649554,Lagatha,0,4.20611309,3.6183,4.8867,5.00,4.20,880.00,12.00,8744.05,6553.01,1424.98
210270891,Santa Anita (US) 20th Feb,R8 7f Allw Claim,21-02-2023 00:06,47546942,Princess Adaleigh,1,2.00913535,0.6867,1.6245,1.97,1.55,1.21,1.01,35632.32,29683.59,4797.54
210271304,Golden Gate Fields (US) 20th Feb,R8 6f Allw,21-02-2023 00:54,928495,Lucky Lad,0,11.42344615,8.2230,8.3407,13.50,11.00,1.00,1001.00,3144.58,2320.07,824.51
210270891,Santa Anita (US) 20th Feb,R8 7f Allw Claim,21-02-2023 00:06,1148849,Bowl Of Cherries,0,15.00000000,13.6140,13.2242,16.50,9.60,1.00,1001.00,1807.91,1341.17,225.04
210307302,Philadelphia (US) 21st Feb,R9 7f Allw Claim,21-02-2023 20:37,45092164,Moonboots,1,3.71151082,2.7928,1.0000,4.20,3.45,1.00,1001.00,0.00,6571.44,5775.22
210307296,Philadelphia (US) 21st Feb,R7 6f Claim,21-02-2023 19:43,35600894,Jacks American Pie,0,113.38946222,69.9501,1.0000,90.00,42.00,1.00,1001.00,0.00,100.39,10.30
210271301,Golden Gate Fields (US) 20th Feb,R7 6f Claim,21-02-2023 00:23,30151372,Mucha Woman,0,8.78799009,7.2648,8.4574,9.40,8.20,890.00,890.00,2254.17,1912.42,102.69
210307290,Philadelphia (US) 21st Feb,R5 1m Claim,21-02-2023 18:43,41341776,Melinas Dream,0,170.00000000,55.1188,1.0000,150.00,95.00,1.00,1001.00,0.00,73.41,25.73
210307305,Philadelphia (US) 21st Feb,R10 7f Claim,21-02-2023 21:04,22262149,I Saw It All,0,90.01060414,39.9301,1.0000,120.00,90.00,970.00,970.00,0.00,295.46,132.04
210270897,Santa Anita (US) 20th Feb,R10 6f Claim,21-02-2023 01:09,25226522,Majestic Gigi,0,11.00000000,9.5139,10.6075,11.00,9.60,390.00,390.00,1383.40,1055.96,127.91
210307629,Turf Paradise (US) 21st Feb,R3 6f Claim,21-02-2023 20:55,40401102,Philipie Fast,0,5.00000000,4.5395,1.0000,6.40,5.00,1000.00,890.00,0.00,6115.57,183.61
210307638,Turf Paradise (US) 21st Feb,R6 7f Claim,21-02-2023 22:23,52854494,Rainbow Stew,0,8.06753167,6.6035,1.0000,8.20,6.80,1.00,1001.00,0.00,2200.12,684.99
210307641,Turf Paradise (US) 21st Feb,R7 1m Claim,21-02-2023 22:52,24921823,Unbroken Star,0,8.90796638,9.2172,1.0000,12.50,9.00,1.00,1001.00,0.00,2736.05,158.35
210307632,Turf Paradise (US) 21st Feb,R4 5f Claim,21-02-2023 21:25,42346940,Ez Guess,0,13.00000000,10.1134,1.0000,18.00,10.50,900.00,760.00,0.00,1696.27,338.44
210307290,Philadelphia (US) 21st Feb,R5 1m Claim,21-02-2023 18:43,36282031,Look Out Lambo,0,9.78872469,6.4880,1.0000,10.00,9.20,8.00,8.00,0.00,1407.98,635.77
210307638,Turf Paradise (US) 21st Feb,R6 7f Claim,21-02-2023 22:23,52190517,Coastline Hottie,1,14.48812683,13.6846,1.0000,17.50,12.00,1.01,1.01,0.00,1160.20,3139.54
210307281,Philadelphia (US) 21st Feb,R2 6f Mdn Claim,21-02-2023 17:22,47761739,Tempted To Touch,0,13.50000000,11.5987,1.0000,14.50,10.50,1000.00,400.00,0.00,612.87,61.30
210307641,Turf Paradise (US) 21st Feb,R7 1m Claim,21-02-2023 22:52,37770008,Political Riot,0,90.00000000,62.2567,1.0000,80.00,55.00,540.00,50.00,0.00,255.06,61.36
210307299,Philadelphia (US) 21st Feb,R8 7f Mdn,21-02-2023 20:10,51233797,Coles Conundrum,1,4.00756823,2.5226,1.0000,3.90,3.10,1.01,1.01,0.00,8589.45,3657.14
210307638,Turf Paradise (US) 21st Feb,R6 7f Claim,21-02-2023 22:23,52854493,Ocean Of Lies,0,19.36916168,27.0477,1.0000,48.00,18.50,1.00,1001.00,0.00,615.23,93.07
210307287,Philadelphia (US) 21st Feb,R4 6f Claim,21-02-2023 18:16,23730594,Positively Awesome,0,5.40000000,4.5089,1.0000,6.00,5.20,890.00,890.00,0.00,2966.39,191.48
210307290,Philadelphia (US) 21st Feb,R5 1m Claim,21-02-2023 18:43,36140550,Speightster Red,0,7.61235632,5.0065,1.0000,7.20,6.40,890.00,890.00,0.00,2663.05,161.09
210270897,Santa Anita (US) 20th Feb,R10 6f Claim,21-02-2023 01:09,28749459,La V.,1,2.93258313,1.8549,2.0308,2.82,2.66,1.01,1.01,8024.13,4144.32,3147.10
210271307,Golden Gate Fields (US) 20th Feb,R9 1m Claim,21-02-2023 01:24,40486889,Hickory Wind,0,26.08138694,24.5488,20.7931,32.00,25.00,1.00,1001.00,267.89,130.49,40.08
210307284,Philadelphia (US) 21st Feb,R3 7f Allw,21-02-2023 17:49,7124225,Unimpeachable,1,3.27101561,2.0003,1.0000,3.50,2.74,1.01,1.01,0.00,9789.87,4113.85
210307281,Philadelphia (US) 21st Feb,R2 6f Mdn Claim,21-02-2023 17:22,542862,Aztec Queen,0,10.50000000,10.3353,1.0000,12.00,12.00,900.00,900.00,0.00,387.09,102.50
210307302,Philadelphia (US) 21st Feb,R9 7f Allw Claim,21-02-2023 20:37,35566796,In My Opinion,0,2.56748676,1.8520,4.8499,2.86,2.66,1000.00,880.00,18.00,11301.89,492.78
