EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
206279565,TRP / Swindon 9th Nov,TO BE PLACED,09-11-2022 11:28,35926266,1. Seriouslygenuine,1,2.8863753486910735,1,1,1,1001,1,1001,0,999.8,0
206279989,SIS / Harlow 9th Nov,TO BE PLACED,09-11-2022 12:16,36628481,4. Effernogue Lady,0,2.967919960388191,1,1,1,1001,1,1001,0,1078.48,0
206279989,SIS / Harlow 9th Nov,TO BE PLACED,09-11-2022 12:16,43557682,6. Essjay Bowers,1,2.057722804898149,1,1,1,1001,1,1001,0,1565.52,0
206279999,SIS / Harlow 9th Nov,TO BE PLACED,09-11-2022 13:33,43900247,6. Golden Oldie,0,8.2,1,1,1,1001,1,1001,0,591.72,0
206262802,AUS / Gawler (AUS) 9th Nov,TO BE PLACED,09-11-2022 01:30,49978584,5. Missouri Belle,1,1.67,1,1.16354016776050257958094970694556557751,1,1001,1,1001,1709.58,1709.58,0
206262889,AUS / Cannington (AUS) 9th Nov,TO BE PLACED,09-11-2022 11:35,50115483,1. Faded Rose,0,6.275918349406982,1,1,1,1001,1,1001,0,444.44,0
206262894,AUS / Cannington (AUS) 9th Nov,TO BE PLACED,09-11-2022 11:57,49711111,7. Terror To Love,1,1.882577861,1,1,1,1001,1,1001,0,1228.72,0
206262894,AUS / Cannington (AUS) 9th Nov,TO BE PLACED,09-11-2022 11:57,46080664,2. Bad Boy Jagger,0,4.362386010450519,1,1,1,1001,1,1001,0,448.82,0
206262947,AUS / Taree (AUS) 9th Nov,TO BE PLACED,09-11-2022 01:54,33009934,5. Torpedo Rose,0,3.058707065874331,1,1.09467438494934876989869753979739507959,1,1001,1,1001,718.64,718.64,0
206262962,AUS / Taree (AUS) 9th Nov,TO BE PLACED,09-11-2022 03:22,48516333,1. Yore Chevy,0,1.4046866213207942,1,1.10936442975680127687003141018426626014,1,1001,1,1001,1954.78,1954.78,0
206262962,AUS / Taree (AUS) 9th Nov,TO BE PLACED,09-11-2022 03:22,44232600,9. Glenreagh Burner,0,5.911680674571215,1,,1,1001,1,1001,340.62,340.62,0
206262977,AUS / Richmond (AUS) 9th Nov,TO BE PLACED,09-11-2022 05:00,49268780,1. Small Steps,0,4.9,1,1.20277926038886770873046130385055280214,1,1001,1,1001,524.6,524.6,0
206262977,AUS / Richmond (AUS) 9th Nov,TO BE PLACED,09-11-2022 05:00,50005995,4. Mighty Zoe,0,7.773051950222793,1,1.36661708193876286103880004958472790381,1,1001,1,1001,322.68,322.68,0
206262995,AUS / Richmond (AUS) 9th Nov,TO BE PLACED,09-11-2022 06:46,37536462,7. Con The Conman,0,37.96664360729977,1,15.8579896907216494845360824742268041237,1,1001,1,1001,116.4,116.4,0
206280466,SIS / Crayford 9th Nov,TO BE PLACED,09-11-2022 10:53,41389063,4. Distant Spirit,0,5.56500082513257,1,5.04640390365071978977144499207603176175,1,1001,1,1001,301.44,301.44,0
