event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
210280753,Murray Bridge (AUS) 21st Feb,To Be Placed,21-02-2023 02:08,51562650,4. Buddy Kruger,0,3.40000000,1.0000,1.8376,1.00,1001.00,1.00,1001.00,1010.64,1010.64,0.00
210279947,Warragul (AUS) 21st Feb,To Be Placed,21-02-2023 11:22,51203498,2. Nyali King,1,1.30492146,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,1969.51,0.00
210304615,Sunderland 21st Feb,To Be Placed,21-02-2023 16:23,51668449,6. Calton Joe,0,2.72125851,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,738.35,0.00
210289879,Geelong (AUS) 21st Feb,To Be Placed,21-02-2023 04:49,50663199,5. Superior Dash,1,6.87758441,1.0000,1.0408,1.00,1001.00,1.00,1001.00,353.54,353.54,0.00
210305807,Crayford 21st Feb,To Be Placed,21-02-2023 18:48,52855694,5. Dinny Mac,1,2.16000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,3144.56,0.00
210303836,Central Park 21st Feb,To Be Placed,21-02-2023 11:43,51210516,2. Bandit Gillie,0,2.72634851,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,3086.38,0.00
210305077,Towcester 21st Feb,To Be Placed,21-02-2023 18:58,49698596,5. Savana Grove,0,3.03582129,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,1000.99,0.00
210279842,Gosford (AUS) 21st Feb,To Be Placed,21-02-2023 08:15,48401896,8. Two Mates,0,1.69161089,1.0000,1.2337,1.00,1001.00,1.00,1001.00,1892.12,1892.12,0.00
210289887,Geelong (AUS) 21st Feb,To Be Placed,21-02-2023 06:04,39478377,5. Smiling Spaniard,0,6.40000000,1.0000,1.6476,1.00,1001.00,1.00,1001.00,347.12,347.12,0.00
210289885,Geelong (AUS) 21st Feb,To Be Placed,21-02-2023 05:42,47414269,8. Our Girl Socks,0,3.07704524,1.0000,1.5131,1.00,1001.00,1.00,1001.00,774.61,774.61,0.00
210289873,Geelong (AUS) 21st Feb,To Be Placed,21-02-2023 03:54,52842101,3. Brave Lion,1,2.39794059,1.0000,1.4664,1.00,1001.00,1.00,1001.00,1293.88,1293.88,0.00
210280827,Townsville (AUS) 21st Feb,To Be Placed,21-02-2023 09:44,37324935,4. Rum And Hustle,0,3.32694119,1.0000,1.2750,1.00,1001.00,1.00,1001.00,641.36,641.36,0.00
210303842,Central Park 21st Feb,To Be Placed,21-02-2023 12:28,46329009,5. Warcorrespondent,0,5.09608712,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,650.34,0.00
210304613,Sunderland 21st Feb,To Be Placed,21-02-2023 16:04,39174571,3. Tinas Carol,1,3.03651013,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,1115.72,0.00
210289910,Horsham (AUS) 21st Feb,To Be Placed,21-02-2023 05:39,48459122,9. Moraine Baloo,1,5.62966590,1.0000,3.6440,1.00,1001.00,1.00,1001.00,543.36,543.36,0.00
