EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
159591135,RSA / Turf (RSA) 9th Jun,TO BE PLACED,09-06-2019 11:50,23497243,Tree Tumbo,0,4.845103805178372,1,3.60291925465838509316770186335403726708,1,1001,1,1001,193.2,0,0
159591135,RSA / Turf (RSA) 9th Jun,TO BE PLACED,09-06-2019 11:50,23845422,Ashbaal,1,3.4,1,3.31792004113639285255174186913485023782,1,1001,1,1001,155.58,0,0
159591139,RSA / Turf (RSA) 9th Jun,TO BE PLACED,09-06-2019 13:00,1104540,Au Revoir,0,2.8550516565729054,1,1,1,1001,1,1001,0,0,0
159591145,RSA / Turf (RSA) 9th Jun,TO BE PLACED,09-06-2019 14:45,13098509,The Dazzler,0,3.7,1,1,1,1001,1,1001,0,0,0
159591145,RSA / Turf (RSA) 9th Jun,TO BE PLACED,09-06-2019 14:45,15849256,Infamous Fox,0,2.28,1,1,1,1001,1,1001,0,0,0
159591145,RSA / Turf (RSA) 9th Jun,TO BE PLACED,09-06-2019 14:45,16343422,Royal Italian,0,9.6,1,1,1,1001,1,1001,0,0,0
159591147,RSA / Turf (RSA) 9th Jun,TO BE PLACED,09-06-2019 15:20,8710257,Splendid Garden,0,26,1,1,1,1001,1,1001,0,0,0
159591147,RSA / Turf (RSA) 9th Jun,TO BE PLACED,09-06-2019 15:20,8779957,Full Mast,1,6.059333333333489,1,1,1,1001,1,1001,0,0,0
159591147,RSA / Turf (RSA) 9th Jun,TO BE PLACED,09-06-2019 15:20,10853267,Ali Bon Dubai,0,20.75,1,1,1,1001,1,1001,0,0,0
159591147,RSA / Turf (RSA) 9th Jun,TO BE PLACED,09-06-2019 15:20,12085424,Redberry Lane,0,10.05,1,1,1,1001,1,1001,0,0,0
159591143,RSA / Turf (RSA) 9th Jun,TO BE PLACED,09-06-2019 14:10,11551,Lake Kinneret,1,2.58,1,1,1,1001,1,1001,0,0,0
159591143,RSA / Turf (RSA) 9th Jun,TO BE PLACED,09-06-2019 14:10,23809422,Apache Too,1,2.04,1,1,1,1001,1,1001,0,0,0
159591149,RSA / Turf (RSA) 9th Jun,TO BE PLACED,09-06-2019 15:55,12085417,Geographe Bay,0,15.75,1,1,1,1001,1,1001,0,0,0
159591149,RSA / Turf (RSA) 9th Jun,TO BE PLACED,09-06-2019 15:55,16608248,Mercer Girl,0,6,1,1,1,1001,1,1001,0,0,0
159591149,RSA / Turf (RSA) 9th Jun,TO BE PLACED,09-06-2019 15:55,21579150,Splat The Cat,0,25.25,1,1,1,1001,1,1001,0,0,0
159591137,RSA / Turf (RSA) 9th Jun,TO BE PLACED,09-06-2019 12:25,23071507,Royal Lily,1,2.72,1,1,1,1001,1,1001,0,0,0
159591137,RSA / Turf (RSA) 9th Jun,TO BE PLACED,09-06-2019 12:25,23899398,Escape To Victory,0,2.39,1,1,1,1001,1,1001,0,0,0
159591141,RSA / Turf (RSA) 9th Jun,TO BE PLACED,09-06-2019 13:35,21864371,Three Dog Night,1,3,1,1,1,1001,1,1001,0,0,0
159591139,RSA / Turf (RSA) 9th Jun,TO BE PLACED,09-06-2019 13:00,12960591,Queen Supreme,1,1.56,1,1,1,1001,1,1001,0,0,0
159591145,RSA / Turf (RSA) 9th Jun,TO BE PLACED,09-06-2019 14:45,12044587,Shenanigans,1,2.48,1,1,1,1001,1,1001,0,0,0
159591145,RSA / Turf (RSA) 9th Jun,TO BE PLACED,09-06-2019 14:45,13370648,Flying Fable,0,10.55,1,1,1,1001,1,1001,0,0,0
159591147,RSA / Turf (RSA) 9th Jun,TO BE PLACED,09-06-2019 15:20,19080038,Rock A Roll Dancer,0,10.35,1,1,1,1001,1,1001,0,0,0
159591149,RSA / Turf (RSA) 9th Jun,TO BE PLACED,09-06-2019 15:55,10140196,Ficticious,0,3.6,1,1,1,1001,1,1001,0,0,0
159591137,RSA / Turf (RSA) 9th Jun,TO BE PLACED,09-06-2019 12:25,24399987,Evening Rise,0,2.5538119865563935,1,1,1,1001,1,1001,0,0,0
159591135,RSA / Turf (RSA) 9th Jun,TO BE PLACED,09-06-2019 11:50,10059866,Invidia,1,1.76,1,1.6265608001753372252884098109147422742,1,1001,1,1001,1003.78,0,0
159591141,RSA / Turf (RSA) 9th Jun,TO BE PLACED,09-06-2019 13:35,18976953,Gaelebale,0,20.5,1,1,1,1001,1,1001,0,0,0
159591139,RSA / Turf (RSA) 9th Jun,TO BE PLACED,09-06-2019 13:00,20963594,Great Prosperity,0,5.1,1,1,1,1001,1,1001,0,0,0
159591139,RSA / Turf (RSA) 9th Jun,TO BE PLACED,09-06-2019 13:00,19269360,Little Lily,0,19.25,1,1,1,1001,1,1001,0,0,0
