event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
210243883,Mount Gambier (AUS) 21st Feb,To Be Placed,21-02-2023 09:32,21965306,3. Abbey Fields,1,1.78952366,1.0000,1.0870,1.00,1001.00,1.00,1001.00,1209.28,0.00,0.00
210243879,Mount Gambier (AUS) 21st Feb,To Be Placed,21-02-2023 08:24,37258192,8. Springfield Affair,0,17.67070715,1.0000,6.6269,1.00,1001.00,1.00,1001.00,31.30,0.00,0.00
210243881,Mount Gambier (AUS) 21st Feb,To Be Placed,21-02-2023 08:58,19392272,1. Abstractor,0,19.50000000,1.0000,3.9738,1.00,1001.00,1.00,1001.00,88.18,0.00,0.00
210243441,Gloucester Park (AUS) 21st Feb,To Be Placed,21-02-2023 07:17,52720657,2. There And Then,0,1.60997697,1.0000,1.2965,1.00,1001.00,1.00,1001.00,1930.35,0.00,0.00
210239162,Stawell (AUS) 21st Feb,To Be Placed,21-02-2023 05:30,51454703,1. Dennis Choux,1,3.10000000,1.0000,2.3630,1.00,1001.00,1.00,1001.00,2796.38,0.00,0.00
210239142,Stawell (AUS) 21st Feb,To Be Placed,21-02-2023 03:00,50088190,10. Stillwater,0,2.18351097,1.0000,1.5265,1.00,1001.00,1.00,1001.00,4493.87,0.00,0.00
210240472,Cranbourne (AUS) 21st Feb,To Be Placed,21-02-2023 10:47,15947485,8. Carmy Dan,0,1.47516481,1.0000,1.2265,1.00,1001.00,1.00,1001.00,2858.86,0.00,0.00
210240474,Cranbourne (AUS) 21st Feb,To Be Placed,21-02-2023 11:25,45368173,11. Horrie Otara,1,3.73290157,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210240159,Wyong (AUS) 21st Feb,To Be Placed,21-02-2023 04:40,52735281,8. Owari,1,1.13000000,1.0000,1.1379,1.00,1001.00,1.00,1001.00,6015.24,0.00,0.00
210240161,Wyong (AUS) 21st Feb,To Be Placed,21-02-2023 05:15,24538387,8. Dual Escape,0,5.22405478,1.0000,3.1188,1.00,1001.00,1.00,1001.00,1366.62,0.00,0.00
210239185,Townsville (AUS) 21st Feb,To Be Placed,21-02-2023 04:55,24914448,11. Kim Alicia,0,8.00000000,1.0000,5.3053,1.00,1001.00,1.00,1001.00,940.90,0.00,0.00
210243887,Mount Gambier (AUS) 21st Feb,To Be Placed,21-02-2023 10:40,37224843,2. Unspoken Love,0,2.15393198,1.0000,1.3789,1.00,1001.00,1.00,1001.00,1188.41,0.00,0.00
210243461,Gloucester Park (AUS) 21st Feb,To Be Placed,21-02-2023 12:35,16556160,8. Triroyale Brigade,0,4.20138112,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210243441,Gloucester Park (AUS) 21st Feb,To Be Placed,21-02-2023 07:17,52720663,9. Copy Cat Queen,1,2.00462642,1.0000,1.4469,1.00,1001.00,1.00,1001.00,2282.42,0.00,0.00
210240161,Wyong (AUS) 21st Feb,To Be Placed,21-02-2023 05:15,52735288,6. Crystalane,1,1.81023951,1.0000,1.5521,1.00,1001.00,1.00,1001.00,1930.21,0.00,0.00
210239191,Townsville (AUS) 21st Feb,To Be Placed,21-02-2023 06:10,52735433,4. Fodor,0,1.26000000,1.0000,1.2014,1.00,1001.00,1.00,1001.00,6275.62,0.00,0.00
210239191,Townsville (AUS) 21st Feb,To Be Placed,21-02-2023 06:10,52735435,11. Sheez Bean Talkin,0,5.81335133,1.0000,2.4236,1.00,1001.00,1.00,1001.00,745.07,0.00,0.00
210239179,Townsville (AUS) 21st Feb,To Be Placed,21-02-2023 03:45,39142215,8. Little Ivy,0,22.61985742,1.0000,5.4768,1.00,1001.00,1.00,1001.00,396.84,0.00,0.00
210240464,Cranbourne (AUS) 21st Feb,To Be Placed,21-02-2023 08:31,29807510,5. Homonym,1,2.35123181,1.0000,1.3163,1.00,1001.00,1.00,1001.00,990.70,0.00,0.00
210240460,Cranbourne (AUS) 21st Feb,To Be Placed,21-02-2023 07:33,11505544,4. Feel The Buzz,0,1.32000000,1.0000,1.1018,1.00,1001.00,1.00,1001.00,1545.73,0.00,0.00
210240462,Cranbourne (AUS) 21st Feb,To Be Placed,21-02-2023 08:03,6683792,8. Blanco Canyon,0,26.49855415,1.0000,3.2375,1.00,1001.00,1.00,1001.00,40.56,0.00,0.00
210240163,Wyong (AUS) 21st Feb,To Be Placed,21-02-2023 05:50,52735291,9. Unforgiven,0,7.67151061,1.0000,2.4567,1.00,1001.00,1.00,1001.00,681.16,0.00,0.00
210240153,Wyong (AUS) 21st Feb,To Be Placed,21-02-2023 02:50,52735264,10. Incivility,0,3.86540900,1.0000,2.9896,1.00,1001.00,1.00,1001.00,583.89,0.00,0.00
210281070,Redcliffe (AUS) 21st Feb,To Be Placed,21-02-2023 04:33,50687852,6. Girl From Rosedale,0,2.74000000,1.0000,1.3902,1.00,1001.00,1.00,1001.00,826.80,0.00,0.00
210243449,Gloucester Park (AUS) 21st Feb,To Be Placed,21-02-2023 09:25,52720690,6. World Secret,0,5.50000000,1.0000,2.0630,1.00,1001.00,1.00,1001.00,452.01,0.00,0.00
210239158,Stawell (AUS) 21st Feb,To Be Placed,21-02-2023 05:00,45367826,2. Ascot Road,0,10.14104670,1.0000,4.0050,1.00,1001.00,1.00,1001.00,517.51,0.00,0.00
210240161,Wyong (AUS) 21st Feb,To Be Placed,21-02-2023 05:15,40173969,5. Barney Rabble,0,3.15000000,1.0000,2.0330,1.00,1001.00,1.00,1001.00,1250.92,0.00,0.00
210281066,Redcliffe (AUS) 21st Feb,To Be Placed,21-02-2023 03:17,50005536,8. Hammer Son,1,3.30000000,1.0000,2.0872,1.00,1001.00,1.00,1001.00,1268.86,0.00,0.00
210239138,Stawell (AUS) 21st Feb,To Be Placed,21-02-2023 02:30,52735334,3. Cheval Savant,1,1.48000000,1.0000,1.2792,1.00,1001.00,1.00,1001.00,4624.24,0.00,0.00
210240458,Cranbourne (AUS) 21st Feb,To Be Placed,21-02-2023 07:05,37515929,5. Montana Pride,1,1.50000000,1.0000,1.1920,1.00,1001.00,1.00,1001.00,2127.19,0.00,0.00
210239170,Townsville (AUS) 21st Feb,To Be Placed,21-02-2023 02:00,51312483,3. Turn Bird,0,3.04978209,1.0000,2.1268,1.00,1001.00,1.00,1001.00,1945.29,0.00,0.00
210239166,Stawell (AUS) 21st Feb,To Be Placed,21-02-2023 06:00,40130515,5. Owhatapicture,0,6.40000000,1.0000,3.2160,1.00,1001.00,1.00,1001.00,670.63,0.00,0.00
210239162,Stawell (AUS) 21st Feb,To Be Placed,21-02-2023 05:30,39359962,12. Fabians Spirit,0,5.30000000,1.0000,2.9206,1.00,1001.00,1.00,1001.00,1110.27,0.00,0.00
210239138,Stawell (AUS) 21st Feb,To Be Placed,21-02-2023 02:30,52670511,6. Screw Creek,0,8.99985303,1.0000,2.4692,1.00,1001.00,1.00,1001.00,483.85,0.00,0.00
210243881,Mount Gambier (AUS) 21st Feb,To Be Placed,21-02-2023 08:58,19742225,4. Citysiren,0,29.22788886,1.0000,1.0935,1.00,1001.00,1.00,1001.00,85.23,0.00,0.00
210243457,Gloucester Park (AUS) 21st Feb,To Be Placed,21-02-2023 11:36,39610843,9. Gypsy Dragon,1,9.03069938,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210239176,Townsville (AUS) 21st Feb,To Be Placed,21-02-2023 03:10,42351414,1. Macedon Flyer,1,4.80000000,1.0000,2.7130,1.00,1001.00,1.00,1001.00,843.41,0.00,0.00
210239173,Townsville (AUS) 21st Feb,To Be Placed,21-02-2023 02:35,52735420,7. Mishani Promise,0,9.20000000,1.0000,2.5867,1.00,1001.00,1.00,1001.00,478.52,0.00,0.00
210239146,Stawell (AUS) 21st Feb,To Be Placed,21-02-2023 03:30,46701720,5. Warren,0,2.61650670,1.0000,1.6911,1.00,1001.00,1.00,1001.00,1948.55,0.00,0.00
210243879,Mount Gambier (AUS) 21st Feb,To Be Placed,21-02-2023 08:24,27789925,6. Sea Lover,1,2.76373953,1.0000,1.9617,1.00,1001.00,1.00,1001.00,1295.62,0.00,0.00
210240157,Wyong (AUS) 21st Feb,To Be Placed,21-02-2023 04:05,52735276,13. Hellbetta,0,18.00000000,1.0000,9.1719,1.00,1001.00,1.00,1001.00,304.87,0.00,0.00
210239197,Townsville (AUS) 21st Feb,To Be Placed,21-02-2023 07:30,25165741,5. Kiss Me Later,0,4.44277635,1.0000,2.6447,1.00,1001.00,1.00,1001.00,1237.37,0.00,0.00
210239166,Stawell (AUS) 21st Feb,To Be Placed,21-02-2023 06:00,52148313,8. Show Me Champagne,1,3.02703671,1.0000,1.9308,1.00,1001.00,1.00,1001.00,1951.65,0.00,0.00
210239173,Townsville (AUS) 21st Feb,To Be Placed,21-02-2023 02:35,52735419,5. Real Emotion,0,13.20076055,1.0000,3.2812,1.00,1001.00,1.00,1001.00,311.14,0.00,0.00
210243443,Gloucester Park (AUS) 21st Feb,To Be Placed,21-02-2023 07:46,1377235,1. Star Of The Galaxy,0,15.66192541,1.0000,1.8996,1.00,1001.00,1.00,1001.00,93.17,0.00,0.00
210281080,Redcliffe (AUS) 21st Feb,To Be Placed,21-02-2023 07:22,12396586,2. Our Bondi Beach,0,3.40000000,1.0000,1.9097,1.00,1001.00,1.00,1001.00,904.47,0.00,0.00
210281070,Redcliffe (AUS) 21st Feb,To Be Placed,21-02-2023 04:33,44746078,1. Frankie Ferocious,1,1.11266353,1.0000,1.0529,1.00,1001.00,1.00,1001.00,4649.97,0.00,0.00
210239197,Townsville (AUS) 21st Feb,To Be Placed,21-02-2023 07:30,42162225,2. Love On Sunday,0,10.11398207,1.0000,4.2781,1.00,1001.00,1.00,1001.00,1226.65,0.00,0.00
210243881,Mount Gambier (AUS) 21st Feb,To Be Placed,21-02-2023 08:58,49978549,2. My Purple Patch,0,1.33527131,1.0000,1.1449,1.00,1001.00,1.00,1001.00,2309.90,0.00,0.00
210239170,Townsville (AUS) 21st Feb,To Be Placed,21-02-2023 02:00,50903157,1. Roweiners Dance,1,1.30372744,1.0000,1.1579,1.00,1001.00,1.00,1001.00,5312.34,0.00,0.00
210239191,Townsville (AUS) 21st Feb,To Be Placed,21-02-2023 06:10,52735434,8. Mission House,0,3.51396041,1.0000,2.0591,1.00,1001.00,1.00,1001.00,1199.25,0.00,0.00
210243461,Gloucester Park (AUS) 21st Feb,To Be Placed,21-02-2023 12:35,28170544,6. Alta Camino,0,4.30000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210243445,Gloucester Park (AUS) 21st Feb,To Be Placed,21-02-2023 08:17,52247258,3. Shes A Mare,1,1.42000000,1.0000,1.2508,1.00,1001.00,1.00,1001.00,2603.81,0.00,0.00
210240464,Cranbourne (AUS) 21st Feb,To Be Placed,21-02-2023 08:31,12462103,3. Madena Bay,0,6.40000000,1.0000,1.9295,1.00,1001.00,1.00,1001.00,318.08,0.00,0.00
210240165,Wyong (AUS) 21st Feb,To Be Placed,21-02-2023 06:30,50379901,8. Thief By Night,0,2.79289718,1.0000,2.4877,1.00,1001.00,1.00,1001.00,1985.04,0.00,0.00
210239176,Townsville (AUS) 21st Feb,To Be Placed,21-02-2023 03:10,35608749,6. Canadian Rockies,1,2.04000000,1.0000,1.5082,1.00,1001.00,1.00,1001.00,3766.52,0.00,0.00
210240155,Wyong (AUS) 21st Feb,To Be Placed,21-02-2023 03:25,52735268,5. Sunshine Reggae,0,9.36119970,1.0000,7.4033,1.00,1001.00,1.00,1001.00,724.28,0.00,0.00
210281074,Redcliffe (AUS) 21st Feb,To Be Placed,21-02-2023 05:42,51962195,5. Sista Bliss,1,1.36221984,1.0000,1.1714,1.00,1001.00,1.00,1001.00,2162.21,0.00,0.00
210243451,Gloucester Park (AUS) 21st Feb,To Be Placed,21-02-2023 09:59,52720694,1. Bank Notice,0,5.43255437,1.0000,2.7021,1.00,1001.00,1.00,1001.00,853.45,0.00,0.00
210240165,Wyong (AUS) 21st Feb,To Be Placed,21-02-2023 06:30,40928243,10. Galactic Angel,1,4.40000000,1.0000,3.3846,1.00,1001.00,1.00,1001.00,385.11,0.00,0.00
210239185,Townsville (AUS) 21st Feb,To Be Placed,21-02-2023 04:55,52735430,5. Ciao Bicky,1,1.90681115,1.0000,1.4373,1.00,1001.00,1.00,1001.00,4327.09,0.00,0.00
210240470,Cranbourne (AUS) 21st Feb,To Be Placed,21-02-2023 10:13,27483242,2. Illawong Phoenix,1,2.17443980,1.0000,1.6994,1.00,1001.00,1.00,1001.00,1802.34,0.00,0.00
210281072,Redcliffe (AUS) 21st Feb,To Be Placed,21-02-2023 05:07,17773881,2. First String,1,2.15070170,1.0000,1.6773,1.00,1001.00,1.00,1001.00,2254.87,0.00,0.00
210243453,Gloucester Park (AUS) 21st Feb,To Be Placed,21-02-2023 10:33,9795758,10. Mister Ardee,1,2.07282749,1.0000,1.7448,1.00,1001.00,1.00,1001.00,3251.03,0.00,0.00
210240163,Wyong (AUS) 21st Feb,To Be Placed,21-02-2023 05:50,44389109,8. Yorikiri,0,9.79321269,1.0000,2.5772,1.00,1001.00,1.00,1001.00,716.41,0.00,0.00
210240163,Wyong (AUS) 21st Feb,To Be Placed,21-02-2023 05:50,2575731,6. Capital Asset,1,1.81983662,1.0000,1.5986,1.00,1001.00,1.00,1001.00,1834.47,0.00,0.00
210240159,Wyong (AUS) 21st Feb,To Be Placed,21-02-2023 04:40,52735284,12. Fortunate War,0,28.00000000,1.0000,7.4321,1.00,1001.00,1.00,1001.00,45.82,0.00,0.00
210239170,Townsville (AUS) 21st Feb,To Be Placed,21-02-2023 02:00,49088545,6. Mishani Tycoon,0,100.00000000,1.0000,12.6672,1.00,1001.00,1.00,1001.00,57.82,0.00,0.00
210240466,Cranbourne (AUS) 21st Feb,To Be Placed,21-02-2023 09:05,42352445,6. Onehandonebounce,0,9.64442322,1.0000,1.0067,1.00,1001.00,1.00,1001.00,224.12,0.00,0.00
210239194,Townsville (AUS) 21st Feb,To Be Placed,21-02-2023 06:50,52735439,9. Catch Dis,0,2.93924275,1.0000,1.8898,1.00,1001.00,1.00,1001.00,3681.35,0.00,0.00
