event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
210279494,Eagle Farm (AUS) 22nd Feb,R7 1200m Hcap,22-02-2023 07:07,51636034,10. Rose By Design,0,47.52672084,56.5110,37.0095,100.00,36.00,29.00,10.00,3425.65,2012.96,619.10
210281040,Ascot (AUS) 22nd Feb,R4 1400m Hcap,22-02-2023 06:54,40866582,4. Celebrity Witness,0,7.60000000,4.8009,4.5908,7.60,6.40,10.00,3.65,6693.49,4741.02,1952.47
210285667,Bathurst (AUS) 22nd Feb,R2 1730m Pace M,22-02-2023 08:13,11120471,7. Mister Haywood,0,117.37772703,51.0532,49.1197,160.00,85.00,100.00,100.00,112.03,76.14,35.89
210281056,Ascot (AUS) 22nd Feb,R8 1400m CL1,22-02-2023 09:30,52842513,5. Arrow Song,0,34.00000000,32.3941,24.8772,38.00,26.00,65.00,65.00,1889.89,1315.68,160.75
210279452,Launceston (AUS) 22nd Feb,R5 1200m 3yo,22-02-2023 04:16,42560956,4. Bold Instinct,0,20.86601107,16.1669,12.0797,22.00,18.50,1.00,1001.00,4611.85,3230.17,1381.68
210280687,Warwick Farm (AUS) 22nd Feb,R2 1200m Mdn,22-02-2023 03:55,52841659,3. Genetic Freak,0,65.00000000,35.3244,32.8919,75.00,22.00,44.00,44.00,1672.11,1422.28,241.15
210285681,Bathurst (AUS) 22nd Feb,R9 1730m Pace M,22-02-2023 11:49,52740649,1. Cee Jay Cupcake,0,137.18404080,64.2535,6.1413,270.00,55.00,1.00,1001.00,0.14,91.54,32.96
210281156,Mount Gambier (AUS) 22nd Feb,R6 1800m Hcap,22-02-2023 06:05,38125359,4. Riotous Mischief,0,3.26154458,2.8612,2.7996,3.70,3.05,4.80,3.75,20855.77,18232.70,2623.07
210279440,Launceston (AUS) 22nd Feb,R1 1200m Mdn,22-02-2023 01:52,52735369,11. Googly,0,130.00000000,52.6794,42.9904,180.00,80.00,1.00,1001.00,725.74,559.63,166.11
210285669,Bathurst (AUS) 22nd Feb,R3 1730m Pace M,22-02-2023 08:40,23083410,8. I Am Marquez,0,55.05963375,46.4930,30.7042,50.00,50.00,290.00,290.00,121.00,39.84,37.99
210281044,Ascot (AUS) 22nd Feb,R5 1600m CL3,22-02-2023 07:33,50836075,7. Dream Evil,0,16.66149110,13.5531,12.3152,20.00,15.50,220.00,8.60,4856.18,4018.98,837.20
210285679,Bathurst (AUS) 22nd Feb,R8 1730m Pace M,22-02-2023 11:19,50355726,6. Speedy Sport,0,54.74311529,30.2544,1.0000,55.00,48.00,160.00,160.00,0.00,118.21,43.13
210279452,Launceston (AUS) 22nd Feb,R5 1200m 3yo,22-02-2023 04:16,52735387,1. Miami Sun,0,13.00000000,8.9180,8.5813,13.00,8.40,980.00,8.00,9821.05,8920.07,900.98
210279464,Launceston (AUS) 22nd Feb,R9 1400m Grp3,22-02-2023 06:36,52735405,11. Lucky Lil,0,193.32600124,144.4081,62.7886,180.00,110.00,1.00,1001.00,940.00,342.24,223.99
210280699,Warwick Farm (AUS) 22nd Feb,R5 2400m Hcap,22-02-2023 05:40,33957191,8. Dissenter,0,22.05716677,14.0896,12.7165,24.00,17.00,42.00,13.50,3824.93,2530.03,1294.90
210285665,Bathurst (AUS) 22nd Feb,R1 1730m Pace M,22-02-2023 07:37,45280268,10. Kalypso Sam,0,8.61146870,9.0147,8.5137,8.20,8.20,110.00,110.00,710.77,322.98,262.25
210242008,Redcliffe (AUS) 22nd Feb,R5 1780m Pace M,22-02-2023 09:51,41988780,1. Shezamaterialgirl,0,65.00000000,42.5385,38.0630,220.00,65.00,930.00,130.00,382.98,302.92,80.06
210280913,Bunbury (AUS) 22nd Feb,R1 1609m Pace M,22-02-2023 06:03,35834298,3. Sorridere,0,14.13769926,23.4505,14.3049,55.00,18.00,1.00,1001.00,865.03,446.95,66.79
210281040,Ascot (AUS) 22nd Feb,R4 1400m Hcap,22-02-2023 06:54,17181396,3. Wakan Tanka,0,17.88544414,10.3274,11.0060,18.50,15.00,46.00,29.00,2107.83,1766.97,340.86
210280703,Warwick Farm (AUS) 22nd Feb,R6 1600m Hcap,22-02-2023 06:15,40579168,6. Saucey Horsey,0,5.60000000,5.4557,4.4503,6.00,5.10,6.00,3.40,16773.00,11523.88,2751.95
210279470,Eagle Farm (AUS) 22nd Feb,R1 1200m 2yo,22-02-2023 03:34,52467110,8. Revitup Charlie,0,42.78133663,49.0090,33.0803,60.00,44.00,100.00,24.00,1583.38,864.90,299.08
210285665,Bathurst (AUS) 22nd Feb,R1 1730m Pace M,22-02-2023 07:37,32636819,3. Glen Innes Lad,0,70.00000000,56.7880,39.2085,65.00,55.00,910.00,44.00,119.97,41.34,52.22
210279464,Launceston (AUS) 22nd Feb,R9 1400m Grp3,22-02-2023 06:36,28506916,5. Jaja Chaboogie,1,55.00000000,42.4246,10.9700,55.00,32.00,40.00,40.00,5050.37,954.01,3642.54
210280925,Bunbury (AUS) 22nd Feb,R7 1609m Pace M,22-02-2023 09:47,39317068,4. Make Your Mark,0,3.75000000,3.9207,2.9074,5.10,3.60,1.00,1001.00,3756.48,2083.17,690.37
210279498,Eagle Farm (AUS) 22nd Feb,R8 1400m CL1,22-02-2023 07:45,42188846,3. Maple Door,0,51.12562028,58.2046,37.6226,110.00,44.00,140.00,75.00,2718.27,1680.25,406.68
210285679,Bathurst (AUS) 22nd Feb,R8 1730m Pace M,22-02-2023 11:19,51784245,8. Chillax,0,26.08615717,17.9453,14.3154,26.00,26.00,200.00,200.00,0.60,247.94,87.88
210279498,Eagle Farm (AUS) 22nd Feb,R8 1400m CL1,22-02-2023 07:45,48290346,12. Habeebati,0,25.00000000,21.1255,14.9092,26.00,18.00,1.00,1001.00,6007.36,3855.37,728.66
210279470,Eagle Farm (AUS) 22nd Feb,R1 1200m 2yo,22-02-2023 03:34,52842039,4. Ser Joh,0,2.55317617,2.3446,2.2472,2.62,2.00,980.00,2.44,52946.94,44720.19,3939.21
210279490,Eagle Farm (AUS) 22nd Feb,R6 1400m 3yo,22-02-2023 06:29,52385046,6. Ready Azz Eva,0,5.79779830,4.8443,4.7028,6.60,5.00,12.00,7.00,23062.91,20372.14,2690.77
210281048,Ascot (AUS) 22nd Feb,R6 1100m CL3,22-02-2023 08:10,52842502,7. Marchamley,0,70.00000000,71.5827,32.5259,85.00,60.00,1.00,1001.00,1119.43,475.93,235.12
210281056,Ascot (AUS) 22nd Feb,R8 1400m CL1,22-02-2023 09:30,50999293,7. Finchy,1,10.50000000,10.6555,7.0208,13.00,9.80,10.00,1.05,17689.65,10686.05,5735.80
210280699,Warwick Farm (AUS) 22nd Feb,R5 2400m Hcap,22-02-2023 05:40,40865803,7. Tycoon Charger,0,42.00000000,24.8833,23.1627,44.00,13.50,1.00,1001.00,2255.77,1894.95,360.82
