event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
210300346,Turffontein (RSA) 22nd Feb,To Be Placed,22-02-2023 18:20,43637912,Mover And Shaker,1,1.46500000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210300342,Turffontein (RSA) 22nd Feb,To Be Placed,22-02-2023 17:20,41035704,Outofthedarkness,1,3.22500000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210291833,Scottsville (RSA) 22nd Feb,To Be Placed,22-02-2023 12:20,52740445,Kodiak Island,0,61.60898653,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210300346,Turffontein (RSA) 22nd Feb,To Be Placed,22-02-2023 18:20,46082270,Tre Amici,0,2.85000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210291839,Scottsville (RSA) 22nd Feb,To Be Placed,22-02-2023 14:40,9992740,October Song,0,40.76101975,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210291833,Scottsville (RSA) 22nd Feb,To Be Placed,22-02-2023 12:20,50663870,Gold Index,1,2.76684278,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210291829,Scottsville (RSA) 22nd Feb,To Be Placed,22-02-2023 11:40,41948661,Rare Flag,1,2.04189316,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210300279,Turffontein (RSA) 22nd Feb,To Be Placed,22-02-2023 13:55,49064708,Storm Dominator,0,3.15000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210300334,Turffontein (RSA) 22nd Feb,To Be Placed,22-02-2023 15:05,35635283,Whispers Of War,0,4.32071800,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210300340,Turffontein (RSA) 22nd Feb,To Be Placed,22-02-2023 16:50,45676329,Johnny Dogs,0,3.32500000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210300336,Turffontein (RSA) 22nd Feb,To Be Placed,22-02-2023 15:40,11078204,Light Of The Moon,0,3.10000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210300332,Turffontein (RSA) 22nd Feb,To Be Placed,22-02-2023 14:30,13676219,Skyjet,0,12.25000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210300334,Turffontein (RSA) 22nd Feb,To Be Placed,22-02-2023 15:05,24940187,Call Me Master,0,8.72260000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210300342,Turffontein (RSA) 22nd Feb,To Be Placed,22-02-2023 17:20,24399982,Johnny Hero,1,6.40000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210291839,Scottsville (RSA) 22nd Feb,To Be Placed,22-02-2023 14:40,39171354,Angelic Fort,0,11.51226264,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210291825,Scottsville (RSA) 22nd Feb,To Be Placed,22-02-2023 10:30,52845902,Sign Of Fate,1,2.79792013,1.0000,1.4820,1.00,1001.00,1.00,1001.00,705.20,0.00,0.00
210291835,Scottsville (RSA) 22nd Feb,To Be Placed,22-02-2023 13:30,38286527,El Dante,1,1.60739234,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210291825,Scottsville (RSA) 22nd Feb,To Be Placed,22-02-2023 10:30,46118278,Calling All Angels,1,1.66126366,1.0000,1.2692,1.00,1001.00,1.00,1001.00,1786.12,0.00,0.00
210291839,Scottsville (RSA) 22nd Feb,To Be Placed,22-02-2023 14:40,695897,Bright Star,0,6.85946520,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210300279,Turffontein (RSA) 22nd Feb,To Be Placed,22-02-2023 13:55,18834015,Nazare,1,1.72000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210291829,Scottsville (RSA) 22nd Feb,To Be Placed,22-02-2023 11:40,2520662,Blitzen,0,5.14931335,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210291829,Scottsville (RSA) 22nd Feb,To Be Placed,22-02-2023 11:40,46521165,Whiz Bang,0,6.44360449,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210291841,Scottsville (RSA) 22nd Feb,To Be Placed,22-02-2023 14:05,12609716,Ishnana,0,12.54981549,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210300348,Turffontein (RSA) 22nd Feb,To Be Placed,22-02-2023 18:55,41334825,No Time Is Taken,0,2.20000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210291829,Scottsville (RSA) 22nd Feb,To Be Placed,22-02-2023 11:40,45824995,Olverston,0,4.39831665,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210300344,Turffontein (RSA) 22nd Feb,To Be Placed,22-02-2023 17:50,17354761,Eagle Strike,0,5.75000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210300346,Turffontein (RSA) 22nd Feb,To Be Placed,22-02-2023 18:20,43230884,Aniara,0,3.06000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210300336,Turffontein (RSA) 22nd Feb,To Be Placed,22-02-2023 15:40,12942982,Litigation,1,1.60283578,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210291835,Scottsville (RSA) 22nd Feb,To Be Placed,22-02-2023 13:30,16257112,The Bayou,0,5.14981992,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210291839,Scottsville (RSA) 22nd Feb,To Be Placed,22-02-2023 14:40,46969193,Spirited Flight,0,21.96710666,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210300334,Turffontein (RSA) 22nd Feb,To Be Placed,22-02-2023 15:05,43717167,Good Council,0,2.08226192,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210300348,Turffontein (RSA) 22nd Feb,To Be Placed,22-02-2023 18:55,40049610,Time Is Ticking,0,3.00500000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
