event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
210342529,Gulfstream Park (US) 22nd Feb,R4 1m Claim,22-02-2023 18:38,45950765,Mursal,0,64.29593584,69.0258,1.0000,95.00,55.00,1000.00,29.00,0.00,300.98,81.92
210343579,Tampa Bay Downs (US) 22nd Feb,R2 6f Claim,22-02-2023 17:58,875011,Pony Girl,0,5.97166227,4.4221,1.0000,6.00,5.80,80.00,17.50,0.00,2315.30,1253.64
210343594,Tampa Bay Downs (US) 22nd Feb,R7 1m Mdn Claim,22-02-2023 20:14,173385,Rectangle,0,159.52684537,95.9649,1.0000,130.00,85.00,1000.00,65.00,0.00,82.85,58.24
210342544,Gulfstream Park (US) 22nd Feb,R9 1m Claim,22-02-2023 21:06,41527347,Father Glado,0,13.00000000,12.2589,8.9998,14.00,12.50,1.00,1001.00,5.00,963.59,408.60
210343009,Penn National (US) 22nd Feb,R1 1m1f Allw,22-02-2023 23:00,22378079,Pretty Good Year,0,8.36868723,7.2265,1.0000,8.80,7.80,280.00,11.00,0.00,1641.85,206.95
210343600,Tampa Bay Downs (US) 22nd Feb,R9 1m Mdn Claim,22-02-2023 21:15,51083753,El Burrito,0,75.00000000,59.0256,1.0000,120.00,50.00,1.00,1001.00,0.00,142.31,66.62
210343576,Tampa Bay Downs (US) 22nd Feb,R1 7f Mdn Claim,22-02-2023 17:28,51039569,Sortaria,0,6.24826700,3.5149,1.0000,5.40,4.60,1000.00,1000.00,0.00,2250.40,248.20
210343453,Philadelphia (US) 22nd Feb,R7 6f Claim,22-02-2023 19:43,24685554,J J Loves Billy,0,24.57095026,18.6009,1.0000,1.00,1001.00,1.00,1001.00,0.00,23.19,21.44
210342544,Gulfstream Park (US) 22nd Feb,R9 1m Claim,22-02-2023 21:06,45042961,One America,0,46.00000000,45.8626,1.0000,46.00,46.00,40.00,40.00,0.00,66.66,34.04
210342577,Delta Downs (US) 22nd Feb,R1 5f Mdn Claim,22-02-2023 23:20,47707967,Wistfully,0,2.90200459,1.6873,1.0000,2.82,2.58,1.00,1001.00,0.00,2712.99,351.31
210342529,Gulfstream Park (US) 22nd Feb,R4 1m Claim,22-02-2023 18:38,56221,Artifact,0,5.53087867,4.3261,1.0000,5.00,5.00,1000.00,1000.00,0.00,2139.41,1067.43
210343597,Tampa Bay Downs (US) 22nd Feb,R8 1m1f Claim,22-02-2023 20:45,28129626,In Honor Of Artie,0,146.10944447,95.3579,1.0000,150.00,50.00,500.00,500.00,0.00,190.51,75.01
210342541,Gulfstream Park (US) 22nd Feb,R8 7f Allw,22-02-2023 20:37,47223119,Sherlyn Go Go,0,6.40000000,5.1505,1.0000,7.00,5.40,1.00,1001.00,0.00,5706.56,396.79
210343579,Tampa Bay Downs (US) 22nd Feb,R2 6f Claim,22-02-2023 17:58,39914168,Bid Once,0,6.50643811,4.2084,1.0000,6.80,6.40,890.00,890.00,0.00,1547.19,228.91
210343009,Penn National (US) 22nd Feb,R1 1m1f Allw,22-02-2023 23:00,36923892,Grand Wiser,1,4.30000000,5.0236,1.0000,7.80,4.80,1.01,1.01,0.00,2766.65,2831.09
210343591,Tampa Bay Downs (US) 22nd Feb,R6 1m Mdn Claim,22-02-2023 19:47,42285186,Southern Civility,0,11.50000000,11.2716,1.0000,12.50,12.50,13.00,7.20,0.00,579.18,404.70
210342541,Gulfstream Park (US) 22nd Feb,R8 7f Allw,22-02-2023 20:37,46863900,Kikilove,0,4.26613708,3.1807,1.0000,4.30,4.20,10.50,10.50,0.00,3571.41,727.18
210342532,Gulfstream Park (US) 22nd Feb,R5 1m1f Claim,22-02-2023 19:08,42122405,Blutos Candy,0,8.12166579,6.8540,1.0000,8.80,7.20,890.00,890.00,0.00,1484.58,414.59
210343438,Philadelphia (US) 22nd Feb,R2 6f Claim,22-02-2023 17:22,41968063,Eminency,0,4.15448546,2.0422,1.0000,4.10,3.95,1.00,1001.00,0.00,1856.09,75.04
210343579,Tampa Bay Downs (US) 22nd Feb,R2 6f Claim,22-02-2023 17:58,40300911,Liking It Twisted,1,2.41138724,1.4063,1.0000,2.74,2.40,2.00,1.01,0.00,8354.75,5189.55
210342538,Gulfstream Park (US) 22nd Feb,R7 6f Claim,22-02-2023 20:07,15155252,Cheerful Charlie,0,17.50000000,16.3096,1.0000,17.00,13.50,1000.00,1000.00,0.00,574.56,41.54
210343444,Philadelphia (US) 22nd Feb,R4 1m Claim,22-02-2023 18:16,29286602,Fires Finale,0,5.00000000,3.8967,1.0000,5.80,5.00,890.00,890.00,0.00,2664.34,199.89
210342538,Gulfstream Park (US) 22nd Feb,R7 6f Claim,22-02-2023 20:07,49318137,Best Defense,0,3.87928338,2.7982,1.0000,4.40,3.65,1000.00,30.00,0.00,6530.22,441.57
210343588,Tampa Bay Downs (US) 22nd Feb,R5 6f Allw Claim,22-02-2023 19:20,19594678,Thatsafactjack,0,19.93588287,16.1453,1.0000,20.00,16.50,1000.00,13.00,0.00,723.38,680.82
210343591,Tampa Bay Downs (US) 22nd Feb,R6 1m Mdn Claim,22-02-2023 19:47,7613267,Lord Of The Nile,0,8.41743484,8.8135,1.0000,18.00,8.80,1.00,1001.00,0.00,2065.64,507.60
210343011,Penn National (US) 22nd Feb,R3 1m Claim,22-02-2023 23:58,41503406,Turns,0,20.00000000,13.9755,1.0000,23.00,20.00,1.00,1001.00,0.00,820.36,125.61
210342571,Turf Paradise (US) 22nd Feb,R7 6f Claim,22-02-2023 22:46,52421768,Unstoppable Me,0,54.51169845,38.3095,1.0000,65.00,21.00,1.00,1001.00,0.00,360.82,62.04
210343576,Tampa Bay Downs (US) 22nd Feb,R1 7f Mdn Claim,22-02-2023 17:28,51825301,Wifey Material,0,15.64113472,8.8228,1.0000,13.50,13.50,1.00,1001.00,0.00,863.60,199.62
210342520,Gulfstream Park (US) 22nd Feb,R1 1m Mdn Claim,22-02-2023 17:10,45451319,Doc Ballard,0,4.80000000,2.9445,1.0000,4.40,4.30,1.00,1001.00,0.00,2590.63,415.94
210343582,Tampa Bay Downs (US) 22nd Feb,R3 7f Claim,22-02-2023 18:26,24832945,Don H,0,70.00000000,27.1603,1.0000,80.00,28.00,1000.00,30.00,0.00,185.99,121.18
210342520,Gulfstream Park (US) 22nd Feb,R1 1m Mdn Claim,22-02-2023 17:10,51370124,Ponti Pride,1,9.84493070,8.6750,1.0000,17.00,8.80,1.04,1.01,0.00,2050.81,3500.34
