EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
211168137,Jebel Ali (UAE) 11th Mar,To Be Placed,11-03-2023 11:30,2523061,Kal Barg,0,1.07604559,1.1999,1.0000,1.00,1001.00,1.00,1001.00,0.00,48.10,30.00
211168147,Jebel Ali (UAE) 11th Mar,To Be Placed,11-03-2023 12:30,23955672,Celtic Voyager,0,10.99937244,1.2349,1.0000,1.00,1001.00,1.00,1001.00,0.00,151.04,2.00
211168147,Jebel Ali (UAE) 11th Mar,To Be Placed,11-03-2023 12:30,51602990,FastUno,0,14.20644243,8.5999,1.0000,1.00,1001.00,1.00,1001.00,0.00,2.00,2.00
211168157,Jebel Ali (UAE) 11th Mar,To Be Placed,11-03-2023 13:30,9306375,Untold Secret,0,39.00942246,2.8386,1.0000,1.00,1001.00,1.00,1001.00,0.00,19.52,2.00
211168157,Jebel Ali (UAE) 11th Mar,To Be Placed,11-03-2023 13:30,37243887,Anizzah,0,39.08533808,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,2.00
211168147,Jebel Ali (UAE) 11th Mar,To Be Placed,11-03-2023 12:30,40304171,Road Bloc,1,5.66406061,1.2433,1.0000,1.00,1001.00,1.00,1001.00,0.00,275.88,2.00
211168142,Jebel Ali (UAE) 11th Mar,To Be Placed,11-03-2023 12:00,50124660,Awasef,0,1.96000000,1.9182,1.0000,1.00,1001.00,1.00,1001.00,0.00,34.98,0.00
211168137,Jebel Ali (UAE) 11th Mar,To Be Placed,11-03-2023 11:30,965608,Kingdom Of Dreams,0,360.00000000,3.4499,1.0000,1.00,1001.00,1.00,1001.00,0.00,6.00,0.04
211168152,Jebel Ali (UAE) 11th Mar,To Be Placed,11-03-2023 13:00,39258107,Andreas Vesalius,0,9.26200870,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,4.00
211168152,Jebel Ali (UAE) 11th Mar,To Be Placed,11-03-2023 13:00,9395770,Secret Ambition,1,4.93439171,4.4799,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.60,11.40
211168152,Jebel Ali (UAE) 11th Mar,To Be Placed,11-03-2023 13:00,40503543,Ribhi,0,9.62424542,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,4.00
211168152,Jebel Ali (UAE) 11th Mar,To Be Placed,11-03-2023 13:00,7294220,Island Rule,0,4.37215449,4.4759,1.0000,1.00,1001.00,1.00,1001.00,0.00,10.00,4.00
211168157,Jebel Ali (UAE) 11th Mar,To Be Placed,11-03-2023 13:30,40693505,Tangled Words,0,3.25436947,3.9999,1.0000,1.00,1001.00,1.00,1001.00,0.00,10.00,2.00
211168142,Jebel Ali (UAE) 11th Mar,To Be Placed,11-03-2023 12:00,53387279,Shadeedah,0,4.40000000,4.2174,1.0000,1.00,1001.00,1.00,1001.00,0.00,4.00,0.00
211168157,Jebel Ali (UAE) 11th Mar,To Be Placed,11-03-2023 13:30,24244514,Meqdam,0,2.43366012,2.6959,1.0000,1.00,1001.00,1.00,1001.00,0.00,18.36,2.00
211168142,Jebel Ali (UAE) 11th Mar,To Be Placed,11-03-2023 12:00,50124661,Bijjlee,0,5.80000000,5.7936,1.0000,1.00,1001.00,1.00,1001.00,0.00,2.22,2.00
211168137,Jebel Ali (UAE) 11th Mar,To Be Placed,11-03-2023 11:30,18389752,Sikorsky,1,1.88000000,2.4000,1.0000,1.00,1001.00,1.00,1001.00,0.00,4.00,0.00
211168152,Jebel Ali (UAE) 11th Mar,To Be Placed,11-03-2023 13:00,11238587,Rodaini,0,9.70636075,4.5998,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.22,2.00
