EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
211822030,Fonner Park (US) 24th Mar,R4 6f Allw,24-03-2023 21:21,40570257,Trouble In Red,0,17.00000000,14.4483,1.0000,19.50,17.00,1.00,1001.00,0.00,215.55,23.20
211783957,Laurel Park (US) 24th Mar,R1 1m Claim,24-03-2023 16:25,41150871,Icy Minister,1,2.00000000,1.0655,1.0000,1.97,1.97,1.00,1001.00,0.00,2741.51,2052.97
211783672,Aqueduct (US) 24th Mar,R4 7f Allw,24-03-2023 18:55,41411099,Amedeus Music,0,36.00000000,20.5217,1.0000,32.00,25.00,55.00,55.00,0.00,312.21,49.67
211784592,Golden Gate Fields (US) 24th Mar,R2 6f Claim,24-03-2023 20:47,41879655,Tiz A Thrill,0,14.52100067,10.3386,1.0000,15.50,12.00,1.00,1001.00,0.00,1410.75,341.43
211822029,Fonner Park (US) 24th Mar,R3 6f Claim,24-03-2023 20:54,15345995,Speedy Fellar,0,3.01029493,2.3576,1.0000,3.70,3.20,1000.00,1000.00,0.00,1839.27,752.63
211784584,Sam Houston (US) 24th Mar,R6 1m Claim,24-03-2023 20:24,39616697,Wohlgemuth,0,2.49934148,1.9818,1.0000,1.00,1001.00,3.75,3.75,0.00,649.58,883.14
211784164,Gulfstream Park (US) 24th Mar,R1 1m1f Mdn Claim,24-03-2023 16:40,45929153,Catchhimandfreehim,0,50.00000000,34.6139,1.0000,48.00,36.00,400.00,400.00,0.00,162.10,41.93
211784167,Gulfstream Park (US) 24th Mar,R2 6f Claim,24-03-2023 17:09,24832945,Don H,0,336.49791247,179.9777,1.0000,290.00,110.00,1000.00,630.00,0.00,35.49,15.75
211785235,Charles Town (US) 24th Mar,R1 7f Claim,24-03-2023 23:00,48087790,Golden Sally,0,27.00835396,25.9865,1.0000,1.00,1001.00,1.00,1001.00,0.00,142.36,30.51
211784176,Gulfstream Park (US) 24th Mar,R5 1m Mdn Claim,24-03-2023 18:38,48709833,No Wasabi For Me,0,23.78010008,16.8641,1.0000,26.00,17.50,11.00,11.00,0.00,691.17,165.77
211746946,Charles Town (US) 23rd Mar,R7 5f Claim,24-03-2023 01:49,36260659,Include The Beast,0,2.33926806,1.1882,2.1305,2.46,2.26,1.00,1001.00,10499.99,9909.69,590.30
211783480,Tampa Bay Downs (US) 24th Mar,R9 1m Claim,24-03-2023 20:30,41063505,Duke Skywalker,0,36.00000000,26.3762,1.0000,1.00,1001.00,1.00,1001.00,0.00,38.63,92.67
211783663,Aqueduct (US) 24th Mar,R1 6f Claim,24-03-2023 17:20,35482166,Money Mike,0,16.00000000,14.0532,1.0000,17.00,14.00,1.00,1001.00,0.00,402.60,129.17
211746946,Charles Town (US) 23rd Mar,R7 5f Claim,24-03-2023 01:49,27099762,Oneprettything,0,50.00000000,36.5963,37.3451,70.00,38.00,1.00,1001.00,241.13,232.66,8.47
211784610,Golden Gate Fields (US) 24th Mar,R8 1m Claim,24-03-2023 23:52,50178112,Condorcat,0,10.50000000,9.7951,1.0000,14.50,10.00,19.50,12.50,0.00,1995.95,502.65
211822027,Fonner Park (US) 24th Mar,R1 4f Mdn,24-03-2023 20:00,53458062,Champagne Channel,0,23.82168378,13.5035,1.0000,1.00,1001.00,1.00,1001.00,0.00,270.44,8.74
211783672,Aqueduct (US) 24th Mar,R4 7f Allw,24-03-2023 18:55,35751830,Forty Two Ace,0,6.04794226,4.7429,1.0000,6.40,6.00,1.00,1001.00,0.00,2471.94,353.47
211784598,Golden Gate Fields (US) 24th Mar,R4 6f Claim,24-03-2023 21:50,41682540,Spun Beautiful,0,3.15000000,1.7449,1.0000,3.25,2.82,1.00,1001.00,0.00,7236.12,538.30
211746945,Charles Town (US) 23rd Mar,R6 7f Claim,24-03-2023 01:21,32708532,Gandhis Orion,0,8.25147392,7.2858,6.2006,9.80,7.00,1.00,1001.00,3432.59,2314.63,448.99
211784595,Golden Gate Fields (US) 24th Mar,R3 1m Claim,24-03-2023 21:18,47279993,Reluctant,0,5.67361640,5.4890,1.0000,7.40,5.80,1.00,1001.00,0.00,3843.65,570.13
211784610,Golden Gate Fields (US) 24th Mar,R8 1m Claim,24-03-2023 23:52,48159648,Its Thievery,0,3.87486153,2.4770,1.0000,4.30,3.80,240.00,3.75,0.00,5348.87,524.40
211783972,Laurel Park (US) 24th Mar,R6 6f Mdn Claim,24-03-2023 18:52,53955431,Nami,0,9.20000000,6.8933,1.0000,8.40,8.40,1.00,1001.00,0.00,620.36,97.97
211785235,Charles Town (US) 24th Mar,R1 7f Claim,24-03-2023 23:00,46863883,Appealing Road,0,4.52606126,3.5811,1.0000,4.80,4.80,3.80,3.80,0.00,1045.72,353.43
211783669,Aqueduct (US) 24th Mar,R3 7f Mdn Claim,24-03-2023 18:20,49281007,Maize Loved Laffy,0,148.36232145,99.6933,1.0000,120.00,100.00,160.00,150.00,0.00,31.77,30.02
211783981,Laurel Park (US) 24th Mar,R9 1m Mdn Claim,24-03-2023 20:23,48880952,Poppy B,0,42.98763158,34.6639,1.0000,65.00,38.00,1.00,1001.00,0.00,492.07,77.24
211746934,Penn National (US) 23rd Mar,R6 6f Claim,24-03-2023 00:26,7314706,Act Of Valor,0,16.71494515,14.5361,12.9521,1.00,1001.00,1.00,1001.00,358.62,218.10,30.73
211784610,Golden Gate Fields (US) 24th Mar,R8 1m Claim,24-03-2023 23:52,48734898,Effective Gig,0,22.22521608,15.9658,1.0000,24.00,19.50,1.00,1001.00,0.00,740.73,183.34
211783957,Laurel Park (US) 24th Mar,R1 1m Claim,24-03-2023 16:25,43898737,No Me Digas,0,13.80239796,12.9748,1.0000,16.00,16.00,1.00,1001.00,0.00,548.55,85.34
211783981,Laurel Park (US) 24th Mar,R9 1m Mdn Claim,24-03-2023 20:23,48988079,Your Analysis,1,1.64319964,0.5635,1.0000,1.68,1.58,1.80,1.01,0.00,17631.87,7744.10
211784586,Sam Houston (US) 24th Mar,R8 7f Claim,24-03-2023 21:20,21217697,Crocodile Jacques,0,160.86791770,31.8868,1.0000,95.00,75.00,90.00,90.00,0.00,58.32,41.92
