EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
213151055,Strasbourg (FRA) 21st Apr,To Be Placed,21-04-2023 12:05,23845653,Belhom De Juilley,1,1.92000000,1.0000,1.5919,1.00,1001.00,1.00,1001.00,619.18,0.00,0.00
213151059,Strasbourg (FRA) 21st Apr,To Be Placed,21-04-2023 13:17,26359894,Maurren,0,12.95000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
213151057,Strasbourg (FRA) 21st Apr,To Be Placed,21-04-2023 12:40,50324709,Henrietta Black,0,12.00000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
213151008,Saint-Cloud (FRA) 21st Apr,To Be Placed,21-04-2023 16:30,52983261,Soka Dans,0,34.00000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
213151002,Saint-Cloud (FRA) 21st Apr,To Be Placed,21-04-2023 14:10,21725095,Lasair,0,1.21000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
213151053,Strasbourg (FRA) 21st Apr,To Be Placed,21-04-2023 11:35,52983260,Botteci,0,65.00000000,1.0000,9.9302,1.00,1001.00,1.00,1001.00,1.72,0.00,0.00
213151061,Strasbourg (FRA) 21st Apr,To Be Placed,21-04-2023 13:52,24631879,Moremi,1,1.78000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
213151002,Saint-Cloud (FRA) 21st Apr,To Be Placed,21-04-2023 14:10,54975104,The Cats,1,4.44742409,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
213150992,Saint-Cloud (FRA) 21st Apr,To Be Placed,21-04-2023 12:25,4818389,My Lord,0,15.50000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
213150996,Saint-Cloud (FRA) 21st Apr,To Be Placed,21-04-2023 13:00,44683190,La Fille Du Sud,0,9.80000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
213151057,Strasbourg (FRA) 21st Apr,To Be Placed,21-04-2023 12:40,52675533,Triomphe De Maine,0,28.00000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
213151061,Strasbourg (FRA) 21st Apr,To Be Placed,21-04-2023 13:52,332144,Perfect Liaison,0,3.11978977,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
