EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
214217031,Stawell (AUS) 16th May,R4 1850m Mdn,16-05-2023 05:30,55859614,6. Walk In The Woods,0,3.34471943,3.2715,3.2401,4.80,3.35,4.90,4.90,23278.28,20639.87,2638.41
214217043,Stawell (AUS) 16th May,R7 1100m Hcap,16-05-2023 07:00,36685671,13. In The Sun,0,198.19770498,184.7597,53.1675,360.00,90.00,250.00,16.00,1026.93,180.01,663.31
214220117,Gloucester Park (AUS) 16th May,R4 2130m Pace M,16-05-2023 11:59,35621215,5. Sorridere,1,19.74446077,13.1633,12.3535,14.00,12.00,100.00,100.00,1125.77,1361.18,1581.04
214220760,Swan Hill (AUS) 16th May,R6 1750m Pace M,16-05-2023 10:34,36794900,1. Fightnfury,0,8.24629224,8.8315,6.0145,10.00,8.40,960.00,960.00,3687.91,1719.18,541.86
214214881,Port Macquarie (AUS) 16th May,R3 1200m Mdn,16-05-2023 03:55,55859642,4. Diva Carolina,0,1.85282683,1.6213,1.5987,1.98,1.53,1.61,1.61,36366.66,32149.89,4216.77
214220123,Gloucester Park (AUS) 16th May,R6 2536m Pace M,16-05-2023 13:00,8886670,5. Mister Ardee,0,4.70078553,6.2802,1.0000,9.00,5.20,60.00,2.48,0.00,3684.36,1243.98
214217047,Stawell (AUS) 16th May,R8 1300m Hcap,16-05-2023 07:30,55859630,14. Little Schnitty,0,18.57560605,14.2183,11.9993,22.00,14.50,8.40,7.20,4611.01,3439.50,1171.51
214214885,Port Macquarie (AUS) 16th May,R5 1000m Mdn,16-05-2023 05:10,55859654,5. Rommels Wolf,1,9.78021233,10.7112,8.5983,17.00,9.40,4.00,4.00,4872.73,3704.06,762.26
214217035,Stawell (AUS) 16th May,R5 1850m Hcap,16-05-2023 06:00,49460223,6. Peshwa,0,6.60000000,5.2540,5.0966,7.00,5.80,1.00,1001.00,9894.60,9025.77,868.83
214219799,Wagga (AUS) 16th May,R4 1740m Pace M,16-05-2023 09:42,37904309,8. The Banker,0,17.00000000,18.2416,20.6775,26.00,15.50,1000.00,970.00,782.98,583.09,74.58
