EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
214048765,ParisLongchamp (FRA) 11th May,1m1f Hcap,11-05-2023 17:35,41420696,Zelzalita,0,24.00000000,18.6949,1.0000,17.00,17.00,1.00,1001.00,0.00,84.02,20.23
214048769,ParisLongchamp (FRA) 11th May,1m7f Hcap,11-05-2023 18:40,45849304,Jolly Gold,0,14.48134777,11.4098,1.0000,1.00,1001.00,1.00,1001.00,0.00,650.40,39.10
214048761,ParisLongchamp (FRA) 11th May,5f Stks,11-05-2023 16:18,125468,Balsam,0,11.02991679,10.5639,1.0000,13.00,9.40,1.00,1001.00,0.00,1550.93,94.08
214048769,ParisLongchamp (FRA) 11th May,1m7f Hcap,11-05-2023 18:40,44563916,York Town,1,21.00000000,19.1478,1.0000,1.00,1001.00,1.00,1001.00,0.00,112.27,685.61
214048771,ParisLongchamp (FRA) 11th May,1m3f Claim,11-05-2023 19:10,36969516,Cogolin,0,19.84702376,12.7805,1.0000,17.00,16.50,1000.00,1000.00,0.00,821.44,14.14
214048771,ParisLongchamp (FRA) 11th May,1m3f Claim,11-05-2023 19:10,27224906,Kaptain Nordik,0,14.96177886,14.6124,1.0000,16.00,14.50,12.00,12.00,0.00,827.59,93.29
214048763,ParisLongchamp (FRA) 11th May,1m1f Hcap,11-05-2023 17:00,28454340,Highbari,0,5.34634463,4.8906,1.0000,5.20,4.60,3.40,2.96,0.00,2945.82,482.25
214048763,ParisLongchamp (FRA) 11th May,1m1f Hcap,11-05-2023 17:00,12152202,Lou Man,0,20.91108992,19.1345,1.0000,23.00,23.00,1.00,1001.00,0.00,105.92,24.69
214048773,ParisLongchamp (FRA) 11th May,1m Cond,11-05-2023 19:40,33672147,Avrilomanoir,0,14.50000000,13.3702,1.0000,14.50,13.00,1.00,1001.00,0.00,647.55,26.46
214048765,ParisLongchamp (FRA) 11th May,1m1f Hcap,11-05-2023 17:35,10514670,Reventador,0,3.17784289,4.0249,1.0000,4.50,3.25,1.00,1001.00,0.00,2085.98,117.66
214048763,ParisLongchamp (FRA) 11th May,1m1f Hcap,11-05-2023 17:00,3834572,Eaglehawk,0,32.00000000,36.9971,1.0000,38.00,38.00,540.00,540.00,0.00,42.96,13.62
214048761,ParisLongchamp (FRA) 11th May,5f Stks,11-05-2023 16:18,53915070,Cuncerta,0,40.00000000,31.4072,1.0000,38.00,17.00,1.00,1001.00,0.00,150.18,39.78
214048761,ParisLongchamp (FRA) 11th May,5f Stks,11-05-2023 16:18,53997669,Zorken,1,4.10014801,4.3461,1.0000,3.95,3.95,1.00,1001.00,0.00,1782.70,793.59
214048769,ParisLongchamp (FRA) 11th May,1m7f Hcap,11-05-2023 18:40,42821711,Salline De Horable,0,9.79637086,8.6217,1.0000,9.40,9.20,1.00,1001.00,0.00,350.52,20.64
214048773,ParisLongchamp (FRA) 11th May,1m Cond,11-05-2023 19:40,11896453,Dylan Dancing,0,39.36722920,32.1889,1.0000,38.00,29.00,1.00,1001.00,0.00,208.49,9.87
214048769,ParisLongchamp (FRA) 11th May,1m7f Hcap,11-05-2023 18:40,50778327,La Galopine,0,23.00000000,18.1684,1.0000,1.00,1001.00,1.00,1001.00,0.00,199.26,23.11
214048765,ParisLongchamp (FRA) 11th May,1m1f Hcap,11-05-2023 17:35,40083650,Rihama,0,10.87289336,11.2956,1.0000,1.00,1001.00,1.00,1001.00,0.00,414.89,40.58
214048773,ParisLongchamp (FRA) 11th May,1m Cond,11-05-2023 19:40,27792038,Welcome Moon,0,6.64175232,7.4752,1.0000,7.60,7.00,1000.00,1000.00,0.00,1270.50,43.29
214048769,ParisLongchamp (FRA) 11th May,1m7f Hcap,11-05-2023 18:40,41643404,Ante Post,0,3.92246445,3.9023,1.0000,4.50,3.35,1.00,1001.00,0.00,2779.72,257.10
214048763,ParisLongchamp (FRA) 11th May,1m1f Hcap,11-05-2023 17:00,46905078,Tollevast,0,20.45226898,21.5959,1.0000,26.00,26.00,1.00,1001.00,0.00,104.60,77.01
214048763,ParisLongchamp (FRA) 11th May,1m1f Hcap,11-05-2023 17:00,26389631,You Rock,0,16.11089435,12.3895,1.0000,18.00,18.00,1.00,1001.00,0.00,491.13,24.62
214048765,ParisLongchamp (FRA) 11th May,1m1f Hcap,11-05-2023 17:35,36106158,Nerokas,0,7.60000000,7.1447,1.0000,1.00,1001.00,1.00,1001.00,0.00,604.79,64.51
214048765,ParisLongchamp (FRA) 11th May,1m1f Hcap,11-05-2023 17:35,20378447,Vesinaba,0,16.00000000,15.6736,1.0000,1.00,1001.00,1.00,1001.00,0.00,53.12,17.14
214048767,ParisLongchamp (FRA) 11th May,1m2f Stks,11-05-2023 18:10,53915082,Broadfield,1,1.85887122,1.9801,1.0000,2.70,1.80,1.75,1.75,0.00,14450.87,2888.13
214048773,ParisLongchamp (FRA) 11th May,1m Cond,11-05-2023 19:40,25911605,Wheel Of Chance,0,28.91665626,30.0829,1.0000,34.00,28.00,1.00,1001.00,0.00,99.72,42.53
214048763,ParisLongchamp (FRA) 11th May,1m1f Hcap,11-05-2023 17:00,1189533,Port Au Prince,0,300.65831091,98.6098,1.0000,1.00,1001.00,1.00,1001.00,0.00,2.52,9.05
214048769,ParisLongchamp (FRA) 11th May,1m7f Hcap,11-05-2023 18:40,44509399,Kobido,0,75.00000000,49.7771,1.0000,110.00,55.00,1.00,1001.00,0.00,54.30,13.78
214048761,ParisLongchamp (FRA) 11th May,5f Stks,11-05-2023 16:18,12815517,Tanis,0,45.87818012,28.4777,1.0000,30.00,23.00,1.00,1001.00,0.00,162.68,11.88
214048767,ParisLongchamp (FRA) 11th May,1m2f Stks,11-05-2023 18:10,54111820,High Record,0,5.20000000,5.0794,1.0000,5.80,4.20,5.00,5.00,0.00,2163.52,408.81
214048767,ParisLongchamp (FRA) 11th May,1m2f Stks,11-05-2023 18:10,25388462,Not Alone,0,9.00000000,6.5029,1.0000,1.00,1001.00,1.00,1001.00,0.00,976.11,80.58
214048771,ParisLongchamp (FRA) 11th May,1m3f Claim,11-05-2023 19:10,22201901,Royal Monarch,0,10.50000000,8.0643,1.0000,7.80,7.00,1.00,1001.00,0.00,1664.54,39.63
214048763,ParisLongchamp (FRA) 11th May,1m1f Hcap,11-05-2023 17:00,13556892,Kabir,0,23.01771598,18.6175,1.0000,22.00,17.00,14.00,13.00,0.00,387.52,297.50
214048771,ParisLongchamp (FRA) 11th May,1m3f Claim,11-05-2023 19:10,21835646,Kayrat,0,22.00000000,19.8966,1.0000,21.00,17.50,1.00,1001.00,0.00,816.61,26.84
214048773,ParisLongchamp (FRA) 11th May,1m Cond,11-05-2023 19:40,35297621,Noble Amber,0,10.30886761,14.6896,1.0000,18.00,13.00,1.00,1001.00,0.00,1090.90,160.64
214048763,ParisLongchamp (FRA) 11th May,1m1f Hcap,11-05-2023 17:00,40435206,Bevan,1,6.38672821,8.3168,1.0000,8.80,7.00,6.00,5.40,0.00,1312.96,1938.55
214048773,ParisLongchamp (FRA) 11th May,1m Cond,11-05-2023 19:40,38688973,Lair Du Temps,0,9.42626190,13.1984,1.0000,17.50,10.00,1.00,1001.00,0.00,1147.79,50.46
214048773,ParisLongchamp (FRA) 11th May,1m Cond,11-05-2023 19:40,39459005,Sanpedro,0,40.33709750,37.6897,1.0000,40.00,34.00,1.00,1001.00,0.00,133.59,127.54
214048763,ParisLongchamp (FRA) 11th May,1m1f Hcap,11-05-2023 17:00,38768236,Ugotthelook,0,16.70682577,15.9656,1.0000,1.00,1001.00,1.00,1001.00,0.00,109.74,53.87
214048773,ParisLongchamp (FRA) 11th May,1m Cond,11-05-2023 19:40,44234155,Grain De Poussiere,0,31.90075965,28.9859,1.0000,30.00,29.00,1.00,1001.00,0.00,82.94,18.82
214048761,ParisLongchamp (FRA) 11th May,5f Stks,11-05-2023 16:18,5707866,The Fixer,0,1.64094320,1.6898,1.0000,1.80,1.63,1.00,1001.00,0.00,10663.65,675.56
214048767,ParisLongchamp (FRA) 11th May,1m2f Stks,11-05-2023 18:10,51054697,Taybet,0,6.80425323,5.9792,1.0000,1.00,1001.00,110.00,110.00,0.00,1243.63,67.18
214048773,ParisLongchamp (FRA) 11th May,1m Cond,11-05-2023 19:40,48617364,Polminhac,0,19.00000000,19.1221,1.0000,1.00,1001.00,1.00,1001.00,0.00,120.57,20.05
214048763,ParisLongchamp (FRA) 11th May,1m1f Hcap,11-05-2023 17:00,36745515,Fayona,0,22.00000000,23.0842,1.0000,27.00,21.00,1.00,1001.00,0.00,817.18,15.07
214048773,ParisLongchamp (FRA) 11th May,1m Cond,11-05-2023 19:40,40104407,Red Crazy,0,71.66165891,56.8079,1.0000,75.00,70.00,1.00,1001.00,0.00,50.64,15.49
214048763,ParisLongchamp (FRA) 11th May,1m1f Hcap,11-05-2023 17:00,38400988,Gagarins Moon,0,38.00000000,36.9928,1.0000,40.00,40.00,720.00,710.00,0.00,56.46,59.26
214048773,ParisLongchamp (FRA) 11th May,1m Cond,11-05-2023 19:40,4813806,Alfieri,0,36.00000000,35.0595,1.0000,42.00,36.00,1.00,1001.00,0.00,133.08,21.43
214048771,ParisLongchamp (FRA) 11th May,1m3f Claim,11-05-2023 19:10,23202934,La Barillette,0,36.00000000,32.4167,1.0000,40.00,30.00,1.00,1001.00,0.00,136.23,12.32
214048765,ParisLongchamp (FRA) 11th May,1m1f Hcap,11-05-2023 17:35,16465719,El Manifico,0,7.60000000,5.2179,1.0000,1.00,1001.00,1.00,1001.00,0.00,887.87,101.71
214048763,ParisLongchamp (FRA) 11th May,1m1f Hcap,11-05-2023 17:00,328273,African Grey,0,7.05589991,5.9503,1.0000,1.00,1001.00,5.80,5.80,0.00,634.26,165.18
214048761,ParisLongchamp (FRA) 11th May,5f Stks,11-05-2023 16:18,53777903,Loyal Prince,0,110.00000000,77.0198,1.0000,120.00,55.00,1.00,1001.00,0.00,125.19,18.07
214048765,ParisLongchamp (FRA) 11th May,1m1f Hcap,11-05-2023 17:35,43381374,Banana Shot,0,130.54738262,100.4581,1.0000,290.00,55.00,1.00,1001.00,0.00,37.75,20.77
214048773,ParisLongchamp (FRA) 11th May,1m Cond,11-05-2023 19:40,15247510,Delta Spirit,0,4.51598137,5.7995,1.0000,5.60,5.50,1.00,1001.00,0.00,1956.26,102.10
