EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
220506974,Dundalk 1st Nov,1m4f Hcap,01-11-2023 17:05,46457278,Cara Susanna,0,36.51846037,25.7436,15.2126,36.00,13.00,1000.00,46.00,54.56,3538.52,441.23
220506974,Dundalk 1st Nov,1m4f Hcap,01-11-2023 17:05,65838,Brave Thought,0,130.00000000,148.6612,1.0000,250.00,100.00,1000.00,50.00,0.00,656.98,253.78
220506949,Dundalk 1st Nov,1m Hcap,01-11-2023 14:30,35973830,The Bog Bank,0,11.62696560,12.4905,9.2899,16.00,10.00,1000.00,8.20,127.08,15449.24,3483.59
220608987,Dundalk 1st Nov,1m4f Hcap,01-11-2023 17:35,44665384,Grey Fable,0,9.90311183,10.7499,1.0000,15.50,9.00,1000.00,5.20,0.00,6963.86,2714.13
220506944,Dundalk 1st Nov,1m Stks,01-11-2023 14:00,58286407,Dumb Love,0,4.30000000,4.0874,5.2490,4.60,3.48,1000.00,4.00,700.74,41867.50,4399.11
220506944,Dundalk 1st Nov,1m Stks,01-11-2023 14:00,36857427,Mads Black Eights,0,50.00000000,38.8188,20.2088,60.00,19.00,570.00,38.00,39.92,2086.26,428.14
220506959,Dundalk 1st Nov,7f Mdn,01-11-2023 15:30,5439157,Hallowed,0,36.85988677,27.2580,19.7097,38.00,21.00,1000.00,34.00,95.92,3649.43,549.31
220506974,Dundalk 1st Nov,1m4f Hcap,01-11-2023 17:05,55581600,Fairytale Princess,1,2.11535275,2.3497,3.9091,3.75,2.12,2.06,1.01,282.73,124555.35,44816.26
220506974,Dundalk 1st Nov,1m4f Hcap,01-11-2023 17:05,6469401,Nomenclature,0,81.95166632,62.1021,1.0000,90.00,48.00,600.00,36.00,0.00,1151.47,373.84
220506964,Dundalk 1st Nov,7f Hcap,01-11-2023 16:00,847175,Contradanza,0,162.71128829,117.4732,122.2379,180.00,60.00,1000.00,30.00,11.06,1374.15,456.63
220506944,Dundalk 1st Nov,1m Stks,01-11-2023 14:00,33142,Pinball Wizard,0,8.66794030,9.5436,17.6443,14.03,7.40,1000.00,6.80,44.18,12684.03,3047.46
220608987,Dundalk 1st Nov,1m4f Hcap,01-11-2023 17:35,36324313,Maralinga,0,4.90931912,4.6764,1.0000,5.80,3.40,1000.00,6.00,0.00,36733.35,6750.23
220506969,Dundalk 1st Nov,7f Hcap,01-11-2023 16:35,28760036,Stop On Red,0,18.00000000,13.5033,15.4786,20.00,12.50,600.00,12.50,193.55,9707.57,1206.33
220506969,Dundalk 1st Nov,7f Hcap,01-11-2023 16:35,45172591,Havana Notion,0,4.46168713,5.9214,25.9770,21.00,3.85,1000.00,2.16,1.00,36913.74,12674.35
220506959,Dundalk 1st Nov,7f Mdn,01-11-2023 15:30,60193825,Celestial Reign,0,44.38387774,38.0172,25.3847,55.00,28.00,1000.00,21.00,100.34,2324.80,716.54
220506964,Dundalk 1st Nov,7f Hcap,01-11-2023 16:00,53920049,Tip The Can,0,50.00000000,52.0607,28.9043,65.00,44.00,1000.00,65.00,16.60,2100.66,270.78
220506944,Dundalk 1st Nov,1m Stks,01-11-2023 14:00,31776626,Rocky Dreams,0,12.50000000,12.1182,12.9696,14.50,11.00,1000.00,21.00,105.64,6711.92,1538.90
220506949,Dundalk 1st Nov,1m Hcap,01-11-2023 14:30,41411043,Albion Princess,0,80.00000000,57.6997,37.7992,110.00,19.50,70.00,42.00,61.94,2671.13,375.00
220506949,Dundalk 1st Nov,1m Hcap,01-11-2023 14:30,49278648,Dromantine,0,9.04856569,12.5037,9.4681,18.50,8.60,1000.00,8.00,145.98,9953.56,2987.75
220506944,Dundalk 1st Nov,1m Stks,01-11-2023 14:00,6567659,Zahee,0,65.00000000,54.4102,34.6118,75.00,43.43,170.00,80.00,27.06,1695.82,249.69
220506949,Dundalk 1st Nov,1m Hcap,01-11-2023 14:30,40615567,Rockbury Lad,0,9.71497470,10.0289,7.3731,11.00,6.80,1000.00,2.22,239.72,11963.51,7156.72
