EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
220562346,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 23:25,36364332,Motorious,0,1.85000000,1.9105,1.0000,2.14,1.76,1.00,1001.00,0.00,11178.54,36.37
220562346,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 23:25,5629758,Aesops Fables,1,3.03550056,3.1608,3.0499,3.30,2.88,1.00,1001.00,8.00,4887.38,347.31
220562306,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 17:50,1310379,California Bay,0,50.00000000,36.6006,1.0000,1.00,1001.00,1.00,1001.00,0.00,25.07,23.79
220562341,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 22:40,861712,Bright Future,0,4.20000000,4.5452,1.0000,4.90,4.40,1.00,1001.00,0.00,2445.38,91.84
220562346,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 23:25,25426870,Gear Jockey,0,15.23950225,16.1021,1.0000,1.00,1001.00,1.00,1001.00,0.00,326.98,11.97
220562321,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 19:50,52322110,Clearly Unhinged,0,6.40000000,6.0924,1.0000,1.00,1001.00,1.00,1001.00,0.00,570.79,31.30
220562316,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 19:10,40485603,Mckulick,0,11.06744340,10.5330,1.0000,12.00,11.00,1.00,1001.00,0.00,703.05,44.84
220562326,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 20:30,28702268,Master Of The Seas,1,1.83586488,2.0599,2.3823,2.50,2.10,2.30,2.30,26.00,6558.77,410.85
220562346,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 23:25,2463391,Caravel,0,3.01426161,3.0729,2.5199,3.15,2.62,1.00,1001.00,6.00,2518.39,163.40
220562341,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 22:40,54794491,Saudi Crown,0,3.15000000,2.8781,3.1574,2.98,2.70,5.00,5.00,6.00,4192.30,176.21
220562306,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 17:50,13193020,Reincarnate,0,3.10000000,3.2337,1.0000,3.05,3.00,1.00,1001.00,0.00,1409.96,50.47
220562336,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 21:50,6942595,Shahryar,1,5.96609239,6.4585,4.0499,6.80,6.00,1.00,1001.00,8.00,1756.14,473.25
220562346,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 23:25,45292626,Roses For Debra,0,3.19090401,3.2842,5.9999,3.35,3.20,1.00,1001.00,6.00,3107.60,140.00
220562341,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 22:40,16786321,Proxy,1,4.50000000,4.8954,1.0000,5.20,4.70,1.00,1001.00,0.00,2448.06,53.71
220562316,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 19:10,10107185,Warm Heart,1,1.62469059,1.7511,1.5999,1.81,1.63,1.00,1001.00,106.50,12153.68,929.69
220562321,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 19:50,137439,Society,0,1.65000000,1.6515,1.7999,1.80,1.60,1.00,1001.00,4.00,7002.43,335.26
220562316,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 19:10,8061354,Fev Rover,0,7.20000000,6.2321,3.5812,6.80,6.00,1.00,1001.00,18.10,1965.91,60.23
220562316,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 19:10,47704262,Lumiere Rock,0,5.10000000,5.5943,1.0000,5.70,5.50,1.00,1001.00,0.00,1099.00,110.13
220562316,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 19:10,524501,State Occasion,0,9.93162886,12.2237,7.9998,17.00,10.00,1.00,1001.00,4.00,1498.30,127.16
220562331,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 21:10,48778093,Hoosier Philly,0,10.50000000,10.7673,1.0000,11.50,10.00,1.00,1001.00,0.00,595.67,16.34
220562316,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 19:10,46208302,Win Marilyn,0,14.09019554,13.8723,1.0000,18.50,8.60,1.00,1001.00,0.00,832.10,101.17
220562316,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 19:10,39982801,Inspiral,1,1.79475990,1.7438,1.0000,3.50,1.63,1.07,1.07,0.00,10031.89,526.12
220562311,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 18:30,42433734,Zozos,0,1.84072498,1.7049,1.3499,1.83,1.81,1.00,1001.00,10.42,5660.38,84.49
220562311,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 18:30,39682367,Codys Wish,1,1.15338054,1.1296,1.1499,1.16,1.16,1.00,1001.00,15.82,9851.33,198.66
220562326,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 20:30,28261819,Win Carnelian,0,7.24790711,7.8979,1.0000,8.20,6.80,1.00,1001.00,0.00,1606.84,93.52
220562326,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 20:30,43403824,Gina Romantica,0,2.78923920,3.2240,1.0000,1.00,1001.00,1.00,1001.00,0.00,2850.70,78.24
220562326,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 20:30,12666,Astronomer,0,11.50000000,11.2559,1.0000,13.00,11.00,1.00,1001.00,0.00,1076.60,19.56
220562311,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 18:30,38277686,Stage Raider,0,5.10000000,4.0261,1.0000,5.00,5.00,1.00,1001.00,0.00,1303.80,63.92
220562331,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 21:10,35811959,Le Da Vida,1,4.98658182,5.0246,1.0000,6.40,4.70,4.10,4.10,0.00,3316.78,91.53
220562321,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 19:50,40616222,Matareya,0,2.42000000,2.5731,2.5599,2.64,2.60,1.00,1001.00,6.00,2719.73,159.48
220562336,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 21:50,45501362,Auguste Rodin,1,1.61353585,1.5192,1.5499,1.78,1.38,1.10,1.10,13.24,20458.77,963.84
220562326,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 20:30,38235550,Kelina,0,3.67391993,3.7948,1.0000,3.50,3.50,1.00,1001.00,0.00,1618.25,74.25
220562336,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 21:50,3719035,Up To The Mark,1,2.52000000,2.4184,1.0000,2.92,2.28,1.00,1001.00,0.00,5184.83,137.29
220562346,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 23:25,40736795,Live In The Dream,0,2.14000000,2.0258,1.0000,2.14,1.85,1.00,1001.00,0.00,12297.93,273.94
220562311,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 18:30,2401567,Charge It,0,2.19048532,1.9169,1.0000,1.00,1001.00,1.00,1001.00,0.00,3096.88,59.37
220562306,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 17:50,55865315,Watsonville,0,9.20000000,8.1051,1.0299,1.00,1001.00,1.00,1001.00,4.00,78.92,29.27
220562301,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 17:10,41444667,Serifos,0,4.90000000,3.9423,1.0000,1.00,1001.00,1.00,1001.00,0.00,1617.20,22.41
220562306,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 17:50,235491,Maltese Falcon,0,9.72762643,9.4968,1.0000,1.00,1001.00,1.00,1001.00,0.00,78.07,21.96
220562336,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 21:50,41047956,Onesto,0,2.51234911,2.5108,2.0999,2.62,2.40,1.00,1001.00,5.00,9537.05,973.17
220562331,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 21:10,38052641,Search Results,0,3.20000000,3.1307,1.0000,1.00,1001.00,3.05,3.05,0.00,1867.61,218.97
220562336,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 21:50,36166904,War Like Goddess,0,4.24364193,6.2107,1.0000,8.00,6.20,1.00,1001.00,0.00,2033.97,99.42
220562316,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 19:10,48555597,Lindy,0,4.02398487,4.2024,3.6514,5.00,3.25,1.00,1001.00,12.00,2827.43,306.76
220562326,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 20:30,19776025,Casa Creed,1,3.52297897,3.5394,1.0000,3.55,3.55,1.00,1001.00,0.00,1264.73,536.02
220562311,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 18:30,40132243,Skippylongstocking,1,2.67269467,2.2587,1.0000,2.58,2.58,1.00,1001.00,0.00,2697.87,227.86
220562331,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 21:10,290689,Desert Dawn,0,9.19242029,10.8911,1.0000,12.00,10.00,1.00,1001.00,0.00,992.53,36.03
220562341,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 22:40,39899176,Clapton,0,13.55917953,17.9445,1.0000,22.00,15.50,1.00,1001.00,0.00,818.56,115.21
220562321,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 19:50,48354516,Meikei Yell,0,5.30000000,4.8412,1.0000,5.30,3.00,1.00,1001.00,0.00,1306.92,29.76
220562306,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 17:50,46660184,Silver Knott,1,1.99000000,1.9876,1.0000,2.02,2.00,1.00,1001.00,0.00,3396.14,164.13
220562321,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 19:50,47095307,Three Witches,1,6.20000000,7.2740,1.0000,8.00,7.00,1.00,1001.00,0.00,829.04,205.50
220562301,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 17:10,26565967,Kiss Today Goodbye,1,1.50000000,1.5698,1.0000,1.67,1.47,1.00,1001.00,0.00,3543.06,208.73
220562326,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 20:30,249577,Masteroffoxhounds,0,31.74592222,30.2209,1.0000,40.00,12.00,1.00,1001.00,0.00,320.58,26.64
220562316,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 19:10,39658839,Didia,0,4.20000000,4.6415,1.0000,5.20,4.20,1.00,1001.00,0.00,1755.62,111.68
220562341,Santa Anita Park (US) 4th Nov,To Be Placed,04-11-2023 22:40,46208265,Derma Sotogake,1,8.20000000,7.4184,7.5999,8.60,7.40,7.60,7.60,11.36,1317.18,229.66
