event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
223679675,Albion Park (AUS) 19th Jan,To Be Placed,19-01-2024 06:22,58250516,6. Music Moth,0,1.87000000,1.0000,1.7445,1.00,1001.00,1.00,1001.00,780.72,0.00,0.00
223679987,Melton (AUS) 19th Jan,To Be Placed,19-01-2024 10:03,39232248,7. Simone Lindenny,1,1.53575501,1.0000,1.4347,1.00,1001.00,1.00,1001.00,1845.35,0.00,0.00
223679969,Melton (AUS) 19th Jan,To Be Placed,19-01-2024 07:03,64998080,7. Luna Dream,0,2.98000000,1.0000,2.3608,1.00,1001.00,1.00,1001.00,582.12,0.00,0.00
223679615,Esperance (AUS) 19th Jan,To Be Placed,19-01-2024 09:20,41906683,7. Beauty In Me,1,3.29959123,1.0000,2.7723,1.00,1001.00,1.00,1001.00,1723.73,0.00,0.00
223679672,Albion Park (AUS) 19th Jan,To Be Placed,19-01-2024 05:48,51440260,8. Marty The Martian,0,2.86000000,1.0000,2.2313,1.00,1001.00,1.00,1001.00,705.52,0.00,0.00
223682188,Busselton (AUS) 19th Jan,To Be Placed,19-01-2024 11:17,12170438,8. Dwayne,1,2.65146513,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
223679714,Canterbury (AUS) 19th Jan,To Be Placed,19-01-2024 09:00,42421672,10. Lady Shenanigans,1,4.10000000,1.0000,2.2030,1.00,1001.00,1.00,1001.00,319.31,0.00,0.00
223679645,Gloucester Park (AUS) 19th Jan,To Be Placed,19-01-2024 12:55,43168181,4. Fly To Fame,0,5.30000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
223679636,Gloucester Park (AUS) 19th Jan,To Be Placed,19-01-2024 11:27,41376032,7. Chal Patch,1,4.30000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
223682194,Busselton (AUS) 19th Jan,To Be Placed,19-01-2024 12:45,52650065,1. Briggs On Bond,0,2.09016085,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
223679675,Albion Park (AUS) 19th Jan,To Be Placed,19-01-2024 06:22,41617001,1. Pushinit Uphill,1,1.56000000,1.0000,1.5328,1.00,1001.00,1.00,1001.00,328.29,0.00,0.00
223677903,Moruya (AUS) 19th Jan,To Be Placed,19-01-2024 06:50,46108753,13. Big Steve,0,5.08302426,1.0000,2.7467,1.00,1001.00,1.00,1001.00,326.29,0.00,0.00
223677898,Moruya (AUS) 19th Jan,To Be Placed,19-01-2024 06:15,60987451,5. Life Coach,1,1.15815928,1.0000,1.0864,1.00,1001.00,1.00,1001.00,3670.08,0.00,0.00
223679651,Gloucester Park (AUS) 19th Jan,To Be Placed,19-01-2024 13:50,42208401,7. Ima Fivestar General,1,1.69000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
223679666,Albion Park (AUS) 19th Jan,To Be Placed,19-01-2024 04:37,58322481,2. Lady Antheia,0,34.00000000,1.0000,8.9325,1.00,1001.00,1.00,1001.00,88.87,0.00,0.00
223679975,Melton (AUS) 19th Jan,To Be Placed,19-01-2024 08:03,41575566,10. Strapping Red,0,1.84517851,1.0000,1.4759,1.00,1001.00,1.00,1001.00,1404.87,0.00,0.00
223679610,Esperance (AUS) 19th Jan,To Be Placed,19-01-2024 08:50,63085240,12. Runyoo,0,80.00000000,1.0000,14.5692,1.00,1001.00,1.00,1001.00,151.16,0.00,0.00
