event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
223681356,Rosehill (AUS) 20th Jan,R1 1100m 2yo,20-01-2024 01:30,65023492,4. Alabama State,0,77.27728812,42.6406,36.4278,80.00,48.60,1.00,1001.00,617.93,478.60,139.33
223680071,Gawler (AUS) 20th Jan,R7 1200m Hcap,20-01-2024 05:32,55012756,11. Angelic Appeal,0,42.46263592,40.0409,21.8137,46.00,19.00,1.00,1001.00,2213.99,1130.29,380.77
223681388,Rosehill (AUS) 20th Jan,R5 1100m 3yo,20-01-2024 03:50,65023516,5. Soldier Of Rome,0,6.60000000,5.0847,4.8786,6.80,5.30,250.00,4.40,19538.14,16545.93,2992.21
223681013,Flemington (AUS) 20th Jan,R8 2000m Hcap,20-01-2024 05:20,65023472,12. Greta Moon,0,10.15932462,7.0309,6.2773,12.50,9.80,10.50,8.00,30042.86,25272.75,4770.11
223680043,Gawler (AUS) 20th Jan,R3 1706m Hcap,20-01-2024 03:04,331900,8. Speakeasy,0,19.92173587,22.7919,11.9336,32.00,19.50,1.00,1001.00,5788.72,2607.89,962.60
223711470,Camperdown (AUS) 20th Jan,R2 1400m Mdn,20-01-2024 02:01,65052284,12. Mizz Isle,0,110.00000000,116.7624,46.8167,150.00,90.00,1.00,1001.00,218.94,73.56,57.63
223711505,Camperdown (AUS) 20th Jan,R7 1000m Hcap,20-01-2024 04:56,46652758,9. Founex,0,20.00000000,21.7915,15.9587,32.00,20.00,1.00,1001.00,2151.59,1492.79,182.88
223711182,Menangle (AUS) 20th Jan,R1 1609m Pace M,20-01-2024 07:17,30284908,3. Dark Terror,0,24.45748597,25.9692,14.9648,32.00,23.00,1.00,1001.00,198.48,44.28,83.88
223711188,Menangle (AUS) 20th Jan,R4 1609m Pace M,20-01-2024 09:03,60827296,8. Nelly Bigtime,0,110.00000000,61.8265,51.3830,110.00,75.00,1.00,1001.00,119.87,82.73,37.14
223681356,Rosehill (AUS) 20th Jan,R1 1100m 2yo,20-01-2024 01:30,65023497,10. Tartaglia,0,12.05552992,12.0236,10.8512,20.00,12.50,18.00,15.00,5556.31,4711.06,845.25
223712136,Albany (AUS) 20th Jan,R6 1832m Pace M,20-01-2024 12:33,570224,6. Save This Dance,0,160.00000000,59.1932,1.0000,200.00,110.00,1.00,1001.00,0.00,68.86,23.11
223681029,Flemington (AUS) 20th Jan,R10 1000m Hcap,20-01-2024 06:40,45348547,5. Johnny Rocker,0,4.42300089,4.1306,3.6662,5.40,2.94,1000.00,2.56,125613.72,100538.45,10845.15
223712136,Albany (AUS) 20th Jan,R6 1832m Pace M,20-01-2024 12:33,35920993,3. Move Over Miss,0,160.36934324,88.1328,1.0000,190.00,90.00,1000.00,410.00,0.00,33.41,11.59
223712134,Albany (AUS) 20th Jan,R5 2690m Pace M,20-01-2024 12:05,39465401,2. Rockandrollartist,0,150.00000000,124.4959,1.0000,100.00,100.00,1.00,1001.00,0.00,16.23,116.22
223711477,Camperdown (AUS) 20th Jan,R3 1400m Mdn,20-01-2024 02:36,52936090,7. Japanese Whisper,0,22.00000000,24.8116,17.0150,32.00,21.00,1.00,1001.00,2567.25,1617.25,363.70
223710307,Globe Derby (AUS) 20th Jan,R8 1800m Pace M,20-01-2024 11:59,51333522,6. Oh Sweet Creature,0,12.23698723,9.3350,1.0000,13.50,13.00,980.00,980.00,0.00,854.02,199.79
223711188,Menangle (AUS) 20th Jan,R4 1609m Pace M,20-01-2024 09:03,36317961,5. Hall Stitched Up,0,130.00000000,97.0861,86.5602,200.00,100.00,1.00,1001.00,58.03,39.48,18.55
223711491,Camperdown (AUS) 20th Jan,R5 1600m Hcap,20-01-2024 03:46,13042264,16. Lucky Jackson,0,10.84239220,10.2354,7.5137,12.50,9.40,1.00,1001.00,4439.17,2622.79,482.78
223711186,Menangle (AUS) 20th Jan,R3 1609m Pace M,20-01-2024 08:30,38475450,1. Boom,0,5.37629328,4.6263,4.8258,6.00,4.10,50.00,4.00,5271.87,3424.29,1318.80
223709832,Ascot (AUS) 20th Jan,R5 2200m Hcap,20-01-2024 07:05,65023841,12. Tiffs Lad,0,119.44000000,1.0000,90.0007,1.00,1001.00,1.00,1001.00,527.87,0.00,0.00
223711328,Ballarat (AUS) 20th Jan,R4 1710m Pace M,20-01-2024 09:10,46080913,5. Niki Nah Nah,0,14.22911298,13.8311,5.5017,15.50,12.00,990.00,7.80,2248.95,539.93,687.72
223775838,Ballarat (AUS) 20th Jan,R5 2200m Trot M,20-01-2024 09:42,39610806,7. Queen Elida,0,38.84130790,22.7305,22.3811,32.00,32.00,1.00,1001.00,452.09,396.30,55.79
223708482,Tuncurry (AUS) 20th Jan,R6 1200m Hcap,20-01-2024 06:36,65051797,9. Bring Me To Life,0,15.24037082,14.1618,11.2145,17.00,13.00,1.00,1001.00,1607.20,1128.91,190.50
223681364,Rosehill (AUS) 20th Jan,R2 1400m CL3,20-01-2024 02:05,166276,6. Associate,0,4.14328546,3.6563,3.6582,4.50,3.10,7.40,4.40,44341.17,41593.04,2748.13
223681420,Rosehill (AUS) 20th Jan,R9 1100m Hcap,20-01-2024 06:20,49332237,7. Shohei,0,13.55266262,11.7152,11.1191,19.00,13.00,1000.00,30.00,10715.62,9496.77,1218.85
223678908,Eagle Farm (AUS) 20th Jan,R4 1000m Hcap,20-01-2024 03:58,53184074,4. Campai,0,7.83774323,9.8103,6.0687,11.50,7.80,11.50,5.90,19683.46,9714.16,3255.37
223711491,Camperdown (AUS) 20th Jan,R5 1600m Hcap,20-01-2024 03:46,39170997,8. Do This All Day,0,29.00000000,28.7525,20.5715,34.00,26.00,1.00,1001.00,1222.85,764.16,172.22
