EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
215271010,Auteuil (FRA) 17th Jun,To Be Placed,17-06-2023 13:50,29569,James,0,2.36000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
215271014,Auteuil (FRA) 17th Jun,To Be Placed,17-06-2023 15:25,24378782,Black Track,0,11.50000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
215271010,Auteuil (FRA) 17th Jun,To Be Placed,17-06-2023 13:50,38869667,Alibichop,0,5.30025692,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
215271002,Auteuil (FRA) 17th Jun,To Be Placed,17-06-2023 11:30,40435079,Inventif,0,15.00000000,1.0000,11.5491,1.00,1001.00,1.00,1001.00,12.93,0.00,0.00
215271012,Auteuil (FRA) 17th Jun,To Be Placed,17-06-2023 14:36,52849701,Jamaico,1,1.59000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
215271012,Auteuil (FRA) 17th Jun,To Be Placed,17-06-2023 14:36,53120631,Jarretiere,0,3.25000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
215271014,Auteuil (FRA) 17th Jun,To Be Placed,17-06-2023 15:25,41064096,Neruas,0,8.20000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
215271008,Auteuil (FRA) 17th Jun,To Be Placed,17-06-2023 12:40,43332221,Impulse Precieuse,1,1.96000000,1.9948,1.8399,1.00,1001.00,1.00,1001.00,2.00,620.58,38.18
215271010,Auteuil (FRA) 17th Jun,To Be Placed,17-06-2023 13:50,45490776,Matnight,1,2.84000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
215271014,Auteuil (FRA) 17th Jun,To Be Placed,17-06-2023 15:25,48340743,Scampalo,0,8.00000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
215271000,Auteuil (FRA) 17th Jun,To Be Placed,17-06-2023 10:55,39438085,Alce,0,4.90000000,1.0000,,1.00,1001.00,1.00,1001.00,4.28,0.00,0.00
215271010,Auteuil (FRA) 17th Jun,To Be Placed,17-06-2023 13:50,50744403,Rosso Di Sera,0,4.70000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
215271010,Auteuil (FRA) 17th Jun,To Be Placed,17-06-2023 13:50,59119,Blue Style,0,10.00000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
