EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
219280464,Lyon La Soie (FRA) 6th Oct,1m1f Hcap,06-10-2023 19:30,46791724,Jagda,0,18.08560828,18.8686,1.0000,19.50,14.50,1.00,1001.00,0.00,217.45,26.69
219280478,Lyon La Soie (FRA) 6th Oct,1m1f Stks,06-10-2023 20:30,57412916,Baroncina,0,9.20000000,8.7065,1.0000,7.60,7.60,1.00,1001.00,0.00,601.73,60.49
219280422,Compiegne (FRA) 6th Oct,1m1f Hcap,06-10-2023 17:05,5914583,So You Say,0,9.06548382,10.1560,1.0000,9.80,9.80,1.00,1001.00,0.00,743.49,52.43
219280443,Lyon La Soie (FRA) 6th Oct,1m4f Hcap,06-10-2023 18:15,15627,Gotha,0,6.20219283,7.5820,1.0000,13.50,5.80,1.00,1001.00,0.00,1371.70,120.45
219280491,Lyon La Soie (FRA) 6th Oct,1m1f Stks,06-10-2023 21:00,14246258,French Pegasus,0,15.68039287,17.7644,1.0000,19.00,19.00,1.00,1001.00,0.00,56.82,24.89
219280464,Lyon La Soie (FRA) 6th Oct,1m1f Hcap,06-10-2023 19:30,3045859,Great Art,0,8.00000000,6.2777,1.0000,1.00,1001.00,1.00,1001.00,0.00,761.81,77.68
219280471,Lyon La Soie (FRA) 6th Oct,1m1f Stks,06-10-2023 20:00,61373243,Perfetta Letizia,0,15.32862307,10.6006,1.0000,1.00,1001.00,15.00,15.00,0.00,390.41,196.03
219280491,Lyon La Soie (FRA) 6th Oct,1m1f Stks,06-10-2023 21:00,39333327,Tafser,0,7.38021087,7.7949,1.0000,1.00,1001.00,1.00,1001.00,0.00,531.19,74.09
219280408,Compiegne (FRA) 6th Oct,1m2f Hcap,06-10-2023 16:30,55573879,Sigrune,0,13.72588931,13.5011,1.0000,1.00,1001.00,1.00,1001.00,0.00,548.06,64.34
219280408,Compiegne (FRA) 6th Oct,1m2f Hcap,06-10-2023 16:30,54869773,Palanzano,0,30.00000000,29.6451,1.0000,1.00,1001.00,1.00,1001.00,0.00,53.98,22.55
219280394,Compiegne (FRA) 6th Oct,1m2f Hcap,06-10-2023 15:20,52820687,De Quevedo,0,6.09748231,4.0013,1.0000,5.20,5.20,1.00,1001.00,0.00,1470.38,147.21
219280401,Compiegne (FRA) 6th Oct,1m2f Listed,06-10-2023 15:55,13651995,Atlantica,0,84.77611775,46.0422,1.0000,44.00,40.00,1.00,1001.00,0.00,34.98,9.61
219280429,Lyon La Soie (FRA) 6th Oct,1m4f Hcap,06-10-2023 17:40,13295724,Jacksun,0,18.98681257,13.3640,1.0000,1.00,1001.00,1.00,1001.00,0.00,432.29,23.98
219280374,Compiegne (FRA) 6th Oct,1m Mdn,06-10-2023 13:35,3398168,Black Mamba,0,16.02084858,15.3506,1.0000,15.00,15.00,1.00,1001.00,0.00,257.57,124.80
219280491,Lyon La Soie (FRA) 6th Oct,1m1f Stks,06-10-2023 21:00,5876479,Villa Royale,0,6.04258203,6.7105,1.0000,1.00,1001.00,1.00,1001.00,0.00,381.00,101.55
219280401,Compiegne (FRA) 6th Oct,1m2f Listed,06-10-2023 15:55,1088927,Star Galaxy,0,16.90539201,15.8917,1.0000,1.00,1001.00,12.50,10.00,0.00,231.39,131.63
219280394,Compiegne (FRA) 6th Oct,1m2f Hcap,06-10-2023 15:20,51564640,Recoleros,0,3.23547003,3.2364,5.9683,4.00,3.00,1.00,1001.00,4.00,3541.75,509.18
219280408,Compiegne (FRA) 6th Oct,1m2f Hcap,06-10-2023 16:30,55247725,Morphewan,1,22.00000000,24.6130,1.0000,24.00,22.00,1.00,1001.00,0.00,177.26,573.92
219280387,Compiegne (FRA) 6th Oct,1m2f Claim,06-10-2023 14:45,44235047,Saccary,0,3.13163367,2.8954,3.9728,3.25,3.20,1.00,1001.00,10.22,3252.09,466.18
219280387,Compiegne (FRA) 6th Oct,1m2f Claim,06-10-2023 14:45,15086112,Sim Card,0,8.90582632,7.0747,8.6998,7.60,6.80,1.00,1001.00,4.00,1346.93,95.81
219280361,Compiegne (FRA) 6th Oct,7f Claim,06-10-2023 12:25,57811996,Ugatzai,0,11.26969408,9.2188,8.8177,11.00,9.20,1.00,1001.00,76.66,889.67,51.93
219280374,Compiegne (FRA) 6th Oct,1m Mdn,06-10-2023 13:35,12931614,Summer Flirt,0,87.84574155,46.6607,1.0000,50.00,48.00,1.00,1001.00,0.00,41.28,9.47
219280471,Lyon La Soie (FRA) 6th Oct,1m1f Stks,06-10-2023 20:00,61373238,Legacy Link,0,38.00000000,21.3051,1.0000,36.00,36.00,1.00,1001.00,0.00,30.18,5.91
219280374,Compiegne (FRA) 6th Oct,1m Mdn,06-10-2023 13:35,3398010,Night Action,0,4.88639016,4.6325,4.3997,4.40,4.40,1.00,1001.00,2.00,2252.46,364.10
219280381,Compiegne (FRA) 6th Oct,1m2f Stks,06-10-2023 14:10,14915352,Leandra,0,7.25345853,6.4201,1.0000,6.80,6.80,16.50,16.50,0.00,1135.03,156.61
219280450,Lyon La Soie (FRA) 6th Oct,1m2f Stks,06-10-2023 18:50,442431,Union Square,0,97.57919878,67.5417,1.0000,80.00,80.00,1.00,1001.00,0.00,20.14,9.66
219280408,Compiegne (FRA) 6th Oct,1m2f Hcap,06-10-2023 16:30,48186285,Oasis Bay,0,60.00000000,53.0800,1.0000,1.00,1001.00,1.00,1001.00,0.00,4.40,9.04
219280368,Compiegne (FRA) 6th Oct,1m Stks,06-10-2023 13:00,55288527,Snowfinch,0,12.50000000,10.8204,15.3331,13.00,11.00,50.00,50.00,6.00,1150.94,85.10
219280374,Compiegne (FRA) 6th Oct,1m Mdn,06-10-2023 13:35,57965247,Treizieme,0,12.00000000,11.7840,9.9997,13.00,11.00,1.00,1001.00,2.00,498.14,66.04
219280471,Lyon La Soie (FRA) 6th Oct,1m1f Stks,06-10-2023 20:00,61373239,Lucero,1,4.38865323,3.9708,1.0000,1.00,1001.00,1.00,1001.00,0.00,332.41,322.30
219280387,Compiegne (FRA) 6th Oct,1m2f Claim,06-10-2023 14:45,28106978,Hootton,0,17.00000000,13.2309,1.0000,23.00,9.60,1.00,1001.00,0.00,555.56,68.06
219280408,Compiegne (FRA) 6th Oct,1m2f Hcap,06-10-2023 16:30,50911435,Alamsar,0,12.45495216,12.1413,11.8397,11.00,11.00,1.00,1001.00,2.00,417.80,57.14
219280478,Lyon La Soie (FRA) 6th Oct,1m1f Stks,06-10-2023 20:30,58571498,Sweetydancer,0,9.80000000,11.9011,1.0000,12.00,10.50,1.00,1001.00,0.00,517.62,44.46
