event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
223684979,Cagnes-sur-Mer (FRA) 18th Jan,To Be Placed,18-01-2024 14:57,48909199,Breizh Wood,0,1.69111352,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
223684986,Cagnes-sur-Mer (FRA) 18th Jan,To Be Placed,18-01-2024 15:35,53915085,Wukhann,1,2.70000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
223685011,Pornichet (FRA) 18th Jan,To Be Placed,18-01-2024 17:22,46837927,Vent Du Reve,0,2.81199532,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
223684993,Pornichet (FRA) 18th Jan,To Be Placed,18-01-2024 16:10,12584940,Meandro,0,12.56223514,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
223685002,Pornichet (FRA) 18th Jan,To Be Placed,18-01-2024 16:45,27224906,Kaptain Nordik,0,4.00000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
223685011,Pornichet (FRA) 18th Jan,To Be Placed,18-01-2024 17:22,40251925,Un Soir Dorage,1,4.90000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
223685019,Pornichet (FRA) 18th Jan,To Be Placed,18-01-2024 17:54,57848658,Noum Lises,0,3.80000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
223685011,Pornichet (FRA) 18th Jan,To Be Placed,18-01-2024 17:22,21386267,Proelia,0,5.34859329,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
223685026,Pornichet (FRA) 18th Jan,To Be Placed,18-01-2024 18:26,61373971,Magic World,0,1.90000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
223685011,Pornichet (FRA) 18th Jan,To Be Placed,18-01-2024 17:22,14695667,Peyton Place,1,2.74000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
223684965,Cagnes-sur-Mer (FRA) 18th Jan,To Be Placed,18-01-2024 13:47,40763074,Pink Valentine,0,9.80000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
223685040,Pornichet (FRA) 18th Jan,To Be Placed,18-01-2024 19:30,65024483,Katalane,0,6.60000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
223685019,Pornichet (FRA) 18th Jan,To Be Placed,18-01-2024 17:54,63940581,Diora Street,0,3.35000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
223685011,Pornichet (FRA) 18th Jan,To Be Placed,18-01-2024 17:22,19330983,Semeur,0,5.70000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
223684965,Cagnes-sur-Mer (FRA) 18th Jan,To Be Placed,18-01-2024 13:47,15994462,Astrachem,1,4.53639399,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
223685026,Pornichet (FRA) 18th Jan,To Be Placed,18-01-2024 18:26,58783118,Baileys Topaze,0,1.80500000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
223684993,Pornichet (FRA) 18th Jan,To Be Placed,18-01-2024 16:10,17612774,Elyt Of Gold,0,2.57190000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
223684972,Cagnes-sur-Mer (FRA) 18th Jan,To Be Placed,18-01-2024 14:22,275550,Scarface,0,1.82000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
223685040,Pornichet (FRA) 18th Jan,To Be Placed,18-01-2024 19:30,63682562,Kozak,1,2.36789908,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
