event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
223715392,Pau (FRA) 19th Jan,1m4f Claim,19-01-2024 14:10,48726379,Magic Cup,0,48.00000000,51.7243,1.0000,80.00,50.00,1.00,1001.00,0.00,102.63,15.32
223715437,Deauville (FRA) 19th Jan,1m4f Stks,19-01-2024 19:50,50324654,Nekoleto,0,10.00973595,8.3929,1.0000,8.00,8.00,1.00,1001.00,0.00,1205.26,25.07
223715386,Pau (FRA) 19th Jan,2m1f Hrd,19-01-2024 12:25,21683976,Denomedenuo,0,14.26068827,11.5099,1.0000,18.00,12.50,4.30,4.30,0.00,943.48,205.03
223715428,Deauville (FRA) 19th Jan,7f Hcap,19-01-2024 17:23,25146703,Salsa Chic,0,24.00000000,18.8458,1.0000,19.50,19.50,1.00,1001.00,0.00,165.06,21.84
223715437,Deauville (FRA) 19th Jan,1m4f Stks,19-01-2024 19:50,41763455,Jaafar,0,7.66494748,6.6575,1.0000,8.00,6.00,1.00,1001.00,0.00,1952.15,110.13
223715390,Pau (FRA) 19th Jan,7f Hcap,19-01-2024 13:35,57380303,Perli Chope,1,13.50000000,13.0372,1.0000,13.00,12.00,1.00,1001.00,0.00,1457.83,834.49
223715394,Pau (FRA) 19th Jan,2m1f Hrd,19-01-2024 14:45,64387463,Le Cabernet,0,22.65690366,25.4161,12.9999,27.00,26.00,1.00,1001.00,6.00,309.41,47.55
223715418,Deauville (FRA) 19th Jan,1m1f Mdn,19-01-2024 16:13,65053380,Ashkenazim,0,64.37486205,36.6748,1.0000,70.00,48.00,1.00,1001.00,0.00,195.60,13.06
223715394,Pau (FRA) 19th Jan,2m1f Hrd,19-01-2024 14:45,57452686,Dream Solitaire,0,16.50000000,16.5063,1.0000,16.50,16.50,1.00,1001.00,0.00,696.30,32.50
223715380,Pau (FRA) 19th Jan,2m7f Chs,19-01-2024 10:38,51252201,Gris Minois,0,22.00000000,19.8538,6.6733,1.00,1001.00,1.00,1001.00,580.61,140.27,369.90
223715392,Pau (FRA) 19th Jan,1m4f Claim,19-01-2024 14:10,7302333,Oak Wood,0,130.00000000,92.1933,1.0000,190.00,90.00,980.00,980.00,0.00,94.08,27.90
223715441,Deauville (FRA) 19th Jan,7f Hcap,19-01-2024 19:15,40365934,Ptit Pedro,0,11.63109862,9.5604,1.0000,9.80,8.80,1.00,1001.00,0.00,884.44,12.44
223715384,Pau (FRA) 19th Jan,2m7f Chs Claim,19-01-2024 11:50,44252917,Iguane Des Ongrais,0,10.50000000,10.9934,1.0000,19.50,9.20,1.00,1001.00,0.00,1564.45,98.74
223715428,Deauville (FRA) 19th Jan,7f Hcap,19-01-2024 17:23,26325454,Stranger,0,10.50000000,8.7261,1.0000,10.50,10.50,1.00,1001.00,0.00,563.61,85.32
223715394,Pau (FRA) 19th Jan,2m1f Hrd,19-01-2024 14:45,56940648,Kanada Denuo,0,6.80000000,7.7706,10.0740,8.00,7.40,5.70,3.00,24.84,1343.67,553.49
223715437,Deauville (FRA) 19th Jan,1m4f Stks,19-01-2024 19:50,28729400,Shawbak,0,17.61395824,22.8069,1.0000,36.00,36.00,1.00,1001.00,0.00,154.07,74.23
223715392,Pau (FRA) 19th Jan,1m4f Claim,19-01-2024 14:10,47367143,Kerdina,1,8.80000000,8.5157,1.0000,8.40,8.20,1.10,1.10,0.00,1268.83,739.98
223715423,Deauville (FRA) 19th Jan,7f Mdn,19-01-2024 16:48,65053384,Unisono,0,90.00000000,72.2364,1.0000,150.00,46.00,1.00,1001.00,0.00,89.68,62.54
223715392,Pau (FRA) 19th Jan,1m4f Claim,19-01-2024 14:10,33073077,Marchelo,0,7.44404761,7.5474,1.0000,8.20,6.20,1.00,1001.00,0.00,2057.35,139.57
223715428,Deauville (FRA) 19th Jan,7f Hcap,19-01-2024 17:23,12467,Time To Fly,1,10.38940993,10.3770,1.0000,1.00,1001.00,1.00,1001.00,0.00,576.98,493.02
223715428,Deauville (FRA) 19th Jan,7f Hcap,19-01-2024 17:23,17854746,Senepark,0,7.95084898,7.1067,1.0000,1.00,1001.00,1.00,1001.00,0.00,801.45,44.36
