
     EVENT_ID,MENU_HINT                                                                       ,EVENT_NAME                                        ,EVENT_DT        , SELECTION_ID,SELECTION_NAME                ,      WIN_LOSE,       BSP,     PPWAP,MORNINGWAP,     PPMAX,     PPMIN,     IPMAX,     IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
-------------,--------------------------------------------------------------------------------,--------------------------------------------------,----------------,-------------,------------------------------,--------------,----------,----------,----------,----------,----------,----------,----------,----------------,-----------,-----------
     21124370,IRE / GowP 6th Aug                                                              ,7f Mdn                                            ,06-08-2008 17:25,        51832,Partner                       ,      0.000000,92.7708311,98.6489827,         1,       150,        80,       150,       150,               0,     479.41,         24
     21124370,IRE / GowP 6th Aug                                                              ,7f Mdn                                            ,06-08-2008 17:25,      1220490,Bansha                        ,      0.000000,        42,38.8493805,         1,       100,        30,         1,      1001,               0,     941.58,       4.28
     21124370,IRE / GowP 6th Aug                                                              ,7f Mdn                                            ,06-08-2008 17:25,      3092985,Grand Admiral                 ,      0.000000,        11,11.5998505,11.9997514,      14.5,         9,      16.5,        11,               6,   10525.51,     199.82
     21124370,IRE / GowP 6th Aug                                                              ,7f Mdn                                            ,06-08-2008 17:25,      3149592,Born To Be King               ,      1.000000,      1.57,1.57460555,1.44969923,      1.87,      1.28,      1.65,      1.01,         2000.08,  458742.17,   89192.96
     21124370,IRE / GowP 6th Aug                                                              ,7f Mdn                                            ,06-08-2008 17:25,      3166573,Scandal Sheet                 ,      0.000000,14.4185544,10.1108067,         1,        14,       6.6,        16,         6,               0,    9910.14,     798.26
     21124370,IRE / GowP 6th Aug                                                              ,7f Mdn                                            ,06-08-2008 17:25,      3186324,Wise                          ,      0.000000,        70,66.8193613,         1,       190,        46,       190,        55,               0,      808.7,      46.14
     21124370,IRE / GowP 6th Aug                                                              ,7f Mdn                                            ,06-08-2008 17:25,      3201269,Land Of Legends               ,      0.000000,158.269646,160.569128,30.8935853,       290,        90,       200,       100,            5.12,     432.44,         34
     21124370,IRE / GowP 6th Aug                                                              ,7f Mdn                                            ,06-08-2008 17:25,      3243586,Shy Appeal                    ,      0.000000,       9.8,9.88204260,8.20907446,      12.5,         7,        14,         5,           52.34,     8122.2,    1312.78
     21124370,IRE / GowP 6th Aug                                                              ,7f Mdn                                            ,06-08-2008 17:25,      3243587,Izagonawin                    ,      0.000000,23.2932177,22.6952745,9.59988376,        29,        17,         1,      1001,            5.12,       2154,      18.02
     21124372,IRE / GowP 6th Aug                                                              ,1m Nursery                                        ,06-08-2008 17:55,      3001955,Venetian Dove                 ,      0.000000,        42,44.6348381,         1,        85,        40,        75,        46,               0,    1123.34,      20.86
     21124372,IRE / GowP 6th Aug                                                              ,1m Nursery                                        ,06-08-2008 17:55,      3018440,Catalpa                       ,      0.000000,        50,47.5842429,         1,        65,        28,        70,       9.2,               0,     968.12,     149.04
     21124372,IRE / GowP 6th Aug                                                              ,1m Nursery                                        ,06-08-2008 17:55,      3040766,Redera                        ,      0.000000,7.68929837,8.23328934,9.15732673,        11,       7.4,        21,       6.8,           10.34,   11262.97,     739.38
     21124372,IRE / GowP 6th Aug                                                              ,1m Nursery                                        ,06-08-2008 17:55,      3045829,Zepnove                       ,      0.000000,      14.5,14.1598238,         1,        22,        12,       100,        11,               0,    3918.37,     312.02
     21124372,IRE / GowP 6th Aug                                                              ,1m Nursery                                        ,06-08-2008 17:55,      3049197,Love Trail                    ,      0.000000,12.5516473,13.2285381,8.66836179,      17.5,       9.4,        14,       8.6,           38.78,    5155.07,      548.8
     21124372,IRE / GowP 6th Aug                                                              ,1m Nursery                                        ,06-08-2008 17:55,      3057458,Lady Ruler                    ,      0.000000,       8.2,7.87137473,10.6717239,        10,       7.4,       190,       4.1,           33.94,   14111.55,     1617.3
     21124372,IRE / GowP 6th Aug                                                              ,1m Nursery                                        ,06-08-2008 17:55,      3062089,Greannmhar                    ,      1.000000,4.78083273,4.69319392,5.02770827,       5.7,       4.3,         6,      1.01,           21.06,   45679.25,   47324.48
