EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
147253264,IRE / DownP  27th Aug,TO BE PLACED,27-08-2018 16:30,12829454,Biddy The Boss,1,3.2,2.78675418507645497331617218298455147685,3.78663123610697432001266971745516251816,1,1001,1,1001,26.04,2118.22,379.64
147253274,IRE / DownP  27th Aug,TO BE PLACED,27-08-2018 17:40,12873702,Cubomania,0,2.001967971261111,1.81228858150087557733094494038854029894,1.55503958386086369799873968633720592847,1.98,1.65,1.49,1.49,77.58,2759.04,1310.28
147253274,IRE / DownP  27th Aug,TO BE PLACED,27-08-2018 17:40,6507742,Nevada Rose,0,26,25.7425996284589560666314282099218723209,1,25,25,1,1001,0,50.74,0
147253259,IRE / DownP  27th Aug,TO BE PLACED,27-08-2018 15:55,10927737,Slicker City,0,2.94,2.71317124462629025052842875588232646398,4.44549713986952723855543179558711516494,1,1001,160,4.9,14.68,1478.52,211.48
147253254,IRE / DownP  27th Aug,TO BE PLACED,27-08-2018 15:20,10936349,Northern Sky,0,7.857348341142061,7.53592943187622705004861851185799430898,6.71516409484282398739587233852411433082,1,1001,1,1001,24,200.22,21.24
147253269,IRE / DownP  27th Aug,TO BE PLACED,27-08-2018 17:05,12874851,Orion Daubrelle,1,1.1600000095367433,1.16456894200822865653286407207069468468,1.19385193259609507608854352389437881968,1.19,1.13,1,1001,1031.94,28773,2385.14
147253259,IRE / DownP  27th Aug,TO BE PLACED,27-08-2018 15:55,17396047,Shakadame,0,23.607951586758716,19.6032156837159877359340767373769561918,10.9999904000092159911526484934574462809,40,21,1,1001,10,268.66,6.02
147253259,IRE / DownP  27th Aug,TO BE PLACED,27-08-2018 15:55,13115396,Maple Lawn,0,2.6,2.30993333432691471843048014626853372511,4.99998488005715338396020863041137704499,2.6,2.6,1,1001,10,1625.5,850.84
147253254,IRE / DownP  27th Aug,TO BE PLACED,27-08-2018 15:20,9299745,Finish In Style,0,9.312354968881701,9.75565838603451484905645868152784704542,3.41998330211521540501370540543270251435,9.4,9.4,1,1001,4,570.36,52
147253254,IRE / DownP  27th Aug,TO BE PLACED,27-08-2018 15:20,8397403,Maighnealta,1,4,4.00234599493208831682289989466535027702,2.93999328762322482364211019829871388645,1,1001,1,1001,10,759.86,792.18
147253254,IRE / DownP  27th Aug,TO BE PLACED,27-08-2018 15:20,8587831,Bank Man,0,21.469960528,16.1299572402692758933142998160559019907,1,22,14,1,1001,0,383.66,0
147253264,IRE / DownP  27th Aug,TO BE PLACED,27-08-2018 16:30,18416843,Present In Court,1,1.9,1.64362576700534619069409636752551631585,1.56583831964360616447547286614373959654,1.94,1.65,2,1.56,60.66,5164.82,8678.72
147253269,IRE / DownP  27th Aug,TO BE PLACED,27-08-2018 17:05,10106568,Celebrity Status,1,2.274031468,2.50930655051089343950683880215465259342,3.43807320923189113657826974134670623378,2.6,2.1,1,1001,79.48,10782.72,1001.58
147253249,IRE / DownP  27th Aug,TO BE PLACED,27-08-2018 14:45,13192817,Paris Texas,1,1.57,1.64019773647491953709284344755795062674,1.56282275824152987081401022881575975032,1.65,1.65,1,1001,397.82,4040.94,2055.62
147253249,IRE / DownP  27th Aug,TO BE PLACED,27-08-2018 14:45,11869663,Sizing Julie,0,159.85333333333332,36.2608573005713737143047950244191219412,33.9999894400033791989186563460299692704,40,40,1,1001,5,23,0
147253279,IRE / DownP  27th Aug,TO BE PLACED,27-08-2018 18:10,19916039,Royal Rendezvous,1,1.22,1.24160762652367396566055029531096387875,1.19087209204446775658774176904368703805,1.29,1.21,1,1001,170.12,22594.78,1253.56
147253279,IRE / DownP  27th Aug,TO BE PLACED,27-08-2018 18:10,20021464,Hang In There,0,2.128059117,2.16943459939464484302813203143533491962,3.99995260074890816725095743487252901404,2.26,2.06,1,1001,4,4735.54,188.9
147253259,IRE / DownP  27th Aug,TO BE PLACED,27-08-2018 15:55,11318659,William Du Berlais,0,2.452229329,2.47280310751131251136056088405839375159,2.31899026948666304797024740794423294525,2.82,2.72,1.66,1.47,163.66,2582.96,942.2
147253254,IRE / DownP  27th Aug,TO BE PLACED,27-08-2018 15:20,18749459,Humps And Bumps,0,11.5,10.6113139588215896454862379809147367069,1,1,1001,1,1001,0,164.38,0
147253264,IRE / DownP  27th Aug,TO BE PLACED,27-08-2018 16:30,19575761,Little Nugget,0,1.469844599268563,1.48345031352726092362095184430496240078,2.11017413454973379926802927372100849344,1.7,1.49,1,1001,40.72,8182.54,1620.84
147253274,IRE / DownP  27th Aug,TO BE PLACED,27-08-2018 17:40,6365501,Ballyfinboy,0,1.9675951462843653,1.9536626082404868407973750843794862813,2.03999897155657257183379007547425869768,1.87,1.87,2.1,2.1,36,1851.78,187.6
147253274,IRE / DownP  27th Aug,TO BE PLACED,27-08-2018 17:40,8977175,Jack Slade,1,2.750729938534133,2.37303066002824182327509744828672530614,1.9499959856364323770224776262560483428,2.7,2.02,1,1001,9.04,1802.46,1077.34
147253249,IRE / DownP  27th Aug,TO BE PLACED,27-08-2018 14:45,8866068,Silver Star,1,1.937272866,2.01685106314632797886377316332744618233,2.32143972824021188128272558544360950505,1,1001,1,1001,66.92,1842.94,496.7
