event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
223696112,Dundalk 19th Jan,To Be Placed,19-01-2024 18:30,39362628,Run The Jewels,0,3.10000000,2.5611,1.0000,1.00,1001.00,1.00,1001.00,0.00,3664.42,245.37
223696117,Dundalk 19th Jan,To Be Placed,19-01-2024 19:00,65838,Brave Thought,0,1.96589807,1.9565,1.0000,1.00,1001.00,1.00,1001.00,0.00,4868.25,374.40
223696112,Dundalk 19th Jan,To Be Placed,19-01-2024 18:30,36127914,Chavajod,1,2.47618332,2.8074,1.0000,3.05,2.76,1.00,1001.00,0.00,3832.22,363.53
223696117,Dundalk 19th Jan,To Be Placed,19-01-2024 19:00,48709917,Chica Linda,0,6.87144439,6.2010,1.0000,8.60,6.80,1.00,1001.00,0.00,3210.91,174.06
223696122,Dundalk 19th Jan,To Be Placed,19-01-2024 19:30,41830855,Nyota,0,3.25000000,3.4142,2.6999,3.15,3.15,3.00,3.00,22.00,2797.74,627.16
223696107,Dundalk 19th Jan,To Be Placed,19-01-2024 18:00,10444233,Western Cape,0,9.58778562,11.5541,1.0000,14.00,9.80,1.00,1001.00,0.00,1484.10,263.79
223696097,Dundalk 19th Jan,To Be Placed,19-01-2024 17:00,36310987,Ballybaun Star,0,10.50000000,5.9454,1.0000,10.50,6.00,1.00,1001.00,0.00,1891.98,157.77
223696087,Dundalk 19th Jan,To Be Placed,19-01-2024 16:00,19383532,Prisoners Dilemma,1,3.77991816,4.1198,4.5999,4.10,3.75,1.00,1001.00,8.12,2858.96,141.56
223696107,Dundalk 19th Jan,To Be Placed,19-01-2024 18:00,51510547,Celebrating Ethel,0,6.60000000,5.8789,12.7496,1.00,1001.00,1.00,1001.00,2.62,1761.19,65.22
223696087,Dundalk 19th Jan,To Be Placed,19-01-2024 16:00,41377364,Inishmot Prince,1,3.43412673,3.4015,3.2985,1.00,1001.00,1.00,1001.00,10.30,2054.80,36.24
223696112,Dundalk 19th Jan,To Be Placed,19-01-2024 18:30,10936345,Atlas,0,100.00000000,43.3146,1.0000,75.00,44.00,1.00,1001.00,0.00,170.70,31.21
