EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
166737584,RSA / Grey (RSA) 26th Dec,TO BE PLACED,26-12-2019 11:40,26695976,Silver Wisp,0,42,1,1,1,1001,1,1001,0,0,0
166737592,RSA / Grey (RSA) 26th Dec,TO BE PLACED,26-12-2019 14:07,21414362,Waiting For Change,0,9.2,1,1,1,1001,1,1001,0,0,0
166737592,RSA / Grey (RSA) 26th Dec,TO BE PLACED,26-12-2019 14:07,12372993,Beat It,0,20,1,1,1,1001,1,1001,0,0,0
166737596,RSA / Grey (RSA) 26th Dec,TO BE PLACED,26-12-2019 15:17,25426259,Palmheart,1,1.69831,1,1,1,1001,1,1001,0,0,0
166737596,RSA / Grey (RSA) 26th Dec,TO BE PLACED,26-12-2019 15:17,26206476,Blushing Diamond,1,1.36,1,1,1,1001,1,1001,0,0,0
166737580,RSA / Grey (RSA) 26th Dec,TO BE PLACED,26-12-2019 10:30,1030583,Round The Horn,1,1.31,1,1.33720922900544568644310690742333046718,1,1001,1,1001,697.8,0,0
166737580,RSA / Grey (RSA) 26th Dec,TO BE PLACED,26-12-2019 10:30,22451486,Karin B,0,4.4,1,3.68473812001387443635102323968088796393,1,1001,1,1001,57.66,0,0
166737580,RSA / Grey (RSA) 26th Dec,TO BE PLACED,26-12-2019 10:30,26134605,Matadoras Parade,1,1.7107964315057327,1,1.41516911612502587456013247774787828607,1,1001,1,1001,483.1,0,0
166737582,RSA / Grey (RSA) 26th Dec,TO BE PLACED,26-12-2019 11:05,26505827,Fortheboyz,0,13,1,1,1,1001,1,1001,0,0,0
166737586,RSA / Grey (RSA) 26th Dec,TO BE PLACED,26-12-2019 12:20,25696387,African Darter,0,3.1,1,1,1,1001,1,1001,0,0,0
