event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
210269297,Vaal (RSA) 21st Feb,R6 2600m Hcap,21-02-2023 13:20,45692933,Pacific Express,0,7.24282970,7.7455,1.0000,9.80,6.80,1.00,1001.00,0.00,2607.53,238.42
210269295,Vaal (RSA) 21st Feb,R5 2000m Hcap,21-02-2023 12:45,154885,Field Of Vision,0,14.90309363,16.5818,1.0000,19.50,16.50,1.00,1001.00,0.00,828.49,102.54
210269295,Vaal (RSA) 21st Feb,R5 2000m Hcap,21-02-2023 12:45,36204547,Red Maple,0,7.60000000,7.0246,1.0000,8.00,6.60,8.00,5.80,0.00,1645.81,414.14
210269297,Vaal (RSA) 21st Feb,R6 2600m Hcap,21-02-2023 13:20,35886467,Dark Travel,0,12.00000000,13.3046,1.0000,16.00,13.00,1.00,1001.00,0.00,843.54,303.57
210269299,Vaal (RSA) 21st Feb,R7 1600m Hcap,21-02-2023 13:55,41861426,Toffas,0,4.46432944,4.8242,1.0000,5.10,4.70,1.00,1001.00,0.00,2968.33,624.09
210269301,Vaal (RSA) 21st Feb,R8 1600m Hcap,21-02-2023 14:25,47970523,Just Eminent,0,11.00000000,9.1868,1.0000,10.50,9.00,1.00,1001.00,0.00,983.60,210.40
210269183,Vaal (RSA) 21st Feb,R3 1200m Hcap,21-02-2023 11:35,11992140,There She Goes,0,5.53314754,6.3440,5.3016,6.74,6.55,1.00,1001.00,4.26,1596.79,515.91
210269299,Vaal (RSA) 21st Feb,R7 1600m Hcap,21-02-2023 13:55,39880774,Bloomington,0,38.37564480,39.9256,1.0000,44.00,36.00,1.00,1001.00,0.00,133.53,109.23
210269297,Vaal (RSA) 21st Feb,R6 2600m Hcap,21-02-2023 13:20,38630593,Go Dream Machine,0,19.10333120,23.8753,1.0000,26.00,20.00,1.00,1001.00,0.00,927.48,234.92
210269183,Vaal (RSA) 21st Feb,R3 1200m Hcap,21-02-2023 11:35,42502760,Rios Kiss,0,46.78000000,58.0290,1.0000,100.00,46.78,1.00,1001.00,0.00,121.99,34.76
210269301,Vaal (RSA) 21st Feb,R8 1600m Hcap,21-02-2023 14:25,44899790,Luthuli,0,9.92241290,10.8253,1.0000,12.00,9.80,1.00,1001.00,0.00,1010.52,273.97
210269280,Vaal (RSA) 21st Feb,R4 2000m Hcap,21-02-2023 12:10,12693555,Ipso Facto,1,9.12267012,9.6631,1.0000,9.80,8.60,7.20,1.01,0.00,939.78,1388.25
210269280,Vaal (RSA) 21st Feb,R4 2000m Hcap,21-02-2023 12:10,27153528,Kind Judy,0,8.23418984,8.7497,1.0000,1.00,1001.00,1.00,1001.00,0.00,732.90,148.40
210269280,Vaal (RSA) 21st Feb,R4 2000m Hcap,21-02-2023 12:10,40115330,Apache Fighter,0,23.90317784,19.7961,1.0000,13.00,13.00,24.00,24.00,0.00,193.99,110.54
210268456,Vaal (RSA) 21st Feb,R2 1200m Mdn,21-02-2023 11:00,1198796,Bobs Your Uncle,0,28.52257809,25.2902,23.9696,42.00,12.00,1.00,1001.00,223.59,311.85,51.86
210268456,Vaal (RSA) 21st Feb,R2 1200m Mdn,21-02-2023 11:00,44509381,Giocatore,0,11.64380306,10.8502,13.4070,23.00,10.50,1.00,1001.00,1170.92,2625.20,213.83
210269299,Vaal (RSA) 21st Feb,R7 1600m Hcap,21-02-2023 13:55,6611332,Invincible Warrior,0,6.80000000,6.7753,1.0000,6.80,6.40,1.00,1001.00,0.00,2033.12,108.32
210269299,Vaal (RSA) 21st Feb,R7 1600m Hcap,21-02-2023 13:55,11162147,Waqaas,0,51.12633223,46.4025,1.0000,80.00,44.00,1.00,1001.00,0.00,105.71,108.99
210269183,Vaal (RSA) 21st Feb,R3 1200m Hcap,21-02-2023 11:35,30134230,Laetitias Angel,0,2.96392637,4.3263,1.0000,17.50,3.13,8.60,8.60,0.00,10814.94,1365.49
210269299,Vaal (RSA) 21st Feb,R7 1600m Hcap,21-02-2023 13:55,1371283,Climate Control,0,10.65144839,7.7499,1.0000,8.80,7.80,1.00,1001.00,0.00,1449.20,117.84
210269301,Vaal (RSA) 21st Feb,R8 1600m Hcap,21-02-2023 14:25,12057237,Black Lightning,0,22.42571079,20.4023,1.0000,1.00,1001.00,1.00,1001.00,0.00,164.70,68.80
210268453,Vaal (RSA) 21st Feb,R1 1200m Mdn,21-02-2023 10:25,43230886,Mapule,0,214.97245372,112.1181,100.2726,220.00,100.00,150.00,150.00,77.13,30.44,33.74
210269295,Vaal (RSA) 21st Feb,R5 2000m Hcap,21-02-2023 12:45,38609053,Burmese Tiara,0,7.69674389,8.0277,1.0000,8.00,7.20,1.00,1001.00,0.00,1385.63,253.67
210269299,Vaal (RSA) 21st Feb,R7 1600m Hcap,21-02-2023 13:55,18937671,Lord Varys,0,12.36519060,15.0661,1.0000,22.00,13.00,190.00,190.00,0.00,1325.35,128.34
210268453,Vaal (RSA) 21st Feb,R1 1200m Mdn,21-02-2023 10:25,11793063,Silver Princess,0,37.12192058,47.2053,21.4170,50.00,44.00,1.00,1001.00,295.04,110.30,65.56
210268453,Vaal (RSA) 21st Feb,R1 1200m Mdn,21-02-2023 10:25,47970518,Raining Rubies,0,10.39721308,11.9244,9.5164,13.00,11.00,1.00,1001.00,1449.19,1057.03,143.48
210268456,Vaal (RSA) 21st Feb,R2 1200m Mdn,21-02-2023 11:00,46993126,Magic Prince,0,6.27613567,5.4634,6.3843,6.20,5.50,1.00,1001.00,1089.81,2602.75,264.98
210269297,Vaal (RSA) 21st Feb,R6 2600m Hcap,21-02-2023 13:20,46005451,Go Flichity,1,6.00000000,6.1559,1.0000,6.00,5.90,6.00,4.00,0.00,2298.36,1068.18
210269301,Vaal (RSA) 21st Feb,R8 1600m Hcap,21-02-2023 14:25,46409363,Gregor Macgregor,0,26.70885332,31.6075,1.0000,46.00,29.00,1.00,1001.00,0.00,235.80,182.12
210269299,Vaal (RSA) 21st Feb,R7 1600m Hcap,21-02-2023 13:55,39058956,Letsdoit,0,25.00000000,22.4168,1.0000,26.00,23.00,1.00,1001.00,0.00,292.58,137.84
210269301,Vaal (RSA) 21st Feb,R8 1600m Hcap,21-02-2023 14:25,48820980,Lady Sanza,0,80.41037100,89.2163,1.0000,110.00,80.00,1.00,1001.00,0.00,75.11,27.55
210269280,Vaal (RSA) 21st Feb,R4 2000m Hcap,21-02-2023 12:10,45462172,Raratonga Rose,0,3.32406458,3.5816,3.8157,4.10,3.30,110.00,2.38,13.64,3884.05,1551.08
210268456,Vaal (RSA) 21st Feb,R2 1200m Mdn,21-02-2023 11:00,43637909,Labrausco,0,102.02436064,36.9781,42.0452,70.00,20.00,1.00,1001.00,67.98,108.34,16.06
210268453,Vaal (RSA) 21st Feb,R1 1200m Mdn,21-02-2023 10:25,37758680,Rio Supremo,0,11.33023458,16.0363,8.9996,16.50,16.50,1.00,1001.00,758.06,321.92,112.37
210269183,Vaal (RSA) 21st Feb,R3 1200m Hcap,21-02-2023 11:35,45462173,Splendid Season,0,23.03162402,16.7179,12.6296,23.00,16.84,1.00,1001.00,2.00,633.67,64.22
210269295,Vaal (RSA) 21st Feb,R5 2000m Hcap,21-02-2023 12:45,13290464,Call Me The Breeze,0,113.49398583,64.9608,1.0000,75.00,55.00,1.00,1001.00,0.00,123.94,19.51
210269295,Vaal (RSA) 21st Feb,R5 2000m Hcap,21-02-2023 12:45,27561878,Last Cheer,1,11.77850671,12.3412,1.0000,22.00,10.50,1.00,1001.00,0.00,1974.36,664.22
210269295,Vaal (RSA) 21st Feb,R5 2000m Hcap,21-02-2023 12:45,42110837,Arden Park,0,10.58211741,11.5939,16.4997,15.50,10.50,1.00,1001.00,4.00,1106.19,452.84
210269301,Vaal (RSA) 21st Feb,R8 1600m Hcap,21-02-2023 14:25,38767255,Parker Getrix,0,40.00000000,38.2293,1.0000,42.00,38.00,1.00,1001.00,0.00,131.10,72.68
210268453,Vaal (RSA) 21st Feb,R1 1200m Mdn,21-02-2023 10:25,43230892,Silk Garden,1,3.68497272,4.7316,3.2376,6.00,3.45,1.00,1001.00,5798.86,3323.99,1582.65
210268456,Vaal (RSA) 21st Feb,R2 1200m Mdn,21-02-2023 11:00,45100814,Fish Eagle,0,3.70516165,3.2933,3.4222,4.00,3.40,8.00,8.00,2642.30,6608.64,1160.15
210269183,Vaal (RSA) 21st Feb,R3 1200m Hcap,21-02-2023 11:35,39309589,Lollapalooza,1,11.00000000,10.5444,1.0000,10.76,9.82,10.00,10.00,0.00,1195.24,620.01
210269183,Vaal (RSA) 21st Feb,R3 1200m Hcap,21-02-2023 11:35,46948368,Welcome Breeze,0,30.44520207,25.4908,1.0000,28.07,25.26,1.00,1001.00,0.00,233.13,28.61
210269295,Vaal (RSA) 21st Feb,R5 2000m Hcap,21-02-2023 12:45,47970520,Karins Legacy,0,31.30076754,41.9128,1.0000,48.00,34.00,1.00,1001.00,0.00,157.36,167.35
210268456,Vaal (RSA) 21st Feb,R2 1200m Mdn,21-02-2023 11:00,39397001,Full Go,0,19.17428622,13.2850,22.8113,24.00,19.50,1.00,1001.00,296.12,1094.25,271.24
210269280,Vaal (RSA) 21st Feb,R4 2000m Hcap,21-02-2023 12:10,41512350,Quiet Rebellion,0,4.28634460,4.2557,1.0000,4.20,4.00,6.60,6.60,0.00,1466.05,419.20
210268456,Vaal (RSA) 21st Feb,R2 1200m Mdn,21-02-2023 11:00,41818296,Northern King,0,240.00000000,84.9635,68.7187,380.00,38.00,1.00,1001.00,30.05,69.86,17.58
210268456,Vaal (RSA) 21st Feb,R2 1200m Mdn,21-02-2023 11:00,48075748,Black Egret,1,2.89667134,2.5846,3.0010,3.15,2.80,1.00,1001.00,3148.30,7343.99,1811.44
