EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
222262900,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 14:40,43023872,Aldhaja,1,13.46634263,11.5450,1.0000,1.00,1001.00,1.00,1001.00,0.00,2.66,11.47
222262910,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 15:50,38488971,Faithful Soldier,0,4.87231432,1.0000,1.0000,1.00,1001.00,80.00,80.00,0.00,0.00,23.08
222262905,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 15:15,5342014,Valdivia,1,2.40631268,2.5070,1.0000,1.00,1001.00,1.00,1001.00,0.00,326.98,182.20
222262910,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 15:50,40503543,Ribhi,0,4.96415624,3.2291,1.0000,1.00,1001.00,1.00,1001.00,0.00,44.38,28.96
222262905,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 15:15,63579878,Great Alaska,0,22.62191021,13.6438,1.0000,1.00,1001.00,1.00,1001.00,0.00,4.10,3.15
222262910,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 15:50,40450770,Laasudood,1,2.09974460,2.0842,1.0000,1.00,1001.00,1.00,1001.00,0.00,702.52,135.00
222262920,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 17:00,44149063,Cosmic Desert,0,7.20000000,7.0656,1.0000,1.00,1001.00,1.00,1001.00,0.00,16.26,16.17
222262910,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 15:50,22495518,Dessman,0,3.24618879,2.4065,1.0000,1.00,1001.00,1.00,1001.00,0.00,18.64,16.39
222262900,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 14:40,39542661,Watch My Six,1,2.71203394,2.9264,1.0000,1.00,1001.00,1.00,1001.00,0.00,103.22,55.01
222262925,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 17:35,19775987,Magnificent Mccool,0,8.60000000,1.8174,1.0000,1.00,1001.00,1.00,1001.00,0.00,164.77,9.81
222262930,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 18:10,1490453,Dukedom,0,2.27766365,2.1656,1.0000,1.00,1001.00,1.00,1001.00,0.00,280.88,151.54
222262910,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 15:50,27459043,Pitchers Point,0,2.35214500,2.3284,1.0000,1.00,1001.00,1.00,1001.00,0.00,285.06,45.79
222262920,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 17:00,50744448,Lahresh,0,8.29275563,9.2780,1.0000,1.00,1001.00,1.00,1001.00,0.00,19.68,30.22
222262895,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 14:05,52966531,Ketin,0,15.00000000,10.0211,1.0000,1.00,1001.00,1.00,1001.00,0.00,18.94,18.26
222262925,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 17:35,47908540,Solar Science,0,7.71122054,1.5088,1.0000,1.00,1001.00,1.00,1001.00,0.00,199.89,15.47
222262910,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 15:50,2426462,Tahdeed,1,4.47095980,2.8925,1.0000,1.00,1001.00,1.00,1001.00,0.00,10.04,21.68
222262925,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 17:35,40880510,Lions Mane,1,7.00000000,1.2658,1.0000,1.00,1001.00,1.00,1001.00,0.00,170.45,16.38
222262895,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 14:05,51274314,Dubawi Devil,0,5.59002580,7.1875,1.0000,1.00,1001.00,1.00,1001.00,0.00,16.10,10.57
222262930,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 18:10,972501,Taakeed,1,2.60589471,2.5965,1.0000,1.00,1001.00,1.00,1001.00,0.00,57.10,87.06
222262920,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 17:00,26340380,Al Qaqaa,0,2.62757995,1.9550,1.0000,1.00,1001.00,1.00,1001.00,0.00,79.77,12.33
222262910,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 15:50,50513179,Silent Defense,0,6.22829400,3.9259,1.0000,1.00,1001.00,1.00,1001.00,0.00,14.38,22.63
222262920,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 17:00,38339163,Qareeb,1,2.42000000,2.3341,1.0000,1.00,1001.00,1.00,1001.00,0.00,203.56,93.00
222262920,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 17:00,39942260,Aeonian,0,9.49532144,9.7661,1.0000,10.00,10.00,1.00,1001.00,0.00,40.20,10.04
222262925,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 17:35,38199068,Hawa Bilady,0,6.60000000,1.3370,1.0000,1.00,1001.00,1.00,1001.00,0.00,259.33,28.47
222262930,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 18:10,127023,Hyde Park,0,3.10297234,3.1160,1.0000,1.00,1001.00,1.00,1001.00,0.00,97.56,139.82
222262905,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 15:15,56946394,Soldiers Secret,0,3.76791801,3.4594,1.0000,1.00,1001.00,1.00,1001.00,0.00,27.14,27.15
222262920,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 17:00,42507243,Alhzeem,0,2.08000000,2.0451,1.0000,1.00,1001.00,1.00,1001.00,0.00,37.28,15.49
222262905,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 15:15,62640808,Tactical Bound,1,7.73978124,7.2983,1.0000,1.00,1001.00,1.00,1001.00,0.00,43.14,24.49
222262915,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 16:25,46094891,Never Just A Dream,0,5.10000000,5.7993,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.18,35.79
222262915,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 16:25,50513174,Magic Petition,0,2.89864508,3.3129,1.0000,1.00,1001.00,1.00,1001.00,0.00,106.70,44.89
222262920,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 17:00,28185939,Ajuste Fiscal,1,5.00000000,4.3999,1.0000,1.00,1001.00,1.00,1001.00,0.00,12.00,64.21
222262900,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 14:40,35493174,Branwell,0,2.20772326,2.3658,1.0000,2.44,2.44,1.00,1001.00,0.00,319.80,118.33
222262895,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 14:05,3415952,Benzema,0,6.82296779,4.4019,1.0000,1.00,1001.00,1.00,1001.00,0.00,2.04,13.49
222262900,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 14:40,15499,Green Jacket,0,6.00000000,4.5779,1.0000,1.00,1001.00,1.00,1001.00,0.00,21.14,21.28
222262930,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 18:10,39947012,Show Maker,1,3.18346848,2.9112,1.0000,1.00,1001.00,1.00,1001.00,0.00,3.91,22.46
222262905,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 15:15,63347826,Princident,0,3.27106978,3.5406,1.0000,1.00,1001.00,1.00,1001.00,0.00,57.76,313.52
222262895,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 14:05,57150331,El Introvertido,1,9.35666232,8.3189,1.0000,1.00,1001.00,1.00,1001.00,0.00,3.80,12.97
222262925,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 17:35,18681428,Mayaadeen,0,2.24000000,1.4341,1.0000,1.00,1001.00,1.00,1001.00,0.00,963.89,51.97
222262895,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 14:05,63579874,Fastnet Mischief,0,1.40000000,1.4866,1.0000,1.50,1.50,1.00,1001.00,0.00,535.40,114.62
222262905,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 15:15,63086079,Shababy,0,4.11966893,4.2126,1.0000,4.80,4.80,1.00,1001.00,0.00,321.04,67.21
222262900,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 14:40,24449294,Saqqara King,0,10.29988828,9.7958,1.0000,1.00,1001.00,1.00,1001.00,0.00,50.46,7.64
222262910,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 15:50,877367,Sendeed,0,4.98846683,3.7538,1.0000,1.00,1001.00,1.00,1001.00,0.00,2.86,21.04
222262920,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 17:00,24813877,Imperial Empire,0,6.26685069,5.4388,1.0000,1.00,1001.00,1.00,1001.00,0.00,7.78,18.56
222262895,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 14:05,63579875,Eruptive,0,7.11866900,6.2744,1.0000,1.00,1001.00,1.00,1001.00,0.00,2.04,11.75
222262925,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 17:35,15901874,Wild Hurricane,0,2.20000000,1.5533,1.0000,1.00,1001.00,1.00,1001.00,0.00,1159.47,53.49
222262930,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 18:10,39823326,Private Signal,0,6.60000000,6.5959,1.0000,1.00,1001.00,1.00,1001.00,0.00,175.64,72.86
222262895,Meydan (UAE) 8th Dec,To Be Placed,08-12-2023 14:05,18389752,Sikorsky,0,3.96998834,3.2520,1.0000,1.00,1001.00,1.00,1001.00,0.00,7.36,75.50
