event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
223701107,Meydan (UAE) 19th Jan,To Be Placed,19-01-2024 17:35,50888077,Mawtini,0,30.01051441,1.1598,1.0000,1.00,1001.00,1.00,1001.00,0.00,48.81,1.26
223701082,Meydan (UAE) 19th Jan,To Be Placed,19-01-2024 14:40,54092202,Mojeyrr,1,1.29074315,1.1497,1.0000,1.24,1.24,1.00,1001.00,0.00,2343.10,2.00
223701107,Meydan (UAE) 19th Jan,To Be Placed,19-01-2024 17:35,21749375,Alla Mahlak,0,9.52107706,1.1496,1.0000,1.00,1001.00,1.00,1001.00,0.00,164.09,9.33
223701102,Meydan (UAE) 19th Jan,To Be Placed,19-01-2024 17:00,40503542,Koy Koy,0,4.79855600,4.2751,1.0000,1.00,1001.00,1.00,1001.00,0.00,57.66,0.00
223701107,Meydan (UAE) 19th Jan,To Be Placed,19-01-2024 17:35,62395826,Ajdayet,0,6.17063483,1.5777,1.0000,1.00,1001.00,1.00,1001.00,0.00,280.57,6.13
223701082,Meydan (UAE) 19th Jan,To Be Placed,19-01-2024 14:40,634807,Dionysian,1,2.19732812,1.8048,1.0000,2.40,2.40,1.00,1001.00,0.00,1498.08,140.41
223701087,Meydan (UAE) 19th Jan,To Be Placed,19-01-2024 15:15,34390,Gareth,0,5.87502122,5.8000,1.0000,1.00,1001.00,1.00,1001.00,0.00,83.36,12.65
223701097,Meydan (UAE) 19th Jan,To Be Placed,19-01-2024 16:25,26578375,Shymay,0,120.00000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,1.71
223701107,Meydan (UAE) 19th Jan,To Be Placed,19-01-2024 17:35,208143,Shanty Star,0,24.68418437,1.9434,1.0000,1.00,1001.00,1.00,1001.00,0.00,48.97,1.53
223701082,Meydan (UAE) 19th Jan,To Be Placed,19-01-2024 14:40,972501,Taakeed,0,2.92436203,1.8490,1.0000,2.90,2.90,1.00,1001.00,0.00,776.07,2.00
223701107,Meydan (UAE) 19th Jan,To Be Placed,19-01-2024 17:35,39511314,Tamaamm,0,13.54330025,4.0320,1.0000,13.00,13.00,1.00,1001.00,0.00,121.86,2.82
223701087,Meydan (UAE) 19th Jan,To Be Placed,19-01-2024 15:15,21307308,Mostawaa,0,6.37943575,5.8602,1.0000,1.00,1001.00,1.00,1001.00,0.00,84.92,5.82
223701082,Meydan (UAE) 19th Jan,To Be Placed,19-01-2024 14:40,27925724,Millers House,0,15.00000000,2.7110,1.0000,1.00,1001.00,1.00,1001.00,0.00,103.31,2.15
223701112,Meydan (UAE) 19th Jan,To Be Placed,19-01-2024 18:10,50513172,H Borkan,0,15.75669699,13.3739,1.0000,1.00,1001.00,1.00,1001.00,0.00,17.41,2.00
223701077,Meydan (UAE) 19th Jan,To Be Placed,19-01-2024 14:05,51440796,Smart System,0,5.90608953,1.0320,1.0000,1.00,1001.00,1.00,1001.00,0.00,249.27,6.35
223701087,Meydan (UAE) 19th Jan,To Be Placed,19-01-2024 15:15,39942260,Aeonian,0,8.15635146,6.8148,1.0000,1.00,1001.00,1.00,1001.00,0.00,90.72,12.57
223701107,Meydan (UAE) 19th Jan,To Be Placed,19-01-2024 17:35,2426462,Tahdeed,0,2.39464367,1.0486,1.0000,1.00,1001.00,1.00,1001.00,0.00,526.87,0.00
223701087,Meydan (UAE) 19th Jan,To Be Placed,19-01-2024 15:15,36600736,Law Of Nature,0,5.90000000,5.3393,1.0000,1.00,1001.00,1.00,1001.00,0.00,50.94,8.40
223701097,Meydan (UAE) 19th Jan,To Be Placed,19-01-2024 16:25,46458141,Mystic Pearl,0,5.48173640,4.8768,1.0000,5.70,5.70,1.00,1001.00,0.00,116.70,13.87
223701087,Meydan (UAE) 19th Jan,To Be Placed,19-01-2024 15:15,666657,One World,0,4.67224247,3.9963,1.0000,1.00,1001.00,1.00,1001.00,0.00,135.60,146.93
223701102,Meydan (UAE) 19th Jan,To Be Placed,19-01-2024 17:00,29547710,Wild Lion,0,7.19764400,6.6193,1.0000,1.00,1001.00,1.00,1001.00,0.00,6.20,4.27
