EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
223196782,Meydan (UAE) 5th Jan,1m Grp 2,05-01-2024 17:00,42754109,EsUnico,0,42.75822390,35.4445,1.0000,80.00,46.00,36.00,36.00,0.00,488.37,101.15
223196792,Meydan (UAE) 5th Jan,1m Hcap,05-01-2024 18:10,53449449,Iles Et Ailes,0,11.64118842,9.2586,1.0000,11.50,10.00,1.00,1001.00,0.00,1846.67,263.16
223196772,Meydan (UAE) 5th Jan,7f Cond,05-01-2024 15:50,64548541,Tohoku,0,190.00000000,75.4348,18.9997,150.00,32.00,1000.00,100.00,7.50,206.53,39.85
223196772,Meydan (UAE) 5th Jan,7f Cond,05-01-2024 15:50,64548540,Always In Fire,0,126.01276015,165.0493,1.0000,220.00,110.00,1000.00,1000.00,0.00,143.11,132.27
223196762,Meydan (UAE) 5th Jan,6f Hcap,05-01-2024 14:40,214466,Khanjar,0,22.00000000,16.9483,1.0000,22.00,10.00,1.00,1001.00,0.00,819.83,161.36
223196792,Meydan (UAE) 5th Jan,1m Hcap,05-01-2024 18:10,43619,Aswan,0,42.00000000,36.5292,1.0000,110.91,36.00,1.00,1001.00,0.00,475.45,69.94
223196792,Meydan (UAE) 5th Jan,1m Hcap,05-01-2024 18:10,9153434,Ajwad,0,98.61310865,66.0978,1.0000,120.00,65.00,130.00,25.00,0.00,240.62,66.61
223196757,Meydan (UAE) 5th Jan,6f Mdn,05-01-2024 14:05,64548538,Halucinogenie,0,4.81999345,4.5788,4.5999,8.00,4.80,1000.00,16.00,10.00,3289.96,595.68
223196762,Meydan (UAE) 5th Jan,6f Hcap,05-01-2024 14:40,35792167,Tanmawwy,0,40.00000000,52.7921,1.0000,75.00,38.00,1.00,1001.00,0.00,493.59,272.01
223196767,Meydan (UAE) 5th Jan,1m2f Hcap,05-01-2024 15:15,45580655,Eye On The Prize,0,65.00000000,39.3982,1.0000,75.00,26.00,150.00,14.00,0.00,564.23,571.13
223196752,Meydan (UAE) 5th Jan,1m2f Hcap,05-01-2024 13:30,51158660,Legend Of Cannes,0,33.47534417,35.5026,1.0000,36.00,34.00,42.00,26.00,0.00,233.70,143.53
223196752,Meydan (UAE) 5th Jan,1m2f Hcap,05-01-2024 13:30,47250738,Local Dynasty,1,2.97214583,2.6248,2.6924,3.00,2.50,2.48,1.01,792.40,18475.39,13455.05
223196772,Meydan (UAE) 5th Jan,7f Cond,05-01-2024 15:50,55987505,The Caribbean,0,150.00000000,111.1711,1.0000,150.00,85.00,110.00,100.00,0.00,176.47,52.79
223196762,Meydan (UAE) 5th Jan,6f Hcap,05-01-2024 14:40,45325623,Mutaany,0,60.00000000,43.0200,1.0000,140.00,21.00,1.00,1001.00,0.00,377.25,49.94
223196767,Meydan (UAE) 5th Jan,1m2f Hcap,05-01-2024 15:15,40880510,Lions Mane,0,5.35818891,4.7421,1.0000,5.00,5.00,6.20,6.20,0.00,2231.76,574.18
223196772,Meydan (UAE) 5th Jan,7f Cond,05-01-2024 15:50,57195017,Majestic One,0,89.21775925,59.7201,1.0000,130.00,13.00,1000.00,1000.00,0.00,448.17,55.01
223196757,Meydan (UAE) 5th Jan,6f Mdn,05-01-2024 14:05,62395828,Al Arbed,0,7.62762487,5.4461,1.0000,8.00,7.60,8.00,8.00,0.00,1438.23,457.22
223196777,Meydan (UAE) 5th Jan,6f Grp 3,05-01-2024 16:25,43403570,Colour Up,0,4.83380459,4.6426,4.6048,6.60,4.20,1000.00,6.20,4.00,7094.67,570.63
223196787,Meydan (UAE) 5th Jan,7f Cond,05-01-2024 17:35,63086084,Million Doro,0,46.00000000,45.8291,1.0000,140.00,38.00,19.00,19.00,0.00,505.58,973.14
223196777,Meydan (UAE) 5th Jan,6f Grp 3,05-01-2024 16:25,64548542,Beolmaui Star,0,32.00000000,25.4874,1.0000,120.00,20.00,48.00,48.00,0.00,963.77,92.58
223196772,Meydan (UAE) 5th Jan,7f Cond,05-01-2024 15:50,60736784,Shamrock Glitter,0,13.10790823,11.3425,8.6083,13.50,7.80,1000.00,2.10,24.14,2764.52,3946.69
223196757,Meydan (UAE) 5th Jan,6f Mdn,05-01-2024 14:05,46478450,Al Hajaj,0,21.89870692,15.3892,1.0000,30.00,21.00,790.00,380.00,0.00,501.53,200.28
