
     EVENT_ID,MENU_HINT                                                                       ,EVENT_NAME                                        ,EVENT_DT        , SELECTION_ID,SELECTION_NAME                ,      WIN_LOSE,       BSP,     PPWAP,MORNINGWAP,     PPMAX,     PPMIN,     IPMAX,     IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
-------------,--------------------------------------------------------------------------------,--------------------------------------------------,----------------,-------------,------------------------------,--------------,----------,----------,----------,----------,----------,----------,----------,----------------,-----------,-----------
     21046523,GB / Chep 13th Jun                                                              ,6f Nov Stks                                       ,13-06-2008 18:30,      2956376,Kingswinford                  ,      0.000000,6.30993923,7.34293035,5.32577999,       9.4,         5,        55,       4.5,         1221.98,   34753.98,    2493.96
     21046523,GB / Chep 13th Jun                                                              ,6f Nov Stks                                       ,13-06-2008 18:30,      2956377,Madison Belle                 ,      0.000000,        75,67.7399472,112.089165,       170,        50,      1000,        23,           46.76,    2370.22,       95.2
     21046523,GB / Chep 13th Jun                                                              ,6f Nov Stks                                       ,13-06-2008 18:30,      2972083,Ridgeway Silver               ,      0.000000,177.149050,188.141486,54.9990415,       300,       100,      1000,        55,               4,     931.48,      88.42
     21046523,GB / Chep 13th Jun                                                              ,6f Nov Stks                                       ,13-06-2008 18:30,      2976835,Hay Fever                     ,      0.000000,         9,9.32214476,10.3762965,        17,         8,      1000,       2.1,          300.22,   19934.18,    2534.12
     21046523,GB / Chep 13th Jun                                                              ,6f Nov Stks                                       ,13-06-2008 18:30,      3036556,In Transit                    ,      0.000000,5.78908882,7.32019503,8.31356371,        11,       5.7,        70,       5.2,           401.8,   29691.18,    2567.38
     21046523,GB / Chep 13th Jun                                                              ,6f Nov Stks                                       ,13-06-2008 18:30,      3043248,Pennys Gift                   ,      1.000000,2.44641170,2.30278049,2.69134851,      2.94,      2.08,         4,      1.01,         4327.64,  382918.75,    96448.4
     21046523,GB / Chep 13th Jun                                                              ,6f Nov Stks                                       ,13-06-2008 18:30,      3061453,Havent A Clue                 ,      0.000000,7.57081622,5.55613695,4.29535258,         8,      3.85,      1000,       4.5,          972.64,   61128.94,    1883.74
     21046523,GB / Chep 13th Jun                                                              ,6f Nov Stks                                       ,13-06-2008 18:30,      3070996,Haulit                        ,      0.000000,175.997320,202.306386,181.697018,       390,       120,       150,        20,               4,     869.92,      138.6
     21046525,GB / Chep 13th Jun                                                              ,7f Sell Stks                                      ,13-06-2008 19:00,       204783,Spy Gun                       ,      0.000000,66.2667434,65.0154778,         1,       170,        48,        85,        50,               0,    1373.47,         27
