
     EVENT_ID,MENU_HINT                                                                       ,EVENT_NAME                                        ,EVENT_DT        , SELECTION_ID,SELECTION_NAME                ,      WIN_LOSE,       BSP,     PPWAP,MORNINGWAP,     PPMAX,     PPMIN,     IPMAX,     IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
-------------,--------------------------------------------------------------------------------,--------------------------------------------------,----------------,-------------,------------------------------,--------------,----------,----------,----------,----------,----------,----------,----------,----------------,-----------,-----------
     21139966,GB / GLghs 14th Aug                                                             ,TO BE PLACED                                      ,14-08-2008 17:30,      2378607,Enodoc                        ,      1.000000,2.48729718,2.29178566,2.01999894,      2.68,         2,      2.58,      1.01,              90,   16376.22,    3754.66
     21139966,GB / GLghs 14th Aug                                                             ,TO BE PLACED                                      ,14-08-2008 17:30,      2396136,Shatter Resistant             ,      0.000000,3.39220237,3.55908328,3.01449138,       3.8,       3.3,         1,      1001,           40.64,    3025.44,         16
     21139966,GB / GLghs 14th Aug                                                             ,TO BE PLACED                                      ,14-08-2008 17:30,      2412188,Linnet Park                   ,      1.000000,4.91212933,4.88420381,2.67983706,       5.5,       4.7,       3.2,      1.01,               4,    1551.96,    3162.98
     21139966,GB / GLghs 14th Aug                                                             ,TO BE PLACED                                      ,14-08-2008 17:30,      2446544,Cracking Nick                 ,      0.000000,2.19463939,2.17667006,2.62712192,       2.5,      2.02,         1,      1001,           30.64,   19495.74,         32
     21139966,GB / GLghs 14th Aug                                                             ,TO BE PLACED                                      ,14-08-2008 17:30,      2466597,Seductive Witch               ,      0.000000,      3.45,3.20647570,2.31999971,      3.65,      2.32,         1,      1001,             200,     5312.1,          8
     21139966,GB / GLghs 14th Aug                                                             ,TO BE PLACED                                      ,14-08-2008 17:30,      2485512,Tea Cake                      ,      0.000000,      3.95,3.01623389,3.19996436,       3.9,       2.5,         1,      1001,               4,   10692.96,      54.34
     21139966,GB / GLghs 14th Aug                                                             ,TO BE PLACED                                      ,14-08-2008 17:30,      2495925,Tugalu                        ,      0.000000,       2.1,2.19699108,1.93397325,      2.38,      2.02,         1,      1001,           87.16,    28622.6,     110.04
     21139966,GB / GLghs 14th Aug                                                             ,TO BE PLACED                                      ,14-08-2008 17:30,      2499063,Westwood Dawn                 ,      1.000000,        21,16.5361756,         1,      18.5,        15,      1.02,      1.01,               0,     294.62,    3356.88
     21139966,GB / GLghs 14th Aug                                                             ,TO BE PLACED                                      ,14-08-2008 17:30,      2509079,Swift Acclaim                 ,      0.000000,4.66451983,4.85774916,         1,         5,       4.7,         1,      1001,               0,    1421.18,          0
