event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
210294781,Doncaster 22nd Feb,To Be Placed,22-02-2023 16:10,44696775,Cant Beat History,1,1.68923538,1.8630,2.5845,1.95,1.69,1.80,1.80,281.20,6822.29,3669.18
210294819,Kempton 22nd Feb,To Be Placed,22-02-2023 18:00,52854586,Ceejaybe,0,29.00000000,27.2847,1.0000,36.00,24.00,27.00,27.00,0.00,290.86,54.55
210294889,Ludlow 22nd Feb,To Be Placed,22-02-2023 16:20,42486649,Emotional Memories,0,16.58532633,12.1188,3.9499,1.00,1001.00,910.00,10.50,2.00,699.20,59.65
210294941,Newcastle 22nd Feb,To Be Placed,22-02-2023 13:35,9579846,The Resdev Way,0,11.50000000,10.6907,7.9059,1.00,1001.00,1.00,1001.00,36.18,581.88,99.96
210294941,Newcastle 22nd Feb,To Be Placed,22-02-2023 13:35,45549752,Zephlyn,0,10.00000000,8.8406,7.2404,9.60,9.60,1.00,1001.00,28.38,763.31,145.82
210294763,Doncaster 22nd Feb,To Be Placed,22-02-2023 14:25,24503970,Paricolor,0,2.59945430,2.0918,2.8148,2.66,2.56,1.00,1001.00,33.50,3519.43,681.82
210294957,Newcastle 22nd Feb,To Be Placed,22-02-2023 17:05,7242928,Lucky Lucky Lucky,1,2.68690950,2.2708,1.0000,2.78,2.78,1.00,1001.00,0.00,3277.63,768.37
210294941,Newcastle 22nd Feb,To Be Placed,22-02-2023 13:35,11782744,International Law,0,4.25341419,4.3018,3.3503,4.60,4.30,1.00,1001.00,95.88,3249.14,643.23
210294941,Newcastle 22nd Feb,To Be Placed,22-02-2023 13:35,44456,Lituus,0,2.02000000,2.1272,2.9199,2.06,2.06,2.60,2.10,11.88,2812.67,1743.86
210294763,Doncaster 22nd Feb,To Be Placed,22-02-2023 14:25,49472215,Lepashe,1,3.90493355,3.0577,4.7709,4.80,4.80,2.80,2.80,122.00,2202.04,947.36
210294957,Newcastle 22nd Feb,To Be Placed,22-02-2023 17:05,40401159,Jkr Cobbler,1,2.47142912,2.2341,2.4072,2.60,2.48,1.00,1001.00,39.20,6164.99,837.75
210294941,Newcastle 22nd Feb,To Be Placed,22-02-2023 13:35,45326205,Kirk House,0,44.64783836,29.5047,1.0000,38.00,38.00,1.00,1001.00,0.00,127.14,62.90
