event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
210259529,Southwell 21st Feb,1m6f Hcap,21-02-2023 20:30,45150210,Timestamp,0,7.57432988,6.2189,6.3131,9.20,4.30,75.00,1.31,1342.72,35384.93,14768.89
210259937,Taunton 21st Feb,2m7f Hunt Chs,21-02-2023 17:05,21566159,I K Brunel,1,4.00000000,4.9383,7.2061,8.40,4.00,4.10,1.01,900.21,45473.91,69711.77
210259896,Taunton 21st Feb,2m3f Nov Hcap Hrd,21-02-2023 14:00,27863358,Presgrave,0,24.22581866,20.0385,13.3170,26.00,13.50,1000.00,13.50,622.48,7409.01,2741.06
210259923,Taunton 21st Feb,2m Mdn Hrd,21-02-2023 16:00,41165488,Nadim,0,15.38175045,9.4502,7.9476,16.50,7.80,1000.00,5.30,264.36,13717.53,4467.54
210259510,Southwell 21st Feb,6f Nov Stks,21-02-2023 19:00,43680955,Bessah,0,1000.00000000,816.1090,743.1674,1000.00,410.00,1000.00,1000.00,12.92,399.99,48.69
210259423,Market Rasen 21st Feb,2m7f Hcap Hrd,21-02-2023 15:15,23899573,Martha Brae,0,5.60000000,5.2063,5.8600,7.00,5.00,1000.00,4.80,721.49,45580.08,16783.72
210259471,Market Rasen 21st Feb,2m3f Hcap Chs,21-02-2023 15:45,40300095,Keepyourdreamsbig,0,5.39227365,5.2784,3.2289,6.40,3.10,1000.00,3.95,2927.01,61107.92,14879.65
210259478,Market Rasen 21st Feb,2m Mdn NHF,21-02-2023 16:45,51220671,Island Approach,0,55.87019620,42.9944,60.4819,90.00,36.00,1000.00,44.00,15.96,3464.76,1039.23
210259916,Taunton 21st Feb,2m7f Hcap Chs,21-02-2023 15:00,21104327,Reserve Tank,0,11.86953315,7.3312,8.1516,11.00,8.20,1000.00,9.00,1472.60,18620.25,5114.88
210259909,Taunton 21st Feb,2m Hcap Hrd,21-02-2023 15:30,39154444,Colonial Empire,1,3.91345860,3.9998,4.0542,7.41,3.14,8.00,1.01,21611.81,93498.10,58965.32
210259351,Market Rasen 21st Feb,2m Mdn Hrd,21-02-2023 13:45,44214274,Open Champion,0,5.20000000,4.8711,3.4885,5.60,3.15,1000.00,3.00,5106.55,49907.83,21928.39
210259923,Taunton 21st Feb,2m Mdn Hrd,21-02-2023 16:00,38941683,Eye Knee,0,99.08311419,70.2439,62.3503,150.00,42.00,1000.00,95.00,28.32,1907.66,190.02
