EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
188524137,USA / Delaware Park (US) 02nd Oct,R2 1m Claim,02-10-2021 18:45,26456854,Souper Energizer,1,4.896119465,3.79245700128829688143312691566664210743,1,5.1,4.5,1.06,1.01,0,1706.3,3406.4
188524138,USA / Delaware Park (US) 02nd Oct,R3 6f Claim,02-10-2021 19:15,26837903,Probably Grace,1,2.664304303,1.56769290490256929754819638508948014124,1,3.35,2.7,2.64,1.01,0,5298.96,3627.84
188524138,USA / Delaware Park (US) 02nd Oct,R3 6f Claim,02-10-2021 19:15,35614285,Clarist,0,9.135553483641704,5.27776477224818702617146271551348948547,1,9.2,7.8,9,9,0,923.82,273.68
188524139,USA / Delaware Park (US) 02nd Oct,R4 1m Claim,02-10-2021 19:45,15563596,National Honor,0,4.353754234128136,3.46092388566189956106775741355717456761,1,4.6,4.4,680,680,0,1384.98,165.26
188524141,USA / Delaware Park (US) 02nd Oct,R6 1m Allw,02-10-2021 20:45,40538703,Backstreet Gal,0,140,84.0421610399298428372828038591488079899,1,130,60,1,1001,0,78.23,5.46
188524136,USA / Delaware Park (US) 02nd Oct,R1 6f Allw,02-10-2021 18:15,20985282,Shall Return,0,7.2,5.68680094817890010193218309541259516749,1,6.6,6.6,1,1001,0,531.64,636.34
188524142,USA / Delaware Park (US) 02nd Oct,R7 6f Allw,02-10-2021 21:15,25858083,Nashvegas,0,6.6,6.57805020197761022773411838254916541399,1,8.34,8,1,1001,0,795.44,146.4
188524143,USA / Delaware Park (US) 02nd Oct,R8 1m Mdn,02-10-2021 21:45,24499247,Farcical,0,32,32.2294357730733466535239602348003160808,1,42,21.06,1,1001,0,371.54,9.93
188524143,USA / Delaware Park (US) 02nd Oct,R8 1m Mdn,02-10-2021 21:45,40849636,Dreamanytime,0,526.052621387,98.107837436139042599435095856919918066,1,130,95,1,1001,0,21.83,3.2
188473981,USA / Charles Town (US) 01st Oct,R7 7f Allw,02-10-2021 03:02,24029873,Hobe Sound,0,4.942844192388585,4.02035660786793784601120017397868020778,4.85727835125064627123780998734199782496,4.3,4.3,1,1001,1121.82,842.34,36.54
188473979,USA / Charles Town (US) 01st Oct,R5 7f Claim,02-10-2021 02:02,27779705,Ravin Maven,0,10.925485146444327,12.979687022143585417627882608664596275,13.9305408583186360964138741916519694298,36,11,1,1001,1020.6,996.92,23.68
188473979,USA / Charles Town (US) 01st Oct,R5 7f Claim,02-10-2021 02:02,28510585,Lucky Penguin,0,16.5,9.73685868773370367630034290195318364582,13.0802247905842434524440674371752730357,16.5,12,100,80,660.17,629.12,29.43
188473979,USA / Charles Town (US) 01st Oct,R5 7f Claim,02-10-2021 02:02,25510795,Mr. Snap,0,11.5,10.6889719241476103105604741951769834751,14.3839187062644390129574446713764355309,18.5,18.5,700,560,597.34,578.66,15.8
188473980,USA / Charles Town (US) 01st Oct,R6 7f Mdn,02-10-2021 02:32,41150920,Hot Fudge Sonde,0,4.650516760207735,3.87480395069226669397226370227216434851,4.6064911466251178025857792105582995782,5.7,3.75,1,1001,5018.99,4596.68,14.79
188473980,USA / Charles Town (US) 01st Oct,R6 7f Mdn,02-10-2021 02:32,40116254,Weavintheblocks,0,300,230.062833774070493635704449892773508233,121.822012752980316052120876074299972276,640,150,1,1001,72.14,36.68,.06
188473977,USA / Charles Town (US) 01st Oct,R3 7f Claim,02-10-2021 01:02,12186163,Livin A Dream,0,20.674984149,30.8704454664042306490103077943141180082,16.8961756639472313834403749349071341781,36,30,1,1001,288.05,124.82,3.83
188496087,USA / Santa Anita (US)1st Oct,R9 6f Mdn,02-10-2021 01:00,16624899,Piazzetta,0,12.664956223163749,12.8345371055726263583953454510868227735,11.8270805560845553227956579699104932394,16.5,15,1,1001,472.59,371.78,4.27
188496087,USA / Santa Anita (US)1st Oct,R9 6f Mdn,02-10-2021 01:00,28617999,Shez Our Arch,0,580.825313088,267.027478822078483703811730827753466992,109.878352225601327066629803704727674869,570,570,1,1001,36.17,8.49,4.06
188496087,USA / Santa Anita (US)1st Oct,R9 6f Mdn,02-10-2021 01:00,41150853,Little Susie,0,89.070291444,88.9198691748748868718438322301571930324,43.1522612780890926586290824701420727911,250,42,1,1001,176.67,81.57,.28
188473581,USA / Woodbine (US) 01st Oct,R8 6f Mdn Claim,02-10-2021 01:21,1068607,Blazing Sky,0,5.976356759378687,5.68957197135978133570744044380952998291,5.63391860526921918463528286174943746567,6.4,6.4,1,1001,1128.82,575.36,153.94
188473582,USA / Woodbine (US) 01st Oct,R9 1m Claim,02-10-2021 01:50,16817327,We Take Checks,0,38,37.8144252633705114649709517425764288572,22.5509875403784033225657591139824642363,46,36,1,1001,173.36,79.56,38.26
188473582,USA / Woodbine (US) 01st Oct,R9 1m Claim,02-10-2021 01:50,19976122,Majestic Melody,0,29.399008985,47.9050655931880877482017549717780205184,17.3827799662352279122115925717501406866,67.56,40,1,1001,177.7,50.66,29.32
188524072,USA / Laurel Park (US) 02nd Oct,R4 1m1f Stks,02-10-2021 19:10,15368245,Take Charge Tina,0,260,177.075762735793360616026803514188522359,1,350,55,1,1001,0,131.61,.24
188524075,USA / Laurel Park (US) 02nd Oct,R5 7f Claim,02-10-2021 19:42,2498960,Little Bay,0,1000,198.339546802907249667630949237274504801,1,450,75,1,1001,0,39.3,.92
188524075,USA / Laurel Park (US) 02nd Oct,R5 7f Claim,02-10-2021 19:42,28662677,More Twirl,0,15.30883794627608,13.2434082808738523167007823742357624097,1,17,15,700,38,0,493.38,42.79
188524078,USA / Laurel Park (US) 02nd Oct,R6 1m1f Stks,02-10-2021 20:14,40254899,Shes Like Thunder,0,581.2631797578558,154.52170417432369528129528746539059793,1,250,75,1000,95,0,97.02,569.44
188524081,USA / Laurel Park (US) 02nd Oct,R7 6f Stks,02-10-2021 20:46,28600017,Francatelli,0,7.4,4.12252859727190586005560398875702518345,1,5,4.4,90,90,0,2269.54,70.04
188524084,USA / Laurel Park (US) 02nd Oct,R8 1m Mdn,02-10-2021 21:18,41164006,Starrystarryknight,0,7.308056090297757,7.32485166799408409332633263683105470175,1,1,1001,1,1001,0,430.69,58.68
188524066,USA / Laurel Park (US) 02nd Oct,R2 7f Claim,02-10-2021 18:10,35549042,Despite Odds,0,22.723771490757354,13.5843044816287805672944010496246718238,1,15,15,1,1001,0,74.69,18.69
188524090,USA / Laurel Park (US) 02nd Oct,R10 6f Claim,02-10-2021 22:22,36923856,Castilleja,0,3.268404,3.40895022842722179130878488431202268924,1,4.9,4.9,5.7,3,0,691.96,2104.7
188524090,USA / Laurel Park (US) 02nd Oct,R10 6f Claim,02-10-2021 22:22,40339756,Our Strong Vows,0,33.581297305488026535,35.9731136250887620011089170549497582755,1,1,1001,750,330,0,14.42,13.99
188524027,USA / Gulfstream Park (US) 02nd Oct,R5 1m Claim,02-10-2021 19:52,5190741,Power,0,160,128.311944013912486372220127188660633409,1,180,110,29,21,0,74.92,85.33
188524027,USA / Gulfstream Park (US) 02nd Oct,R5 1m Claim,02-10-2021 19:52,27949678,Poseiden,0,32.565116379875704,23.5181616179878009362997670290723902875,1,1,1001,710,220,0,74.18,123.3
188524033,USA / Gulfstream Park (US) 02nd Oct,R7 6f Mdn,02-10-2021 20:58,12179082,Full Disclosure,1,10.002130556672709,8.00769339828892240361571792023081067322,1,14,10,1,1001,0,1136.02,2331.96
188524042,USA / Gulfstream Park (US) 02nd Oct,R10 1m1f Mdn Claim,02-10-2021 22:38,37838773,Skywalking,1,5.959994108164684,2.97325812260725135024472867384470694008,1,5.1,5.1,1.02,1.02,0,999.36,2997.4
188524042,USA / Gulfstream Park (US) 02nd Oct,R10 1m1f Mdn Claim,02-10-2021 22:38,38612899,Backchat,0,5.278481723,2.87292323052863268814478514397826496798,1,6,4.3,690,550,0,2454.56,220.28
